{'短评内容': '干净卫生，促销价，虽然远了点，性价比挺好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很干净整洁', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '早晨没热水，打电话告知前台，过了一会才有热水，周边很吵，空调也很吵，吃饭不太方便，周边没有好吃的，天虹广场那边比较远，前台接待挺好', '短评打分': 4}
{'短评内容': '环境好，干净卫生，', '短评打分': 5}
{'短评内容': '服务好，就是晚上比较吵', '短评打分': 5}
{'短评内容': '总体来说我一点都不喜欢，离杭州东站明明有12公里，还说在东站附近，网上订好付了款还不能退，去了要生份证刷脸验证，刚好证件过期，我们没有注意日期，明明说证件过期有一个月的延期时间，还要我们去派出所登记，都凌晨1点了还要我们去，害的我以为遇到了～～～，位置又偏，住进去后，里面又烂，空调遥控器也是坏的，感觉怕怕的，我们出差住了这么多酒店，没有碰到这样的，还要168，一点都不值。', '短评打分': 5}
{'短评内容': '差劲。床头连个充电插头都没有。都不能坐床上充电玩手机', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '房间在快捷酒店算比较干净的，而且价格也很便宜，住宿的房间隔音也很不错，能让小朋友睡个安安稳稳的觉，这点还是很赞的。', '短评打分': 5}
{'短评内容': '房间在快捷酒店算比较干净的，而且价格也很便宜，住宿的房间隔音也很不错，能让小朋友睡个安安稳稳的觉，这点还是很赞的。', '短评打分': 5}
{'短评内容': '房间在快捷酒店算比较干净的，而且价格也很便宜，住宿的房间隔音也很不错，能让小朋友睡个安安稳稳的觉，这点还是不错的', '短评打分': 5}
{'短评内容': '房间在快捷酒店算比较干净的，而且价格也很便宜，住宿的房间隔音也很不错，能让小朋友睡个安安稳稳的觉，这点还是很赞的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '停车方便，商务出行很不错', '短评打分': 5}
{'短评内容': '价格不高……其它都一般般吧', '短评打分': 3}
{'短评内容': '卫生差点儿', '短评打分': 3}
{'短评内容': '晚上有装修的工地很吵一直在施工', '短评打分': 4}
{'短评内容': '卫生不错！', '短评打分': 5}
{'短评内容': '第一次走错位置了，离得很近有两家，房间很大，价格实惠。', '短评打分': 5}
{'短评内容': '住的还好，下面有超市和中式快餐店，就是打车不太方便', '短评打分': 4}
{'短评内容': '干净卫生，挺好的，下次还会选择这里，而且杭州美女真多啊', '短评打分': 5}
{'短评内容': '安静，舒适，卫生，方便！是外出首选，下次一如既往的选择如家!', '短评打分': 5}
{'短评内容': '干净，卫生！很舒适，是外出旅游的首选！下次还会选择如家！还有，这家下面有一个快餐店，很实惠的！外出也很方便！去市中心很近！', '短评打分': 5}
{'短评内容': '很不错的酒店，服务也很周到，希望如家能更上一层楼！', '短评打分': 5}
{'短评内容': '服务很好！如家真的还是很不错滴，价钱也很有优势····主要离批发点比较近！', '短评打分': 5}
{'短评内容': '位置可以，卫生条件挺好的，价格实惠，下次在住', '短评打分': 5}
{'短评内容': '不错，推荐，888888888888888', '短评打分': 5}
{'短评内容': '酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  ', '短评打分': 5}
{'短评内容': '干净，地点比较好。没有早餐。天天有人敲门、从门缝塞**广告，比较讨厌，应加强管理。', '短评打分': 5}
{'短评内容': '如家真的像家一样，简洁清爽，下次还来住，房间很大，价格也很实惠，服务态度也很好，支持支持支持支持。。。。。。。。', '短评打分': 5}
{'短评内容': '不错。就是空调很响。给个好评吧', '短评打分': 3}
{'短评内容': '119的性价比很高，可惜涨价了，否则还想住那，什么时候继续活动啊', '短评打分': 5}
{'短评内容': '119的价格订的，性价比高。住了挺多次，感觉还不错', '短评打分': 5}
{'短评内容': '离火车站有点远，也有点偏，不过房内环境很好，干净', '短评打分': 5}
{'短评内容': '如家整体来说还不错，就是交通不是那么便利。下次还去杭州的话会选择西湖边的如家，呵呵。', '短评打分': 5}
{'短评内容': '酒店性价比不错，服务员很热情，但好像现在要涨价了，难道我上周还抄底了', '短评打分': 5}
{'短评内容': '性价比不错，服务态度很好，美中不足的就是网络不是太卡就是会断掉，一直入住，一直这个问题。', '短评打分': 5}
{'短评内容': '很好的这个价格', '短评打分': 3}
{'短评内容': '灰常不错的酒店，下次要是这个价格的话还去住', '短评打分': 5}
{'短评内容': '服务员态度很好，有些设备问题很热心服务，性价比不错', '短评打分': 5}
{'短评内容': '的确，特惠房都在1楼，旅游团的人很多，因此很嘈杂，要命的是还有蚊子，送了我手臂上几个大包。没早餐啊。', '短评打分': 1}
{'短评内容': '酒店距离火车站不算远，门口有个吃饭的地方 不错，比较安静，推荐。', '短评打分': 5}
{'短评内容': '位置不错，靠近东站，出行方便。酒店风格一如既往，下次还会选择。', '短评打分': 5}
{'短评内容': '如家，一如既往的干净，舒适，性价比很高，卡片很多，数数二十多张，厉害！', '短评打分': 5}
{'短评内容': '我是去看朋友的 顺便看看西湖 酒店距离西湖景区有些距离 自然价格就比较合适吧\n整体感觉还可以 是如家一贯的标准 就是我住的房间 卫生间地面一直持续就积水 应该是地面地砖有问题 优惠的大床 性价比还是挺高的', '短评打分': 5}
{'短评内容': '还行，就是有点陈旧，床比较大，。。。。。。。', '短评打分': 5}
{'短评内容': '性价比不错，房间舒适，就是小纸条太多，夏天蚊子有点多', '短评打分': 5}
{'短评内容': '房间宽敞，卫生干净，地点方便出行，宾馆环境好比较安静', '短评打分': 5}
{'短评内容': '酒店不错，挺干净的，也很安静', '短评打分': 3}
{'短评内容': '很舒服，房间大，设施基本齐备，比同类价钱的7天好多了。这是我第二次入住了，我极力推荐。', '短评打分': 5}
{'短评内容': '很好，不是节假日的时候，房价性价比真是太噢好了，与周围的宾馆比起来。如果硬要挑毛病的话，就是，喜好的衣服挂在淋浴间不时很好，很难干，不大适合出差人的要求。', '短评打分': 5}
{'短评内容': '已入住，门口名片太多。', '短评打分': 3}
{'短评内容': '环境还不错，位置有点偏僻，走公交车站要十几分钟，不过比较安静', '短评打分': 5}
{'短评内容': '服务很好，虽然第一天有设施不好，但报修后马上服务，下次还会继续入住', '短评打分': 5}
{'短评内容': '我一直喜欢如家。。温馨的颜色给人家 的感觉 。。不过这家毛巾可以换换了哦，已经很旧了。', '短评打分': 5}
{'短评内容': '住过很多次啦，环境条件还不错，不过这次有的前台服务态度不太好', '短评打分': 5}
{'短评内容': '在杭州这个高消费城市，如家东站店是价廉物美的好驿站。', '短评打分': 3}
{'短评内容': '特价房网站上说是1~6层，入住时说只能住一层。隔音不好，入住时有一个旅游团，非常吵，走廊里的讲话声声入耳。不过价格是很优惠了。', '短评打分': 5}
{'短评内容': '很好的酒店 很方便也很干净 下次还会来的', '短评打分': 5}
{'短评内容': '环境还是挺干净的，网速快了不少，值得表扬，就是蚊子开始多了，如果再配把电蚊拍就好了', '短评打分': 5}
{'短评内容': '位置比较偏僻，有点难找，房间设施还行', '短评打分': 3}
{'短评内容': '订的是商务大床房，店员服务态度很好，房间宽敞有窗户干净整洁，非常满意~', '短评打分': 5}
{'短评内容': '黄色墙面,如家的风格,房间很干净,第一天入住感觉还行,就是很担心空调,夏天能打冷吗,好像不太制冷', '短评打分': 5}
{'短评内容': '地理位置有些偏，交通不是很方便，性价比较高，房间也很大。', '短评打分': 5}
{'短评内容': '如家环境和设备服务还是不错的，就是发小广告的太多了。', '短评打分': 5}
