{'短评内容': '地毯不喜欢，其他尚好！', '短评打分': 4}
{'短评内容': '服务质量有待进一步加强', '短评打分': 3}
{'短评内容': '房间设施很好，服务有待提高', '短评打分': 4}
{'短评内容': '地理位置比较好，交通方便，去办事、高铁站和市中心都有公交，不需要转车。周边大小饭店较多，选择性较大。 缺陷是在白天旅馆旁边的学校有点吵闹。', '短评打分': 4}
{'短评内容': '挺不错的。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错，很满意！好多次来住宿了，地方好找！环境好！会推荐朋友来这里！已经好多次住了，而且都是同一间，一如既往的好', '短评打分': 5}
{'短评内容': '环境不错，服务不错，有电梯，很方便。下次还会入住的！', '短评打分': 5}
{'短评内容': '还可以还不错', '短评打分': 5}
{'短评内容': '还可以还不错', '短评打分': 5}
{'短评内容': '好，挺好，非常好，真TM好！', '短评打分': 5}
{'短评内容': '可以给4分', '短评打分': 4}
{'短评内容': '还不错，就是电视感觉有点小，床也不软，硬邦邦的。服务态度不错，门锁不是太好。周边居民区，挺安静的，值得推荐。', '短评打分': 3}
{'短评内容': '总体上还是不错的，性价比较高。', '短评打分': 3}
{'短评内容': '还可以吧，出差住的，位置比较理想，房间一般吧', '短评打分': 3}
{'短评内容': '不错，设施齐全服务态度很好，附近出行吃饭都方便', '短评打分': 3}
{'短评内容': '房间宽敞明亮，卫生打扫的也比较干净，前台服务不错，离西站很近，出行也很方便！', '短评打分': 5}
{'短评内容': '卫生间有点小，电视很大，看的很舒服，价格属于中等，谈不上便宜。', '短评打分': 5}
{'短评内容': '还行，住了一个月，就是觉得有点贵了      ，卫生间太小                                                      ', '短评打分': 1}
{'短评内容': '房间很一般', '短评打分': 3}
