{'短评内容': '停车和购物都挺方便的，方便快捷出差', '短评打分': 5}
{'短评内容': '优点：1：本人入住的是豪华大床房。整个装潢确实很温馨。很有家的感觉！2.厅，房动静相隔亦相连！有朋友过来拜访很方便，特别适宜商务人士。另外电视机可以双向观看，人性化！3.早餐也丰富（4 星酒店 ）。', '短评打分': 5}
{'短评内容': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '停车场比较大', '短评打分': 4}
{'短评内容': '衡阳是个好地方', '短评打分': 5}
{'短评内容': '感觉还不错！', '短评打分': 5}
{'短评内容': '酒店房间环境好差', '短评打分': 2}
{'短评内容': '酒店还不错，吃饭购物都很方便，酒店装修有点老，这个价格也不能要求太高', '短评打分': 4}
{'短评内容': '房间大，套房', '短评打分': 5}
{'短评内容': '这次住宿印象非常棒，酒店大气够档次，前台服务态度好，房间很干净利索，住的心情愉悦，睡觉很舒服，会推荐给我的朋友。', '短评打分': 5}
{'短评内容': '地理位置优越，吃，逛街，玩都方便', '短评打分': 3}
{'短评内容': '没啥好写的哦  不好', '短评打分': 3}
{'短评内容': '环境很好，服务也不错', '短评打分': 4}
{'短评内容': '第二次入住，今次感覺比較好，房間整潔，沒有上次那種霉味', '短评打分': 4}
{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '性价比总体比较低 之前订的是A栋的普通套间，感觉很差。这次订了标准套间，整体感觉好多了。因为出差拜访的客户就在酒店附件，没办法只能订这个酒店。', '短评打分': 1}
{'短评内容': '毫无性价比，装修陈旧，四星？完全没有感觉，虽然定的是最便宜的套间，可是怎么也说是套间啊。外面的客厅，那个……哎，怎么说，就两张椅子靠墙摆着就是客厅了？房间很小，上网，桌子前面，连张椅子也摆不下，坐在床上又嫌远，太难受，太难受。立柜里面未刷漆的原木就裸露在外，丑丑啊', '短评打分': 1}
{'短评内容': '设施陈旧，也不是很干净，态度不好，早知道就住如家了。唯一一点就是在市中心，比较方便，周围有吃的，有大超市。早上结账，前台居然在睡觉，预授权完成还没做，就告诉我已经结账了可以走了。。。。。。发票，账单，还要我催着要，否则还不给打。。。。再也不会住了', '短评打分': 1}
{'短评内容': '服务不错，环境B栋一般。要换电梯才能到达，美中不足', '短评打分': 5}
{'短评内容': '酒店位置便利，价格适中，值得推荐。唯一缺点的大门较小，不好寻找', '短评打分': 5}
{'短评内容': '除了酒店地理位置不错以外，其他的一切都很勉强。房间渗水的印迹深重，套房会客厅形同虚设。尤其上下楼极不方便，还要转换电梯。', '短评打分': 1}
{'短评内容': '作为衡阳本地人，对此酒店的评价应该有一定的发言权。这家酒店已经住过很多次了，地理位置来说很有优势，价位适中，出行购物都很方便，如果有闲遐时间还可以步行到湘江河过边看看夜景也很不错，走过去也就三五分钟。', '短评打分': 5}
{'短评内容': '位置不错，餐厅的东西也还过得去，房间比较老，但是条件还行', '短评打分': 5}
{'短评内容': '房间的条件还不错，就是卫生纸太少了。另外早餐没来得及起来去吃，下次再看看', '短评打分': 5}
{'短评内容': ' 性价比很高的酒店 交通也很方便 ', '短评打分': 3}
{'短评内容': '酒店实施一般,位置好,就是B栋不太方便,上下太繁.', '短评打分': 5}
{'短评内容': '服务、设施、房间没有一样可以感觉是四星，二星都不到，极度失望', '短评打分': 1}
{'短评内容': '酒店比较老,卫生条件还算好,就是B栋的楼不方便', '短评打分': 5}
{'短评内容': '酒店设施一般,服务满意.周遍交通方便.就是不带早餐.', '短评打分': 5}
{'短评内容': '干净、舒适!', '短评打分': 3}
{'短评内容': '房间设施一般，算不上星级酒店，跟普通的商务宾馆差不多，性价比不高。', '短评打分': 3}
{'短评内容': 'GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG', '短评打分': 5}
{'短评内容': '房间够大,不过有一股霉味，设施也比较旧', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '舒适，在湖南离讲算是不错的酒店！GOOD！', '短评打分': 5}
{'短评内容': '酒店设施很陈旧。基本上桌子都掉角了啊。哈哈', '短评打分': 1}
{'短评内容': '环境不错        就是临窗房间不大安静     总体很好', '短评打分': 5}
{'短评内容': '设备相当陈旧了。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '太旧的酒店。房间像是好多年装修的。。。。。。', '短评打分': 1}
{'短评内容': '衡阳为数不多酒店，闹市中间。房间大，光线略显昏暗。布置老旧。服务不错，早餐一般。', '短评打分': 5}
{'短评内容': '房间大，但是设施陈旧，床太硬了。', '短评打分': 3}
{'短评内容': '1102', '短评打分': 3}
{'短评内容': '不错，下次还会去住，交通也很方便噢，出门吃饭打车什么也很OK！', '短评打分': 5}
{'短评内容': '酒店环境还可以，房间的床比较大，就是房间不好找，象迷宫一样', '短评打分': 3}
{'短评内容': '房间很小,很旧.', '短评打分': 3}
{'短评内容': '住宿环境一般，只值二星标准，早餐还可以。', '短评打分': 3}
{'短评内容': '酒店太陈旧了，是我住过的华天酒店中最差的，房间里一股霉味。。。。', '短评打分': 1}
{'短评内容': '前台服务不好，对客人的简单要求都无法得到满足，真不知道是如何得到4星的？？\n酒店大堂在4楼，酒店行李员没有服务意识，客人必须独自将所带的大行李，自己搬到\n酒店大堂。', '短评打分': 1}
{'短评内容': '设施比较旧，而且大堂在4楼，非常奇怪，早餐也不好吃，对不起这个价格', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ' 服务很好，价格还行，但房间内装修有点落后', '短评打分': 3}
{'短评内容': '不错，环境好，舒适，交通便利，价格比较便宜', '短评打分': 5}
{'短评内容': '很好，非常的好。让家人住的很舒服。下次一定会去再住。', '短评打分': 5}
{'短评内容': '酒店太旧，收费偏贵', '短评打分': 3}
{'短评内容': '酒店整体设施都很老，一进去屋里空气很不好，发霉的味道，屋内提供的用品质量也不好，真的和四星级酒店的标准差很远', '短评打分': 1}
{'短评内容': '价格合理,只是老了一点.周边也繁华.房间宽敞.外面车声浪大.所以最好不临街比较安静.', '短评打分': 5}
