{'短评内容': '还好～～～～～～～', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店卫生很好，房间大，但房间没有除味，霉异味很大。', '短评打分': 5}
{'短评内容': '价格偏高～～～～', '短评打分': 5}
{'短评内容': '相对来说还不错，服务态度待提高', '短评打分': 3}
{'短评内容': '价格偏高～～～', '短评打分': 4}
{'短评内容': '酒店干净舒适，早餐比较差劲', '短评打分': 5}
{'短评内容': '帮朋友订的，相当满意', '短评打分': 5}
{'短评内容': '性价比相当高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '方便干净，服务不错', '短评打分': 5}
{'短评内容': '酒店离火车站十分钟步行路程，周边吃饭方便，对面就是通程商业广场，特别方便自由行入住，早餐在十四层的空中花园，物有所值！', '短评打分': 5}
{'短评内容': '卫生方面还要改善', '短评打分': 3}
{'短评内容': '离车站约10~15分钟步行距离，房间虽然大，但卫生间很小，灯光昏暗。网速是我住过的酒店最快的了，没有之一。结账速度太慢，携程预付的订单，发票都要少开几块钱的…', '短评打分': 4}
{'短评内容': '还不错的酒店，钟点房有点贵', '短评打分': 4}
{'短评内容': '各方面还不错', '短评打分': 5}
{'短评内容': '各方面都不错…good', '短评打分': 5}
{'短评内容': '位置好，干净', '短评打分': 5}
{'短评内容': '离火车站很近，房间还可以，洗手间狭窄了点。订了一天，8点半到，可以提前入住，退房可到下午2点，这点比较好。', '短评打分': 4}
