{'短评内容': '物美价廉。', '短评打分': 5}
{'短评内容': '可以可以。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '地理位置很好就在八一广场附近，就是门口没有标识第一次要打电话问。', '短评打分': 5}
{'短评内容': '离万达和八一广场走路几分钟就到了，位置比较好，在12楼还能看下夜景，就是酒店周边的街道不是很繁华，总体来说还不错', '短评打分': 5}
{'短评内容': '不错不错 京东还是挺好的', '短评打分': 5}
{'短评内容': '设施不行，改进', '短评打分': 4}
{'短评内容': '必须好评，地方干净，水很大也很热，交通又方便，我们早上六点左右就到了，老板娘直接就给我们安排了住宿没收我们钟点房的费用，开心', '短评打分': 5}
{'短评内容': '房型很好', '短评打分': 5}
{'短评内容': '酒店环境很好，设施齐全，而且位置不错，这个价格不贵，但是只有一点不是很好就是位置有点难找，其他都好，挺满意的，楼下就有乐豆家，大润发和苏宁易购。', '短评打分': 4}
{'短评内容': '酒店的位置还是不错的，旁边就是八一广场，理万达广场和地铁站都很近的。就是房间设施稍微旧了点，住在26楼看风景真心不错的。', '短评打分': 4}
{'短评内容': '酒店房间还可以，就是空调制热不太行。', '短评打分': 4}
{'短评内容': '交通方便，附近就有车直达火车站和各个景点，吃饭购物都很多选择，而且老板娘人很好~~', '短评打分': 5}
{'短评内容': '好，很好，灰常好', '短评打分': 5}
{'短评内容': '非常满意。下次再来', '短评打分': 5}
{'短评内容': '挺好的，下次还使用这个软件预订', '短评打分': 5}
