{'短评内容': '环境很好，服务不错', '短评打分': 5}
{'短评内容': '两只大金毛都很友好，一只很高傲，一只很好动，门口的玻璃房很漂亮，院子很适合小憩。环境和卫生一如既往的好，因为不是旺季，等于我一个人就住了双人间。早上去的很早老板姐姐也直接让入住了～', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '店主很热情❤️', '短评打分': 5}
{'短评内容': '环境很好，交通很好，服务也很好，有只温顺的大金毛，住很很舒服，暖暖的', '短评打分': 5}
{'短评内容': '酒店离古城南门非常近，而且酒店干净。店家提供的服务很贴心。狗狗很可爱。酒店隔壁的兰州拉面味道很正宗。', '短评打分': 5}
{'短评内容': '在游客中心旁边地理位置是真的棒 青旅也挺有氛围 不知道是不是太重的原因床有点摇晃哈哈 前台和店里啊小哥很热情很暖心 不错的青旅', '短评打分': 5}
{'短评内容': '氛围很好', '短评打分': 5}
{'短评内容': '就在大理古城边上，不远，老板东北人，里面环境还不错，我们住的一楼很潮', '短评打分': 4}
{'短评内容': '非常棒，服务也好，环境也棒！下次来大理还会来这住', '短评打分': 5}
{'短评内容': '唯一取点就是不像其他一样，问在哪个位置喊你自己找！', '短评打分': 5}
{'短评内容': '不错吧', '短评打分': 5}
{'短评内容': '店员服务好，待人真诚，还有两只可爱的狗狗，值得一住！', '短评打分': 5}
{'短评内容': '旅舍老陈服务特别到位，一到旅店帮我们搬行李，还给我们出游提供建议，第二天还帮我们叫了车去喜洲，特别暖心的是老陈跟司机还说了悄悄话，哈哈，我相信绝对不是商量着拐卖美丽少女（≧??≦）～性价比高，绝对值得推荐', '短评打分': 5}
{'短评内容': '服务好，位置不错，就在古城大门附近', '短评打分': 5}
{'短评内容': '距离南门很近   就是没有直达火车站的公交车 这个有点不方便', '短评打分': 5}
{'短评内容': '开了很久的青旅，服务环境都挺不错。唯一不足的是我去那二天下雨，没有热水提供。', '短评打分': 5}
{'短评内容': '坐落在南门附近，到南门口大约走个三四分钟，门口有一家“早点”，我找了半天看不到店名，这家炒菜味道不错，早餐有饵丝，有米线~说回来，驴窝驿整体卧室很满意的，老板态度很和蔼，刚开始坐车坐过站了老板过来接了我们，住三楼的房间，房间墙纸蛮有特色的，感觉也很干净，24小时热水也很好~~~不像网上说的不好啊，住了三天，大理紫外线真不是盖的，衣服挂出去两个钟头就干了，还有一股糊了的味道~~大理天空很美，驴窝驿性', '短评打分': 5}
{'短评内容': '是这次云南行中感觉最好的客栈，温馨，有特色，老板好说。原打算在丽江多住两天的，谁知那的店主坐地起价，所以还是觉得回到大理的这个驴窝多呆两天。感谢老板娘的热情接待。值得推荐！', '短评打分': 5}
{'短评内容': '老板好热心态度和蔼可亲呢 亲自接我们到驿栈 价位合理 小店风格狠随意温馨 房间好干净 有无线网 还可以跟着金花老板一起吃饭 只是偶一直在外面玩没有时间', '短评打分': 3}
{'短评内容': '体觉得酒店不错，交通方便，环境小资，就是房间水小点。其他都好。', '短评打分': 5}
{'短评内容': ' 客栈卫生温馨，老板很亲和。就是客房在路边，有点吵。', '短评打分': 3}
{'短评内容': '老板服务态度很好，房间装饰的很有特点，环境安静怡人，离古城很近。', '短评打分': 5}
{'短评内容': '整体还行，价格偏贵，老板很热情，房间比较大，热水供应的不太好，水太小', '短评打分': 5}
{'短评内容': '房间很干净，客栈布置的很有新意，老板人很好。本来订的是一楼的标间，老板给我们换成二楼的。', '短评打分': 5}
{'短评内容': '客栈很好。装修不错。很符合年轻人的口味。住的地方干净明亮。总体来说很好。', '短评打分': 5}
{'短评内容': '古城南门，交通方便，店主还有车来接，房间内设施一般，干净舒适，', '短评打分': 5}
{'短评内容': '房东的儿子是个超级背包客，基本走遍了大陆。\n店家很友好，房间很干净。在南门外，晚上很安静。去古城也就是5分钟路程。\n问题是枕头太硬太高，第二晚无法睡觉。强烈建议更换。', '短评打分': 5}
{'短评内容': '酒店老板夫妇人很好~~大晚上还来古城门口接我们！客栈离古城南门很近，很方便。房间也不错。推荐哦~~', '短评打分': 5}
{'短评内容': '李大姐人很好，装修风格很不错，是大理住宿旅行的好去处，推荐', '短评打分': 5}
{'短评内容': '主楼装修风格很温馨，离古城很近，老板热心为客人提供帮助。', '短评打分': 5}
{'短评内容': '普通标间有的差，最晕的是早上没有水，', '短评打分': 3}
{'短评内容': '为了睡大床，即便我是一个人，我也定了情侣间（哈哈哈），房间挺宽敞，布置得很有爱，整个酒店都很干净，大堂里还有台球桌，离古城距离也很近，晚上很安静，性价比很高，以后我再去大理我还希望住这里。', '短评打分': 5}
{'短评内容': ' 客栈很不错，大厅有台球桌，房间很干净。就是下车走的有点远。', '短评打分': 3}
{'短评内容': '环境不错，布置的挺温馨！老板人也挺好！不错的选择', '短评打分': 5}
{'短评内容': '性价比很高的客栈，老板服务很好，客栈环境卫生都不错，美中不足的的地方是冲凉的水温不够热，到冬天不知道会不会好点。', '短评打分': 5}
{'短评内容': '老板很热情，帮忙订票还送我去汽车站~~谢谢老板啊！', '短评打分': 5}
{'短评内容': '还不错，酒店装修有点特色，但就是没空调，冷的时候可能就不太舒服了', '短评打分': 5}
{'短评内容': '客栈一楼是餐吧，门口可以停车，老板态度和蔼，总体感觉不错。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '位置极佳，交通方便，老板热情，服务周到，一个字：“好！“。', '短评打分': 5}
