{'短评内容': '酒店地处市中心，交通便利', '短评打分': 5}
{'短评内容': '很好好好好', '短评打分': 5}
{'短评内容': '房间干净整洁，周围也有很多商场很方便。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的，位置佳，房间干净，安静，来佳木斯好多次了，基本上每次都住这里，因为这里离我出差的位置很近。附近有好多吃饭的地方', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的酒店，服务代表连锁水平', '短评打分': 5}
{'短评内容': '环境一般吧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '我比较喜欢汉庭，佳木斯的汉庭住了好多次了，我感觉挺好的，起码卫生不错', '短评打分': 5}
{'短评内容': '各方面都好！地点很好，服务也好！', '短评打分': 5}
{'短评内容': '环境还可以 屋里显得很冷', '短评打分': 4}
{'短评内容': '所有东西都要下楼买，屋内没有！看着人少也不好意思让送！不方便', '短评打分': 4}
{'短评内容': '环境好，方便', '短评打分': 5}
