{'短评内容': '环境不错很干净', '短评打分': 5}
{'短评内容': '总体来说还是可以的，就是有的床垫子可能用了好久了，都塌陷了一半，靠垫最好不用，感觉不干净！', '短评打分': 4}
{'短评内容': 'WiFi总是断网，临商业街，比较繁华，但是很吵，睡不好，房间面积特别小。凑合吧，不值这个价位。', '短评打分': 4}
{'短评内容': '没停车场没早餐，不适合带孩子', '短评打分': 2}
{'短评内容': '唯一记得地漏淌水淌了一晚上', '短评打分': 5}
{'短评内容': '非常安静环境很好', '短评打分': 5}
{'短评内容': '停车不方便 酒店位置 标志不明显周边热闹 繁华 购物 吃饭方便  这条路 白天超级拥堵酒店新装修 倒是还不错 卫生间 洗完澡 下水及其的差 转天水都没下去对于一百多的房间 也就这意思了', '短评打分': 4}
{'短评内容': '环境不错前台服务态度很好，不错下次还住这', '短评打分': 5}
{'短评内容': '附近这算可以的', '短评打分': 5}
{'短评内容': '没有停车场没有电梯，其它都不错', '短评打分': 5}
{'短评内容': '酒店前台态度特别差，素质有待提高，刚开始是在携程团购的，以前打电话有咨询，然后开车去得，结果到了之后又告知不可以用而且跟携程没合作，前台还说怎么可能团购这个价格可以入驻，还有点看不起的意思，但是如果不能这个价格入驻干嘛要放团购，且提前打电话问团购可以不可以时为什么说可以，然后给携程打电话，态度特别好、帮我解决，携程说既然客人团购了就得入驻，沟通了酒店酒店依然让以门市价格入驻、后来携程说不能耽误我们', '短评打分': 1}
{'短评内容': '酒店前台态度特别差，素质有待提高，刚开始是在携程团购的，以前打电话有咨询，然后开车去得，结果到了之后又告知不可以用而且跟携程没合作，前台还说怎么可能团购这个价格可以入驻，还有点看不起的意思，但是如果不能这个价格入驻干嘛要放团购，且提前打电话问团购可以不可以时为什么说可以，然后给携程打电话，态度特别好、帮我解决，携程说既然客人团购了就得入驻，沟通了酒店酒店依然让以门市价格入驻、后来携程说不能耽误我们', '短评打分': 1}
{'短评内容': '价格在周末算是公道了，离山庄很近', '短评打分': 5}
{'短评内容': '位置好，水只有两个选择：滚烫的热水或冷水', '短评打分': 5}
{'短评内容': '酒店位置好，但是热水不行。', '短评打分': 5}
