{'短评内容': '很遗憾，没有去上，希望以后有机会再去，祝生意兴隆', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店紧挨着岷江，环境不错，开窗就能见到水，尤其是特别的安静，性价比也高，停车方便！早餐不错，不过种类应该再丰富一下', '短评打分': 5}
{'短评内容': '很不错，都行。很满意。', '短评打分': 5}
{'短评内容': '酒店温馨，环境安宁舒适，服务人员素质不错。睡前牛奶很贴心。特别是早餐非常好吃。5星好评，会给朋友推荐。', '短评打分': 5}
{'短评内容': '非常不错的酒店。环境温馨，房间感觉整洁。前台妹子和善热情，服务周到。都江堰的空气的确很好，非常适合旅游。', '短评打分': 5}
{'短评内容': '服务非常到位，绝对点赞', '短评打分': 5}
{'短评内容': '威露士（Walch）泡沫抑菌洗手液 300ml 儿童卡通版', '短评打分': 5}
{'短评内容': '还可以吧！服务超好。设施和早餐个人觉得比三星好点，四星差点。房间送了水果和牛奶。', '短评打分': 5}
{'短评内容': '吃饭不太方便，交通也不很方便，房间还行', '短评打分': 5}
{'短评内容': '还不错 雨洒坏了 总体很满意', '短评打分': 5}
{'短评内容': '从没消费这么便宜的五星酒店', '短评打分': 5}
{'短评内容': '有点偏僻 不过环境好 又安静 很棒！房间整洁，面积也挺大的，价格贵一点也可以接受~下次还可以考虑住这。', '短评打分': 4}
{'短评内容': '离高铁站很近', '短评打分': 5}
{'短评内容': '太偏了，吃饭都找不到地方，房间还是比较好的，就是床垫太软', '短评打分': 4}
{'短评内容': '旅游不错的一家', '短评打分': 4}
{'短评内容': '物廉价美', '短评打分': 5}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '一如既往的好，来了很多次了！不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店设施齐全，干净卫生清静！5分好评', '短评打分': 5}
{'短评内容': '朋友介绍，第一次入住。环境、服务不错，就是离城远了点。', '短评打分': 5}
{'短评内容': '装修豪华睡觉安静', '短评打分': 5}
{'短评内容': '不错。有四星水平。花园稍微小了一点，其他还好，挺安静！', '短评打分': 5}
{'短评内容': '满意，酒店很新，就是位置稍偏点，适合自驾游的客人', '短评打分': 5}
{'短评内容': '酒店离青城山不远,开车10分钟就到了,我预订了江景房.不过所谓的江景房也是噱头,因为离江比较远了,看得并不清楚,因为房价和普通标间一样,所以也无所谓遗憾了.但是房间很干净,晚上还有服务员送牛奶,感觉很温馨的.', '短评打分': 5}
{'短评内容': '酒店装修风格与豪生酒店类似，服务比较好，因为酒店比较小，所以入住人员不复杂，感觉还好。早餐，面条值得一吃，特别是红味的，巴适！', '短评打分': 3}
{'短评内容': '位置离动车站较近步行需要15分钟左右。\n我们住的那个房间周围有空调系统噪音很大感觉不是很好！不过睡前送杯牛奶感觉还是蛮窝心的值得表扬！', '短评打分': 5}
{'短评内容': '酒店设施很好，房间很宽敞，餐厅做的饭菜很有味道。推荐自驾车入住。但酒店外部环境不好，较偏僻，不在市里。', '短评打分': 5}
{'短评内容': '酒店硬件软件都很好，服务也很到位，值得下次再来。', '短评打分': 3}
{'短评内容': '酒店小巧精致 内环境不错  \n管理不足 但能够想法弥补  总体还不错\n外环境稍差', '短评打分': 5}
{'短评内容': '很安静，设施很好，就是装修的味道太大，空调的声音很大，这个季节，其实很不希望开空调，但是被子太厚，不开没办法。酒店周围的环境不好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '房间很好，很安静', '短评打分': 3}
{'短评内容': '酒店房间环境很好，服务也不错，虽然位置有点偏，但是离动车站近，下次还会住这！', '短评打分': 3}
{'短评内容': '酒店硬件不错，很舒适。服务也不错。早餐比较丰富，服务员还来征求早餐意见，感到很温暖。总体很满意。只是酒店的环境有点欠缺，庭院太小了。收费有点小贵。', '短评打分': 5}
{'短评内容': '中堰国际酒店五星级标准和服务', '短评打分': 3}
{'短评内容': '准四星的酒店，金玉其外，败絮其中。房间的隔音措施不怎么样，而且走到后也没了预订的单间。', '短评打分': 3}
{'短评内容': '酒店的硬件不错，四星到五星之间，服务人员也很热情，只是早餐品种少了点，总的来说还是不错的', '短评打分': 5}
{'短评内容': '酒店环境很好，服务也不错，就是打车很不方便', '短评打分': 5}
