{'短评内容': '很有特色的酒店', '短评打分': 5}
{'短评内容': '环境舒适，停车方便', '短评打分': 5}
{'短评内容': '酒店环境不错，很喜欢酒店的风格', '短评打分': 5}
{'短评内容': '价格合适，装修别具风格有情调。另外我要提两点意见：一，厕所门把手竟然没擦干净还有些黏糊糊的。二，房间灯光照明不足，都是小灯又不够亮，建议安装一盏台灯以满足客人学习工作用光需求', '短评打分': 3}
{'短评内容': '手机充电不方便，把我手机都充坏了', '短评打分': 3}
{'短评内容': '非常好 很舒服 京东很实惠', '短评打分': 5}
{'短评内容': '这个酒店还不错，价格实惠，可以哇', '短评打分': 5}
{'短评内容': '冲着法式风情去的，果然有异域不同的味道，感觉挺不错的。不过遗憾空调室内风机响了一晚，影响了睡眠和心情。另外，大邑的肥肠血旺很不错，一定要找那客人满堂的店去尝尝，口水来了！……', '短评打分': 4}
{'短评内容': '挺好的！不过就是空调不给力！', '短评打分': 4}
{'短评内容': '位置很不错，房间装修也不错，不过时间有点久很多地方有待维护了。酒店大门很有味道，不错不错！！！！！！！', '短评打分': 4}
{'短评内容': '酒店环境很不错  地理位置非常方便 前台服务态度非常好 缺点是  浴缸水龙头是坏的  ', '短评打分': 5}
{'短评内容': '旅游经过的，整体还不错', '短评打分': 3}
