{'短评内容': '价格便宜，平常旅游可以入住，建议有会议或者办公的选择更好的酒店。', '短评打分': 5}
{'短评内容': '没有早餐，加个枕头都没有就甭说加床了，酒店位置还可以有停车的地方，房间卫生一般。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '价格低，酒店环境一般', '短评打分': 3}
{'短评内容': '有股怪味啊！', '短评打分': 3}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '看清楚地点，周围环境不太好，没有其他的，比如吃饭，还有服务不好选择错了只能认栽，好了我说这么多明白什么情况？实话说我就是受害者，找客服没有用', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好，房间干净，就是早上有点吵，热水足，洗澡特别的舒服，再有就是床小了一点，吹风机是坏的，没有热风，其他都还好，不错，价格值', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '看图片挺好的谁知道一进去才知道 墙上面都是黄黄的不知道什么东西  超恶心人，而且床很隔人  中间还凹下去了，电话也不能打   就是个摆设，上面都是灰，真醉了，倒霉 第一次住这样的 。希望旅友们慎重。', '短评打分': 1}
{'短评内容': '环境不好', '短评打分': 1}
{'短评内容': '房间有点小，比钟点房的小。不知道是不是周末的原因', '短评打分': 3}
{'短评内容': '方便快捷，帮朋友订的。。。。。。。', '短评打分': 4}
{'短评内容': '感觉环境还可以，洗浴设备不错', '短评打分': 3}
{'短评内容': '离网吧很近    还挺干净的   交通方便', '短评打分': 3}
