{'短评内容': '怎么扣钱我的信用卡了  到了门店还要另外付款\n\n房间不怎么样 好偏僻', '短评打分': 1}
{'短评内容': '离上海理工倒还是挺近的，离地铁站也很近，房间不如预想的好', '短评打分': 3}
{'短评内容': '房间很不错，90元的特价房，电视空调一应俱全，空间也蛮大。\n但是就是宾馆不太愿意放90元的特价房。也许是元旦的原因把。', '短评打分': 5}
{'短评内容': '比较干净，房间也挺大的，就在八号线黄兴公园站出口边上，非常好找，唯一的不足就是卫生间的下水有点下毛病，不过也不算大问题！', '短评打分': 5}
{'短评内容': '去了后说没有早餐。给一个人每天退3元。结果入住后说房间免费升级了就不给退了。房间电视没有有线电视。无线网速太慢。和龟速一样！唯一方便的就是靠近地铁站', '短评打分': 1}
{'短评内容': '很不错，交通便利，房间也很好', '短评打分': 3}
{'短评内容': '还可以，比较温馨......................', '短评打分': 5}
{'短评内容': '交通挺方便的，就是客房有股味道，洗发水根本无泡沫，提供的早餐也不咋地！', '短评打分': 5}
{'短评内容': '比较憋屈。。。。。。不过帮忙整网线的小哥人不错，，~~~', '短评打分': 5}
{'短评内容': '总体还不错！交通蛮方便的，价格实惠！就是卫生间太小，隔音不是很好，外面的声音在房内很清楚，网速建议提高，太慢了，还有就是毛巾不是很干净！至于那早餐嘛，还是没有好', '短评打分': 5}
{'短评内容': '因为亲戚来上海看病，这家酒店距离医院比较近，旁边就是一个黄兴公园，酒店环境一般，住住还是可以的', '短评打分': 5}
{'短评内容': '房间、服务还可以', '短评打分': 3}
{'短评内容': '还不错，交通便利。不过床太小太小太小了，2个人睡要挤', '短评打分': 5}
{'短评内容': '地段不错，交通方便，性价比尚可。无线网不稳定，卫生不彻底，卫生间门百叶透气口灰尘有一元硬币厚；马桶刷洗不干净，有异味；镜子有水渍；床裙长期不洗不换，没有还干净些；洁具损坏不及时维修；早餐是与小食店挂钩的……没有其他商务酒店的严格、严谨，如能注重细节，就物有所值了，酒店也就上档次了，期待改进。如有改观，以后还是会考虑入住的。', '短评打分': 5}
{'短评内容': '挺好的，交通非常便利，有机会还会住，价格也合理。', '短评打分': 5}
{'短评内容': '设施有点陈旧，不过地方很好，出门就地铁，热水也很好', '短评打分': 5}
{'短评内容': '就在四号线的出口，交通相当便利\n价格实惠，还送早', '短评打分': 5}
{'短评内容': '交通很方便，地铁出口即到，房间比较干净，服务也很热情。', '短评打分': 5}
{'短评内容': '还不错啊  住了三天 世博会中还是挺方便的  客服态度也不错拉 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '物美价廉，但环境一般…', '短评打分': 3}
{'短评内容': '非入住人 不了解 非入住人 不了解 非入住人 不了解', '短评打分': 5}
{'短评内容': '交通很方便，服务态度好，就是离市中心有点远。', '短评打分': 5}
{'短评内容': '很久啊啊            啊啊啊啊啊         ', '短评打分': 1}
{'短评内容': '看世博很近，很好。地铁附近很方便。价格也合理，陈旧了一些', '短评打分': 5}
{'短评内容': '太差了。我帮朋友定的房间，本来住2天。结果住了一晚上，实在吃不消都跑了。还三星级的呢', '短评打分': 1}
{'短评内容': '交通方便。。。。。去五角场也挺方便。。。。卫生还可以！', '短评打分': 5}
{'短评内容': '地址不错，离地铁挺近，在世博期间推进入住', '短评打分': 5}
{'短评内容': '世博期间这家酒店算是还可以的。只是房间感觉有点脏，地理位置很好！', '短评打分': 5}
{'短评内容': '交通很方便 很好 世博期间这个价格很OK', '短评打分': 5}
{'短评内容': '靠近马路的房间太吵，夜里休息不好，早餐也及其一般，以后不会来了', '短评打分': 1}
{'短评内容': '房间设施一般，陈旧。环境和卫生过得去。服务还可以。地理位置很好，出门就是地铁站8号线，黄兴公园站。', '短评打分': 5}
{'短评内容': '地理位置不错，离地铁站很近，8号线黄兴公园出站50米。房间设施一般，隔音效果一般，环境一般，服务不错的。算不上2星。旅馆性质。', '短评打分': 5}
{'短评内容': '地理位置很好，下地铁8号线黄兴公园站30米就是。环境一般，卫生一般，服务比较不错。设施一般。', '短评打分': 5}
{'短评内容': '非常一般，不过地理位置比较好，挨着地铁，要是到附近办事还是比较方便', '短评打分': 1}
{'短评内容': '地理位置有点偏，房间小，但卫生还行，服务态度一般。', '短评打分': 5}
{'短评内容': '位置很好  离地铁8号线很近  去哪都很方便  门口就是黄兴公园  还有早餐挺好吃的', '短评打分': 5}
{'短评内容': '服务态度都很到位，酒店环境也很好，而且交通也很方便', '短评打分': 5}
{'短评内容': '去之前就确认过，不过到了发现我们说的都是耳边风，后来又加床才凑合一天，要不是其他酒店也紧张，就换地方了', '短评打分': 1}
{'短评内容': '怎么说呢，条件真的不怎么样，同学住的附近几家快捷宾馆同样的价钱条件要好得多,倒是真的就在8号地铁站的旁边。', '短评打分': 1}
{'短评内容': '怎么说呢，条件真的不怎么样，同学住的附近几家快捷宾馆同样的价钱条件要好得多。', '短评打分': 1}
{'短评内容': '有窗的房间挺好的，离地铁站很近，有电梯, 不过末班地铁可能不到那一站', '短评打分': 5}
{'短评内容': '给朋友订的,自己觉得不错订给朋友的,主要是世博期间,不过不是世博期间还是不建议住,,离市中心和火车站都太远', '短评打分': 5}
{'短评内容': '因为是世博期间去的，有地铁8号线可直达，所以很方便，酒店算经济型儿，总体来说还算不错', '短评打分': 3}
{'短评内容': '还不错。挺好。就是房间固话没法用', '短评打分': 3}
{'短评内容': '世博期间,价格高,但离8号地铁站近,交通比较方便.设施简陋,走道放置杂务,管理乱.', '短评打分': 1}
{'短评内容': '性价比低了点  交通是还可以 地铁近  前台态度也不错  卫生差了点', '短评打分': 1}
{'短评内容': '最重要的是离地铁口近，不过位置确实有点偏，坐地铁也要很久时间。下水道漏水情况比较糟糕，没有窗，房间小，隔音效果差。总之除了离地铁口近以外没什么值得推荐的。', '短评打分': 1}
{'短评内容': '卫生很一般，服务很一般。位置比较偏远，不过在8号线黄兴公园站旁边，还算方便。', '短评打分': 1}
{'短评内容': '就在8号地铁站黄兴公园旁边，交通非常便利，性价比好', '短评打分': 5}
{'短评内容': '就是空调声音比较响，电视不好，网络不错的，总体还可以，下次还会光临！', '短评打分': 5}
{'短评内容': '酒店的交通方便 出门就是8号线 \r\n\r\n在世博会的时候还能找到200不到的房子而且去世博园也不用转车 很超值 \r\n\r\n对于自费出门的驴友是不错的选择', '短评打分': 5}
{'短评内容': '酒店位置佳,离地铁8号线仅有50米,是我见到的离地铁最近的酒店.尤其是8号线可以直达世博园区,是参观世博会的极佳位置.\r\n酒店设施有些陈旧,但还干净整洁.备有免费早餐,虽略显简单,但还算实惠.', '短评打分': 3}
{'短评内容': '交通十分的方便，出地铁，一分钟就能到达。而且服务态度也非常棒', '短评打分': 3}
{'短评内容': '  服务态度很好 交通非常方便特别是去世博 出门就是地铁 就是性价比不高', '短评打分': 5}
{'短评内容': '卫生还行，交通很方便，就是房间没有窗户，有点闷，其他都还好', '短评打分': 3}
{'短评内容': '就在地铁站黄兴公园旁，周边有24小时超市多间，超方便，价格公道', '短评打分': 5}
{'短评内容': '交通方便，性价比高，下次还订，已推荐朋友预订', '短评打分': 5}
{'短评内容': '出发前一天酒店人员告知无房，换到百星假日旅馆了。价格便宜，服务员热情，最主要是出门看世博非常方便，门口即是十号线，出门步行5分钟可乘坐世博11号专线。一百多元的价格住这个，性价比不错，如果房间窗户有纱窗就更好了，没纱窗不敢开窗透气，房里有股味道的。', '短评打分': 5}
{'短评内容': '感觉不错，去世博很方便。价格也合适。周边环境也不错。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '服务还行，交通方便，早餐不丰富。总体还可以。', '短评打分': 3}
{'短评内容': '不错,旅店挺干净,位置更好,性价比好', '短评打分': 5}
{'短评内容': '出差入住，还是比较方便，价格在这个区域算是性价比还比较高的吧', '短评打分': 5}
{'短评内容': '+已经住进来了 很好很干净 交通便利 真的很不错', '短评打分': 5}
{'短评内容': '还不错，距离地铁站很近，去世博比较方便！', '短评打分': 3}
{'短评内容': '总的来说不怎么样，相对于招待所级别的，经常来上海，这个我住的环境最不好的了', '短评打分': 1}
{'短评内容': '交通挺方便出来有地铁~但是没有窗户~~空气比较不好', '短评打分': 3}
{'短评内容': '去世博园很方便，8号线就在楼下\r\n缺点么，盥洗设施有点陈旧，但还能接受\r\n总的来说还行吧，这个价位还算OK', '短评打分': 5}
{'短评内容': '作为世博的住宿，本人认为普通消费可以。最大的优点就是地铁方便，出口就是，看完世博后根本就没有力气走路了，这是最好的选择。但是离马路太近，晚上噪音很大。床也很一般，最普通的那种。早餐勉强可以吃吧！总之，适合世博期间普通人选择。', '短评打分': 5}
{'短评内容': ' 性价比很高, 比较方便!', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '卫生不够好，但位置不错，旁边有地铁，有超市', '短评打分': 5}
{'短评内容': '卫生服务位置等一切都好 唯隔音有待提高 \r\n', '短评打分': 5}
{'短评内容': '卫生太差，房间阴水，装修陈旧，香皂未及时补充', '短评打分': 1}
{'短评内容': '除了有点远以外 我觉得都好 不过交通还是蛮方便的 从上海南坐地铁一号线到人民广场换八号线到黄兴公园下 出地铁口就看见酒店了 房间里很干净 每天的卫生也搞得很好 世博期间这个价住这样的地方我觉得还行 ', '短评打分': 5}
{'短评内容': '交通便利，……………………服务态度还好………………就是不知道信用卡的押金什么时候返，请尽快返还', '短评打分': 3}
{'短评内容': '交通便利…………………………服务态度良好…………………………………………………………………………………………………………！', '短评打分': 3}
{'短评内容': '老板非常好，因为火车是晚上的，行李一直在酒店到晚上7点多。省去了我们很大的麻烦。十分感谢！有点缺点就是房间水压小。希望快快改进！', '短评打分': 5}
{'短评内容': '就是为了世博，这个地方就是一点好，去世博8号线，出门就是地铁，但是也要做20多分钟才能到世博6号门呢，设施就别提了，那个洗脸盆下面是漏的，电视每次看要敲一下才有声音，空调效果稀烂，早餐的馒头是算的，妈妈啊，我只能喝稀饭', '短评打分': 1}
{'短评内容': '交通方便 十一期间不好定 这里已经算可以了 ', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '这酒店跟招待所一样，里面的东西很久一进去就让我感觉不想住，厕所有点恶心。地理位置一般，服务员的态度比较冷待，去上海不会再住这酒店的', '短评打分': 1}
{'短评内容': '性价比不错.', '短评打分': 5}
{'短评内容': '交通方便，干净，服务良好，性价比不错。', '短评打分': 5}
{'短评内容': '+还不错.距离地铁不到一分钟路程.比较方便出行!', '短评打分': 5}
{'短评内容': '交通相当便利，出地铁口也就一分钟，而且周边很方便。', '短评打分': 3}
{'短评内容': '实体店住得比网上介绍的要好得多了！有机会还会去住的！', '短评打分': 5}
{'短评内容': '环境不错.就在八号线出站口.很方便.', '短评打分': 5}
{'短评内容': '整体来说还可以，就是存个行李还要收费，我觉得很不好', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': ' 整洁  便利  周到 合理 隔音不好', '短评打分': 5}
{'短评内容': '去世博的确方便，不用转车，但卫生和设施条件一般，特别是电梯里的气味让人不敢恭维！顺便想问一下店主，为什么洗脸的热水是黄颜色的？', '短评打分': 5}
{'短评内容': '好！舒服干净！', '短评打分': 5}
{'短评内容': '+酒店位置很好  条件也还可以 性价比还好哈', '短评打分': 5}
{'短评内容': '+酒店干净卫生，交通相当便利，服务也还不错。就是硬件有点差。', '短评打分': 5}
{'短评内容': '性价比还可以，就是没窗户，空气不流通。晚上要了一白粥也要收10元', '短评打分': 5}
