{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '酒店处于大昭寺附近，八廓街商业区内，出游购物很方便，到布宫、小昭寺，色拉寺、哲蚌寺公交交通便利。酒店大床房干净整洁，楼下藏餐厅不错，有个帅哥老板。', '短评打分': 5}
{'短评内容': '标准间是比较满意的，唯一的三人间味道非常大，靠近厨房一股油烟味，入住的时候居然还有在弄油漆，大厅在安装什么东西，声音很大', '短评打分': 4}
{'短评内容': '标准间是比较满意的，唯一的三人间味道非常大，入住的时候居然还有在弄油漆，大厅在安装什么东西，声音很大', '短评打分': 4}
{'短评内容': '非常非常非常好', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '楼层有点高，晚上睡觉感觉有种缺氧的感觉，里面服务还不错，所以给3分', '短评打分': 3}
{'短评内容': '住了一个礼拜，气氛挺好的。想念同宿舍里的小伙伴们！', '短评打分': 5}
{'短评内容': '从西藏回来有一段时间了，今天来评价一下所住的酒店，尘埃落定！订酒店的时候就非常喜欢这个酒店的名字，尘埃落定！一路西藏走下来拜访了西藏大大小小的寺院，又到了拉萨、林芝、纳木错、羊卓雍错、日喀则，一路下来都是在尘埃落定落脚，休息后便进入第二次的行程，如果下次你也去西藏，可以选择住在这里，尘埃落定名字不单好，地理位置也非常不错，从尘埃落定的后门走路五分钟就到了拉萨八角街，据说这里还有一段美丽的故事。。。', '短评打分': 5}
{'短评内容': '地理位置好，但环境真的一般', '短评打分': 3}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '还行吧，就是那么回事', '短评打分': 4}
{'短评内容': '没有窗帘，倒是卫浴是独立的，这点还是挺方便的', '短评打分': 4}
{'短评内容': '非常差。从没住过这么差的酒店。酒店在巷子里面，一个卖各种杂货的巷子。楼下的音乐从早放到晚，吵得人无法忍受，连初到拉萨的好心情都被消磨掉。要一次性用具，说我们这是属于青年旅社，没有。好，我可以理解。要烧开水的壶或者开水瓶，也没有，说青年旅社是这样的。青年旅社四个字好像就是什么都没有的代名词。强烈要求半天好不容易拿个水壶过来，不知道是哪一年的存货，里面锈斑结了好几层。这样的酒店，整个房间的卫生大家也可', '短评打分': 1}
