{'短评内容': '出差住宿，交通方便，离地铁站也近，周围吃点也比较方便，早餐还可以。', '短评打分': 4}
{'短评内容': '酒店交通便利，干净卫生，服务好', '短评打分': 5}
{'短评内容': '无早餐', '短评打分': 4}
{'短评内容': '无早餐，在金马立交桥旁边，晚上有噪音。', '短评打分': 4}
{'短评内容': '还可以，便宜。', '短评打分': 4}
{'短评内容': '我住過的最小的旅社', '短评打分': 2}
{'短评内容': '什么po酒店 导航一个多小时在昆明城区绕来绕去 后面找到已经快十点 不能停车 后面找停车场半天 停在别的酒店的 不要以为我很执着 只是你们就不能退房 顾客找不到位置 电话也没有 停车场也没有 只能退房 退也不能退 很携程说也不行 你以为你们酒店就那么便宜 旁边几十元也多了去 只是习惯问题 以后再不来你家住', '短评打分': 2}
{'短评内容': '服务态度好，干净，安全', '短评打分': 5}
{'短评内容': '酒店很新 被套很干净 前台服务员态度很nice 唯一缺点就是淋浴间没有格挡玻璃 洗澡的时候水流了整个卫生间一地', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '好的', '短评打分': 4}
{'短评内容': '位置好，卫生差。', '短评打分': 4}
{'短评内容': '床弹簧变形，感觉床高低不平，其他环境还可以，中立推荐吧', '短评打分': 3}
{'短评内容': 'WIFI连起都上不了网，房间很小，其他还好。在这附近算性价比较高的', '短评打分': 4}
{'短评内容': '一般……', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
