{'短评内容': '硬件设施较差，', '短评打分': 2}
{'短评内容': '都挺好。', '短评打分': 5}
{'短评内容': '第二次定，离景点很近', '短评打分': 5}
{'短评内容': '离繁华区进，吃饭方便', '短评打分': 5}
{'短评内容': '酒店位置不错  吃饭很方便  四周很多饭店。  非常干净  服务人员态度好  还预留了停车位  就在酒店门口非常方便。这次入住很满意。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '公司出差定的 因为离办事的地方很近 步行就能到 所以定了这个家 酒店环境还不错 房间卫生什么的也都还可以', '短评打分': 5}
{'短评内容': '舒服安静，好', '短评打分': 5}
{'短评内容': '还行  周围吃饭方便', '短评打分': 4}
{'短评内容': '酒店挺好。卫生环境也是很干净，值得再次入住。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '标志的酒店', '短评打分': 5}
{'短评内容': '吃饭方便', '短评打分': 5}
