{'短评内容': '在十字的路口，不经常出门所以环境什么的没在意，住的是二楼，但是靠马路，一大早就是公交车什么的声音确实没睡好，而且大冬天旅馆里没有热水，洗澡就不考虑了，洗手也没有热水就不太好说了，唉，以后还是要多方面考虑好，也怪自己没有经验，建议提高玻璃的隔音效果，晚上十一二点睡感觉还能听到马路上的声音。', '短评打分': 4}
{'短评内容': '考试过来这边住一晚，各方面感觉还可以', '短评打分': 4}
{'短评内容': '干净卫生！', '短评打分': 5}
{'短评内容': '适舒如家，一切很好！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房子卫生干净整齐，服务很好。', '短评打分': 5}
{'短评内容': '服务很好，房子干净卫生，下次还住。', '短评打分': 5}
{'短评内容': '很好住的很舒服，服务也很好。', '短评打分': 5}
{'短评内容': '经常去，不错。', '短评打分': 4}
{'短评内容': '？。。。。。。。楼陌陌wwwwwwwww就怕了', '短评打分': 5}
{'短评内容': '第一次也是最后一次住如家！以后住汉庭速八之类的。', '短评打分': 5}
{'短评内容': '交通便利，环境一般', '短评打分': 2}
{'短评内容': '一般般！', '短评打分': 4}
{'短评内容': '非要写点啥！', '短评打分': 5}
{'短评内容': '卫生好，服务好！！棒棒哒', '短评打分': 5}
{'短评内容': '服务员态度很好，酒店卫生整洁', '短评打分': 5}
{'短评内容': '酒店服务的主要问题是：我预订时约定的时间为次日凌晨六点前，他们并未提出异议，结果在当天晚8????时左右他们多次督促，并要求预付房款，否则若在12点前不到店则会退房。', '短评打分': 4}
{'短评内容': '上次停车的问题，本次入住已解决，感谢酒店经理的协调。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '怎么说呢。实话实说。第一次在携程上订的酒店。想对你来说。服务态度，以及房间预留这些都不错。办理很快，而且服务态度也很好。只不过，卫生我就得说两句了，我进卫生间的时候发现马桶里边还有不少烟灰。还是我自己冲干净的，我要的无烟房，没有也没关系。可是也不能说烟味很大啊。开门之后房间里边有不小的烟味。应该是那边比较繁华当天空余房间比较少的缘故。就是这些小的细节可能还有点欠缺。希望商家能注意下。', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '还可以吧，交通挺方便的，推荐一下。。。。。。', '短评打分': 5}
{'短评内容': '儒家的品质还是挺不错的，周围交通也很便利。', '短评打分': 3}
{'短评内容': ' 环境挺好的，服务也很周到', '短评打分': 3}
{'短评内容': ' 干净整洁，价格合理', '短评打分': 3}
{'短评内容': '还不错，挺安静的。交通也比较方便，好打车', '短评打分': 5}
{'短评内容': '酒店较大，房间干净，设施也不错。就是退房时间不是下午两点。前台说：金卡会员到14点，普通会员到13点，非会员12点。明显歧视啊！', '短评打分': 3}
{'短评内容': '位置不错，也很干净，就是需要中午十二点前退房，不太习惯。', '短评打分': 3}
