{'descr': '吃饭比较方便，离中东很近，就是床不舒服！', 'star': 5}
{'descr': '吃饭比较方便，离中东很近，就是床不舒服！', 'star': 5}
{'descr': '我感觉不错的，服务态度特别的好，让我们这些在校大学生体验到了家的感觉，很好，真的很好~~~~~~', 'star': 5}
{'descr': '我感觉不错的，服务态度特别的好，让我们这些在校大学生体验到了家的感觉，很好，真的很好~~~~~~', 'star': 5}
{'descr': '在中东附近，买东西什么都很方便！而且房间也干净，房间环境什么的都还不错的！', 'star': 5}
{'descr': '在中东附近，买东西什么都很方便！而且房间也干净，房间环境什么的都还不错的！', 'star': 5}
{'descr': '隔音太差，屋里有异味，位置有些远，同时服务一般，入住后就不管了，属于写字楼中有部分客房', 'star': 1}
{'descr': '隔音太差，屋里有异味，位置有些远，同时服务一般，入住后就不管了，属于写字楼中有部分客房', 'star': 1}
{'descr': '格局较有特色，新开的，所以比较干净，整栋楼的装修还没完成。可是舒适性不好。设施不完善，没有柜子，桌子很小，没地方放东西，挂衣服。床离屋顶很近，睡着很压抑。总之，休息的很不好~~', 'star': 1}
{'descr': '格局较有特色，新开的，所以比较干净，整栋楼的装修还没完成。可是舒适性不好。设施不完善，没有柜子，桌子很小，没地方放东西，挂衣服。床离屋顶很近，睡着很压抑。总之，休息的很不好~~', 'star': 1}
{'descr': '除了位置偏了点 ，其他都不错 \n门口打车有点不方便，不过不赶时间就不怕', 'star': 5}
{'descr': '除了位置偏了点 ，其他都不错 \n门口打车有点不方便，不过不赶时间就不怕', 'star': 5}
{'descr': '很有家的感觉！房屋结构合理，光照明亮，是朋友们聚餐的好地方！！！以后有机会还会光顾的。但是美中不足的是。厨房尽管有炊具，但是做饭的一些必要工具啊之类的还是欠缺，也许店家有自己的想法，总之感觉还是不错的', 'star': 5}
{'descr': '很有家的感觉！房屋结构合理，光照明亮，是朋友们聚餐的好地方！！！以后有机会还会光顾的。但是美中不足的是。厨房尽管有炊具，但是做饭的一些必要工具啊之类的还是欠缺，也许店家有自己的想法，总之感觉还是不错的', 'star': 5}
