{'短评内容': '海景房真的挺好的', '短评打分': 4}
{'短评内容': '酒店位置离海滩很近，楼下走几步路就到了，离景区门口比较远，但也不太远，走路也就10分钟都不用，酒店没有接送，只有景区的免费车接送。房间不错，看起来整洁干净，比评论和想象中的好，这个价位不错了。空调很给力，26度就够冷了，白天要用热水需要跟前台说一下，热水也很给力，游泳之后洗个热水澡再睡觉很舒服。退房之后可以把东西寄存到前台，切水果也可以问前台借刀，总的来说不错，下次还会选择这一家', '短评打分': 5}
{'短评内容': '酒店设施很旧，没有提供饮用水，电话也是坏的，网络信号弱，我订的是海景双人房，说免费给我升级了海景蜜月房，所以不提供发票。感觉不值598元一晚。', '短评打分': 3}
{'短评内容': '酒店位置比较方便 离海边3分钟路程 周边吃喝玩乐比较方便 房间空间还行 不算小 房间设施方面需要加强 洗漱用品比较劣质 服务态度貌似对于网上预订的客户态度感觉不是很好 房间给安排在了最角落 价格比平时贵太多 翻了好几翻 这个价格住其他5星是没有任何问题的 总体感觉一般吧 毕竟节假日期间方便才最重要', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '景色很美，服务周到，干净整洁。唯一缺陷没有园区免费接驳车，进出景点不太方便。', '短评打分': 4}
{'短评内容': '还行还行。。', '短评打分': 4}
{'短评内容': '房间还算可以，就是感觉洗手间有点旧。洗手间的灯很暗，基本看不清楚。国庆节人多，前台有点急躁，不过还算可以了。一间海景一间园景，海景有点吵，旁边就是唱歌和烧烤，离海滩超级近。', '短评打分': 4}
{'短评内容': '房间还算可以，就是感觉洗手间有点旧。洗手间的灯很暗，基本看不清楚。国庆节人多，前台有点急躁，不过还算可以了。一间海景一间园景，海景有点吵，旁边就是唱歌和烧烤，离海滩超级近。', '短评打分': 4}
{'短评内容': '不要选这家，好差啊，三间房，只有一个厕所，去玩完回来。洗澡都要等，冷死了，然后前台服务很差。里面房间门被上锁了，因为不是房卡开的，直接有锁的，让给开下要拿衣服冲凉。在楼上又打电话催了才上来，还很恶劣的挂了我电话，这个价位可以住更好的，大家自己看吧，主要是有老人在，才定的，如果知道只有一个厕所，而且其中一间房连窗都没有，我是绝对不会定的，失望，因为间隔太久，没有照片了，随便上一张，房间是三间房拼在一', '短评打分': 2}
{'短评内容': '马桶的水龙头有问题', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '面朝大海，温馨舒适，价格合理，（房间里面还有个保险柜）。 推荐入住靠东边的房间（面朝酒店门口右手边），最好是最边上房间，因为视野最开阔（730，728或者630，628），站在阳台上，全海景一览无余。 PS：酒店门口有出租摩托车，100块一天，晚上就放在酒店门口，都不用上锁，有点夜不闭户的感觉。', '短评打分': 3}
{'短评内容': '酒店环境很好，打开窗户就可以看到海滩，一出酒店走几米就可以去沙滩散步戏水，床铺很干净舒服，周围环境很好。这次住得很满意很开心！', '短评打分': 5}
{'短评内容': '节假日价格稍贵，环境好近海边，整体不错。', '短评打分': 3}
{'短评内容': '跟介绍的差不多，海景房景观很好，房间还是比较整洁', '短评打分': 5}
