{'短评内容': '王辉服务很好', '短评打分': 5}
{'短评内容': '这里环境真好，前台接待的王辉态度非常不错，而且还给我免费做了升级房，意外的惊喜，太喜欢这里了，周边的空气都是甜的。', '短评打分': 5}
{'短评内容': '原来的皇冠改成了君澜，没什么大区别', '短评打分': 5}
{'短评内容': '前台小馬服務很好，很專業。', '短评打分': 5}
{'短评内容': '环境优雅！很安静，早餐丰盛，很适合度假', '短评打分': 4}
{'短评内容': '无', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店不错，比较豪华，服务态度很好，房间还行，性价比非常高！卫生条件不错，周围环境太好了，非常值得一住！', '短评打分': 5}
{'短评内容': '酒店不错，比较豪华，服务态度很好，房间还行，性价比非常高！卫生条件不错，周围环境太好了，非常值得一住！', '短评打分': 5}
{'短评内容': '蛮适合全家出游的度假酒店 就在美丽的湘湖边 酒店有不少儿童活动和项目 房间比较老旧 但总体环境还是不错的。去的时候是国庆，所以早餐的地方拥挤 菜式也少，估计平日去还是会不错的', '短评打分': 4}
{'短评内容': '酒店离热闹的游乐园有一点距离，非常安静，适合带小朋友一起住，湖里养了很多鸭子、白鹅还有黑天鹅，在早餐厅外面可以喂青菜。吃完早饭沿湖边走一圈，很美很舒服。', '短评打分': 5}
{'短评内容': '环境很好，小朋友玩的很开心，下次有机会再去', '短评打分': 5}
{'短评内容': '尚可，离机场近，购物和用歺不方便。', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '早餐很壮观，环境很高雅，但是我订的行政房怎么感觉也只是个标准房，而且还是标准的1米5的双床，搞什么', '短评打分': 3}
{'短评内容': '很不错，景观房很安静，不过价格还是偏高的，这儿周边的配套设施不多哦。', '短评打分': 5}
{'短评内容': '好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很漂亮，很休闲，很有爱~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '临水、风景如画，自助餐较差。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格贵了点，其他都好，低密度酒店，真正享受。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地处比较安静，但很偏，打的还要从萧山市区过来，还没上车已经开始打表，25块。\n这个酒店已经脱离亚高集团，也就是说不是跨国公司管理的，因此有很多地方都比较疏忽。\n早餐不好，很乱。\n房间保养的不好，2006年以来已经有些霉味，不会再次入住。\n天鹅湖比较漂亮，就是一个郊区的旧的没有配套设施的度假村。', '短评打分': 1}
{'短评内容': '服务很好，设施不错，周围风景秀丽，适合渡假。', '短评打分': 5}
{'短评内容': '酒店内部环境很好，很安静，房间也还可以，价格小贵。但是如果去住一定要开车去。', '短评打分': 5}
{'短评内容': '酒店环境不错，位置也好， 高速下来不远就到。 就是大堂接待台乱的很， 一大堆人围着好像战场一般。 还好订的是会所房有单独的接待台。', '短评打分': 5}
{'短评内容': '出行交通方便，酒店服务设施都比较好。附近餐饮也很多。', '短评打分': 5}
{'短评内容': '是很不错的房间，环境相当不错！', '短评打分': 5}
{'短评内容': '很美，人性化\r\n比起其他索菲特体现了杭州萧山的美丽\r\n早餐丰盛而且味道美\r\n', '短评打分': 5}
{'短评内容': 'air condition is not good,too warm...', '短评打分': 5}
{'短评内容': '酒店就像它的名字一样，给人一种世外桃源的感觉，从房间、餐厅，往外看风景都很美，很舒适。', '短评打分': 5}
{'短评内容': '远离市区，环境非常幽静，也很美。非常适合休闲度假。', '短评打分': 5}
{'短评内容': '位置还是挺方便的，酒店也不错房间是挺好的，价格方面还行，挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '不愧是大品牌酒店，服务、卫生做的都很到位，餐饮也不错，好吃又不贵，而且可以边吃饭，边欣赏风景，很爽！', '短评打分': 5}
{'短评内容': '来这里度假，真是选对地方了，很豪华，很舒适，湖光山色，风景宜人啊！', '短评打分': 5}
{'短评内容': '卫生方面没有那么好.洗手间没有清洁过.那时正在修路交通不太方便.价格还算比较实惠.服务也可以.', '短评打分': 5}
{'短评内容': '住湖景房.看到的是一小湖水和对面的一排房子房，规划不好。中餐味道根本就不行，早餐还好。旅馆中没什么好做。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;五星级的标榜,只有三星级的服务水平,设施不足,尚未扩建完毕就开放,度假酒店竟没有游泳池,失望!真正的自助早餐(完全没有任何服务)!下次不会再入住!真不敢相信是外国管理!&amp;lt;/P&amp;gt;', '短评打分': 3}
