{'短评内容': '房间不错，干净，够大', '短评打分': 5}
{'短评内容': '酒店很贴心，公共场所都比较干净，走廊上的灯光也比较明亮，走进房间的第一感觉是，整洁、宽敞、床上用品也很干净，设施设备齐全。房间内配较为人性化。客房内的床具很高，也很舒服卫生间的布置还算温馨，卫浴设备也不错，而淋浴水流也很大，冲凉十分舒服, 服务态度超好！', '短评打分': 5}
{'短评内容': '东西很不错，干净优雅舒适喜欢', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '不错，满意的一次入住！', '短评打分': 5}
{'短评内容': '好评服务很好', '短评打分': 5}
{'短评内容': '蛮好的，就是weiz有点隐蔽', '短评打分': 5}
{'短评内容': '还行一般.....', '短评打分': 5}
{'短评内容': '可以，环境好，安静。设施齐全，房间宽敞，卫生好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '出门旅行不错的住所', '短评打分': 4}
{'短评内容': '还可以。。。。。。', '短评打分': 5}
{'短评内容': '设施很陈旧，', '短评打分': 1}
{'短评内容': '方便舒适', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，就是隔音效果不太好', '短评打分': 5}
{'短评内容': '7天的酒店，全国都差不多。出酒店所在的院子大门，门口就是公交车站，可以去火车站等地，往左拐约二百米是即将开通的地铁站，对面是公园路，有些经济小吃，水果摊，喜欢运动的朋友可去人民公园跑步，大门口往右拐步行约二百米到二七路，再右转步行十五分钟可到火车站。', '短评打分': 4}
{'短评内容': '总体来说还是不错的，本人蛮喜欢', '短评打分': 5}
{'短评内容': '停车位很差', '短评打分': 4}
{'短评内容': '由于订的是经济房，就被安排在一楼靠近电梯，结果没想到真的吵到爆。。。唯一的不爽！也是挺大的不爽。房间内部很不错，设施齐全。', '短评打分': 5}
{'短评内容': '卫生条件一般，感觉有点潮湿', '短评打分': 4}
{'短评内容': '卫生条件一般，没网络还没给处理，服务员态度倒是还好', '短评打分': 4}
{'短评内容': '很是方便，不会担心没床位', '短评打分': 5}
