{'descr': '居然还要押金，，，不懂', 'star': 5}
{'descr': '干净，卫生，可以去，性价比高', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '一晚上冻醒好几次，房间温度也凉，下次真不敢来这了～', 'star': 3}
{'descr': '帮朋友订的，还好吧', 'star': 3}
{'descr': '一切都特别好，', 'star': 5}
{'descr': '出差过来，离公司很近所以一直住这家！环境还行，交通比较方便！就是隔音效果一般，房间设备比较老旧了。价格不贵', 'star': 4}
{'descr': '价格公道！房间比较干净，虽然设备比较陈旧，隔音效果不怎么好但还是能够接受的！交通也比较方便，基本满意吧！', 'star': 4}
{'descr': '许我不想说', 'star': 3}
{'descr': '酒店内的环境很好，房间位于6层，大玻璃窗，阳光充足，服务很周到，尤其酒店的早餐种类丰富，味道很好。缺点就是酒店出来想要过马路太不方便了，需要绕点距离，如果有天桥或是地下通道就好了。', 'star': 3}
{'descr': '房间停水，有异味，房间还蛮大，网络信号不好', 'star': 3}
{'descr': '价格便宜，干净、服务态度好。', 'star': 3}
{'descr': '我今晚10点到', 'star': 3}
{'descr': '卫生不好，地上还有头发和灰尘，卫生间太小，马桶也有黄色的水垢，窗帘也没有沙帘', 'star': 3}
{'descr': '明明已经发了确认短信，结果到了酒店，人家说无预订信息。无奈只能联系客服，最后给调成了标准间，哎！！', 'star': 4}
{'descr': '前台服务很差，尤其是2011.12.21早晨7点多的前台服务员，表情僵硬，态度冷漠，一副无所谓的样子，让人感觉非常不舒服，这样的人不适合从事服务行业。不提前告知早餐券要自己到一楼前台领取，客人要先下到一楼领取早餐券，再上三楼吃早餐，当你想要提意见时被告知‘我们没有意见簿’，笑话！！！这样的服务企业能持久吗？', 'star': 1}
{'descr': '不错挺干净,早餐也很好', 'star': 3}
{'descr': '环境还不错，性价比比较高，而且离公园也比较近。 \n', 'star': 5}
{'descr': '环境还不错，性价比比较高，而且离公园也比较近。', 'star': 5}
{'descr': '还不错，就是卫生间太小了，房间倒是很安静', 'star': 5}
{'descr': '服务态度很好，环境也不错，卫生也很好，虽然屋子小点儿。没有衣柜，有衣挂。没有贵重物品保管服务，但也还算安全。就是房间隔音效果太差，隔壁房间打电话，感觉连电话里的声音都能感知到。', 'star': 5}
{'descr': '房间不大，其他尚可，到的那天管道维修，没有水，服务还可以', 'star': 5}
{'descr': ' 房间干净 不错', 'star': 5}
{'descr': '房间卫生条件很好，干净，卫生，服务周到热情，硬件设施也很齐全，住宿蛮好的', 'star': 5}
{'descr': '酒店的卫生条件很好，位置不错，就在主道边上，很容易找到，服务还好，房间设施也比较齐全，住宿环境还可以', 'star': 5}
{'descr': '早餐品种很多，口味不错，比较实惠，房间硬件设施很齐全，卫生条件不错，很干净，住着还很舒服', 'star': 5}
{'descr': '性价比很好的酒店，卫生条件好，服务质量高，环境很好，住的很舒服', 'star': 5}
{'descr': '性价比比较高的酒店，卫生搞得很好，看上去整洁，干净，住着蛮舒服的', 'star': 5}
{'descr': '酒店环境很好，卫生条件不错，很干净，暖色调的黄色，感觉比较温馨，住着很舒服，早餐种类多，味道也不错', 'star': 5}
{'descr': '酒店有自己的停车场，停车很方便，房间的卫生条件很好，很干净，住宿环境很好', 'star': 5}
