{'短评内容': '还可以阿克', '短评打分': 5}
{'短评内容': '非常非常的好', '短评打分': 5}
{'短评内容': '无早歺，2张1.5米的床，适合一家人出游，位置非常好，位于2号线中山公园7号出口，出门左转50米从二楼上岛咖啡标志进入即可。', '短评打分': 5}
{'短评内容': '条件一般，位置方便。', '短评打分': 3}
{'短评内容': '还不错，温馨舒适', '短评打分': 5}
{'短评内容': '好评，好评，好评，好评', '短评打分': 5}
{'短评内容': '雖然沒有很好的設施，也沒有很好的硬件，但地理位置真的很好，就在中山公園地鐵口出來，價格也挺親民，對於只是過夜住一宿而言，還算不錯的選擇。', '短评打分': 3}
{'短评内容': '设施非常好，住着非常舒服，女朋友很满意', '短评打分': 5}
{'短评内容': '没啥好说的', '短评打分': 2}
{'短评内容': '感觉不错！！！！！！', '短评打分': 5}
{'短评内容': '酒店是公寓式(无服务大堂的那种)，在大厦(新时空商务广场)23层，酒店交通非常方便，离地铁2号线7号出口不到100米，周边有两个较大的Mall，吃饭(早餐可到地铁2号线7号入口相连的地下美食广场)、购物方便。但酒店房间就在地铁4号线高架桥上，不关窗户地铁噪声较大。室内卫生尚可，比较有特点的是房间不大，但采用越层设计，这样有两个大床，适合家庭出游住。', '短评打分': 4}
{'短评内容': '还可以，比较满意', '短评打分': 4}
{'短评内容': 'THE HOTEL LOCATION IS GOOD, BUT INSIDE IS VERY OLD AND OVER SIMPLE .', '短评打分': 3}
{'短评内容': '离地铁站2、3号线很近，环境干净，设备偏旧，总体还是很满意的。', '短评打分': 5}
{'短评内容': '一般吧！', '短评打分': 3}
{'短评内容': '大上海确实不一样，这个价位只能住这样的酒店，而且还不带早餐，我无语了', '短评打分': 4}
