{'短评内容': '物美价廉。环境卫生条件好。', '短评打分': 5}
{'短评内容': '安静整洁干净', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '环境卫生都不错感觉舒服', '短评打分': 5}
{'短评内容': '环境不错，市中心，服务也很好，感觉很好', '短评打分': 5}
{'短评内容': '这个价位有这样的环境很不错，还有阳台。', '短评打分': 5}
{'短评内容': '实话讲，房间布置一点不好，适合打麻将，床单好像没洗过样(⊙o⊙)…热水一点不给力，冷死个人哟！花洒都是坏滴，水压不够！下次不得去了！', '短评打分': 4}
{'短评内容': '房子宽敞，不错！服务员态度也好！', '短评打分': 3}
{'短评内容': '地段好\u3000房间大卫生间超小设施一般', '短评打分': 3}
{'短评内容': '前台小姐态度很好。\n我们住的是09年装修的温馨系列的房，装修还不错，也比较新。\n房间还算宽敞，空调制热也很好，卫生尚算不错。\n洗手盆的水太大，溅得衣服都是水，淋浴喷头水又较小-_-|||纠结啊。\n155的价格在市区正中位置来说，性价比算不错了。', '短评打分': 5}
{'短评内容': '酒店环境可以!设施很让人失望!', '短评打分': 3}
{'短评内容': '服务满意、住宿满意、价格满意、酒店外围环境也不错、繁华地段，交通方便。就是电梯里面没有排气设施，很热。', '短评打分': 5}
{'短评内容': '位置不错环境好就是没有预约的优惠', '短评打分': 3}
{'短评内容': '房间很大，性价比比较高哦！位置也很好，在商业中心哦！值得一住！\n', '短评打分': 5}
{'短评内容': '较实惠 在步行街 位置可以 就是 普通 商务酒店', '短评打分': 5}
{'短评内容': '位置很方便，在市中心，对面就是百盛，旁边就是公园，前台服务态度蛮好，只是房间的设施不太好，不是特别干净，满旧的了，不过房间倒是挺大的，还有很大的阳台，同样是经济型酒店，和7天比起来就是房间大，宽敞明亮，但是床上用品等设施就不如7天，希望能及时改进。', '短评打分': 5}
{'短评内容': '地理位置很好，就在繁华的购物街~楼层很高能俯瞰全景，景色不错，楼下还有嘉年华游乐场，但是过了七点后就没声音了所以不影响休息。\n但是热水要等很久才有，不太好用，另外电视一直都是花屏。。。好在我带着电脑能上网。希望以后能加强热水方面的改进，还有卫生间也觉得有点陈旧了。。。', '短评打分': 5}
{'短评内容': '房间倒是挺大的但是设施还是有些陈旧，价格的话在当地来看还算比较合理，位置是比较不错但是不是太好找。', '短评打分': 3}
{'短评内容': '个人觉得此酒店地理位置不错，比旁边的爱家略好。', '短评打分': 5}
{'短评内容': '这样的房间对的起这样的价格，就是有点吵，特别是周六日，下面公园的游乐设施一开，几乎你就不用睡了，其他的到还行。', '短评打分': 5}
{'短评内容': '还是很不错的，房间大小合适，装修还可以。。', '短评打分': 5}
{'短评内容': '房间还不错.', '短评打分': 5}
{'短评内容': '还不错，下楼就是人民公园，喝茶很方便。就是房间的墙有点变形，地板也是鼓起来的，不过总的来说还是不错的，毕竟不是太贵。', '短评打分': 5}
{'短评内容': '不错，交通方便，城市中心，停车方便，下次还住', '短评打分': 5}
{'短评内容': '房子位置不错，可以看到江边的风景，但是房子是商务楼改造的，与下面的商铺相通，这点不太喜欢。', '短评打分': 5}
{'短评内容': '卫生条件很差.卫生间的毛巾都没法用.客厅也都有小蚂蚁.整体楼的人员又很混杂.给我感觉很不好.位置好出行就是购物中心之类的.不过给我感觉确实不是很好.', '短评打分': 1}
{'短评内容': '地板什么的都很破旧 但位置很好可以看到绵阳很好的夜景 楼层高还比较清净', '短评打分': 5}
{'短评内容': '不如住隔壁的爱家酒店', '短评打分': 3}
{'短评内容': '12点必须退房？你觉得合理吗？', '短评打分': 3}
{'短评内容': '浴室不是很好！但是水温不错！卫生间的淋雨很不牢固！卧室地板翘起来，墙面发潮，有霉斑！', '短评打分': 1}
