{'短评内容': '枣阳地区比较好的酒店了，还算可以吧', '短评打分': 5}
{'短评内容': '还不错，价格便宜，住的舒服，推荐', '短评打分': 5}
{'短评内容': '酒店位置优越，离市中心很近，有停车场，早餐也不错，已经入住很多次了，性价比非常高，除了硬件稍微有点落后，其他都不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '有史以来住过最奇葩的酒店！入住半小时后全程停电，但卫生间的排风居然开着，声音非常大，关都关不掉！这酒店我已经醉了！', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '整体环境不错，硬件设施有点落后，但是在附近办事还是很方便的，性价比很高的酒店，已经入住很多次了，下次还会选择！', '短评打分': 4}
{'短评内容': '酒店不错，推荐入住，应该在当地数一数二了', '短评打分': 5}
{'短评内容': '还不错，就是房间装修时间较长，很多贴纸都脱落了。然后洗个澡后，卫生间有积水，如果不注意有可能滑倒。', '短评打分': 5}
{'短评内容': '不错，服务很好，赞一个，京东加油，就是现在的会员积分制度很让人不爽。', '短评打分': 5}
{'短评内容': '还不错，这酒店在枣阳也是数一数二的了，原来在没有汉城酒店的时候，这就是枣阳的地标型酒店。', '短评打分': 5}
{'短评内容': '速度很快很方便', '短评打分': 5}
{'短评内容': '方便，价格优惠的可以', '短评打分': 5}
{'短评内容': '价格优惠，物有所值', '短评打分': 3}
{'短评内容': '不错，支持', '短评打分': 5}
{'短评内容': '卫生不错，服务好', '短评打分': 5}
{'短评内容': '比较安静，只是房间没有什么商品，有些东西还要出去买。', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以，在枣阳来说，是个首选之酒店', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '不差也不好，只能说这个价格一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉一般！', '短评打分': 3}
