{'短评内容': '空调太吵，跟飞机的发动机一样', '短评打分': 5}
{'短评内容': '入住酒店时，前台接待员服务态度不好，可能是心情不好吧。', '短评打分': 3}
{'短评内容': '酒店冲凉出水时热时冷，小心被烫伤', '短评打分': 4}
{'短评内容': '挺好的。。', '短评打分': 5}
{'短评内容': '酒店所处富华商圈，周边商业都很方便，有天悦城和富业广场，购物用餐都很方便，距离岐江公园和步行街可步行前往。酒店内部虽显老旧，但整洁干净，应有尽有，只是房间的空调声音太大制冷倒是很快。一楼有椰子鸡，二楼有中餐厅，价格实惠口味也不错，酒店包含两张早餐券在二楼中餐厅使用，可喝早茶和点菜，超出40元差价，餐厅无茶位费。入住当晚是中秋节，酒店很贴心的放了两块小月饼，虽不是什么贵重食品，但也提现酒店的用心，很', '短评打分': 4}
{'短评内容': '希望提高到付返现。', '短评打分': 5}
{'短评内容': '希望提高到付返现。', '短评打分': 5}
{'短评内容': '团体出游订了7个单人，3个双人，开张比较久，设备比较旧，一楼没有后门，二楼才有后门。', '短评打分': 5}
{'短评内容': '开业的比较久，比较封闭，设备比较老化，有停车位，二楼才有后门。一楼没有后面，开车不方便。', '短评打分': 5}
{'短评内容': '房间窗户永远都打不开的，不知道怎么换气通风，酒店年代很久了，还行吧，凑合', '短评打分': 3}
{'短评内容': '房间很一般，发霉的味道非常大！', '短评打分': 3}
{'短评内容': '酒店位置好，购物方便', '短评打分': 5}
{'短评内容': '酒店位置好，购物方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '这次住的房间比较旧，早餐也不如以前种类多，前台服务很热情。', '短评打分': 5}
{'短评内容': '前台服务有礼貌酒店干净交通方便下次出行还会住', '短评打分': 3}
{'短评内容': '非常不错，本来打算住一天，后来有事又住下了。', '短评打分': 3}
{'短评内容': '不错，蛮好的，房间宽敞。', '短评打分': 3}
{'短评内容': '环境不错，配套设施也算齐备，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '阳光酒店地处中山西区中心，酒店设施齐全，早餐丰富，酒店二楼餐馆早茶也不错，下次还会入住', '短评打分': 5}
{'短评内容': '电视机款式很旧..', '短评打分': 3}
{'短评内容': '装修有点旧，房间挺大的，晚上也比较安静，下次还会入住。', '短评打分': 3}
{'短评内容': '房间很漂亮，干净，很舒服，下次还会选择住这里。', '短评打分': 3}
{'短评内容': '设施及环境.服务.价格均可以,地理环境优越，静中带旺，饮食方便，唯一缺点就是汽车泊位太少了,自驾车去的朋友要注意!', '短评打分': 5}
{'短评内容': '总体不错，不足是走廊灯太暗，窗不能打开。', '短评打分': 3}
{'短评内容': '酒店位置很好，出行非常方便，房间较大，晚上很安静，自助餐品种不够丰富，能多点选择就好了，不过二楼有早茶，口味很地道，品种也很丰富，下次到中山还会住阳光酒店。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '  房间倒还宽大，但无特色，早餐单调，性价比不高。', '短评打分': 3}
{'短评内容': '总的来说很好，可是，我住的房间居然没有毛巾杆！！！', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '酒店按四星级建立，设施、环境都挺不错的，服务很好。', '短评打分': 5}
{'短评内容': '每次到中山都住阳光价格实惠', '短评打分': 3}
{'短评内容': '+还不错下次还会再来', '短评打分': 5}
{'短评内容': '房间设施配置比较新。装饰的也很漂亮，还是很不错的一家酒店。', '短评打分': 5}
{'短评内容': '酒店装饰的比较豪华舒适。配置设施也比较好。', '短评打分': 5}
{'短评内容': '酒店位于繁华商业区，逛街购物非常方便，环境设施都很不错，性价比很高的酒店。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，卫生很干净。到处都是非常整洁舒适的。', '短评打分': 5}
{'短评内容': '交通很方便.室内的硬件和软件条件也不错.感觉感觉还是可以的.', '短评打分': 5}
{'短评内容': '饭店环境卫生好,客房内有点旧,整体教好.', '短评打分': 5}
{'短评内容': '非常不错，超值的酒店', '短评打分': 5}
{'短评内容': '房间面积很大，卫生间也不小，住着很舒服，很干净，服务到位，随叫随到的。硬件设施也很新，性价比蛮高的。', '短评打分': 5}
{'短评内容': '房间里面只提供了一双拖鞋其他的都还行卫生设施都都还可以吧但是洗手间有些问题看起来不是很干净。位置还行，价格稍微贵了一些其他的还可以吧。', '短评打分': 5}
{'短评内容': '价格也是挺便宜的而且像这个价位的话酒店还算是比较不错的卫生和设施都还不错，位置还是挺好找的出行也还可以。', '短评打分': 5}
{'短评内容': '硬件条件和卫生条件还可以.位置也不错，综合水平比较高.', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '整体性价比都不错，就是离办事的地方比较远。', '短评打分': 5}
