{'短评内容': '368元十一也能接受。环境还不错了。就是连个早餐也不给', '短评打分': 5}
{'短评内容': '前台服务差！房间设施差…', '短评打分': 3}
{'短评内容': '房间安静，热水好，除了有点陈旧外都不错！', '短评打分': 4}
{'短评内容': '各种设施非常陈旧，附近酒店不多，凑合还可以', '短评打分': 3}
{'短评内容': '卫生间设施陈旧，服务有待提高', '短评打分': 4}
{'短评内容': '交通便利  夜市烧烤嘹咋咧  房间较安静   水电设施需要提升', '短评打分': 4}
{'短评内容': '这个酒店停车也方便，附近餐饮也很丰富！性价比很高！值得选择！', '短评打分': 3}
{'短评内容': '环境一般，反正不是多么理想，服务还可以，最怕没外网，永远连接不到，', '短评打分': 3}
{'短评内容': '实惠，设施有些陈旧', '短评打分': 4}
{'短评内容': '隔音太差了，居然能听见隔壁的电视声。天晓得', '短评打分': 1}
{'短评内容': '房间隔音太差了，居然听见隔壁的声音。布置也简陋。', '短评打分': 1}
{'短评内容': '地段在家边上 比较方便吧 。 房间整洁 但是比较小 ，缺点是隔音效果不好哦 ，服务员很爱笑 很客气 还有早餐很好吃。给75分把', '短评打分': 5}
{'短评内容': '卫生，干净。下次我还来……', '短评打分': 3}
{'短评内容': '房间很不错，干净整洁。', '短评打分': 3}
{'短评内容': '服务态度热情，房间整洁卫生', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': ' 这个酒店很好啊 很干净  也很舒适 离世园会也很近呀 很好', '短评打分': 3}
{'短评内容': '你们推荐的酒店住宿吃饭都较好。谢谢', '短评打分': 3}
{'短评内容': ',好满意', '短评打分': 3}
{'短评内容': '.宾馆还可以，很干净。', '短评打分': 3}
{'短评内容': '房间比较新，但价格偏贵，前台优惠价才159', '短评打分': 3}
{'短评内容': '酒店很差房间连热水都没有，设施也很陈旧，价格还是偏贵了和酒店环境一点都不匹配。', '短评打分': 1}
{'短评内容': '停水、停电、服务质量超级不好，大床房加条浴巾都不给加，我在电话里跟前台服务人员要求加浴巾不给加，我就拿停电说事，然后人家告诉我：“你可以不入住啊”。相当的郁闷，我在北京提前半个月预定的酒店，10.1出去西安玩，我知道不好定酒店才提前定的，前台居然说你可以不入住啊！！！！无奈了，我要能找到到地方我肯定不住了！！！\r\n还有就是我刚下火车的时候打不到车，给酒店打电话问怎么坐公交，他们居然没告诉我停电了！', '短评打分': 3}
{'短评内容': '昨天入住，没水、没电，非常难受，出去洗的澡，00点回来有电了，2点左右又没电，连个通知都没有，几点来的电不知道，反正我出来时又没电了', '短评打分': 5}
{'短评内容': '酒店的位置还不错，周边交通挺便利的，出行方便。', '短评打分': 5}
{'短评内容': '该酒店属于经济型酒店，房间内设施及酒店外附属设施还算比较齐全，尤其是酒店前广场上的免费停车场，值得其它酒店学习，由于该停车场四周都有围墙，所以停车非常方便，而且还让人放心。唯一美中不足的是，可能由于酒店品牌不是很知名的问题，导致出租车司机很难找，而且有的司机到了酒店所在的路附近也找不到该酒店，并且酒店离市区较远，到西安市内景区旅游可能不是很方便，因此总体来说推荐商务出行者入住，不推荐个人旅游者入住', '短评打分': 5}
