{'短评内容': '有超市，不错。', '短评打分': 5}
{'短评内容': '环境不是怎么好，超出了该有的价格', '短评打分': 3}
{'短评内容': '卫生间有异味，味道很重。', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '晚上有点蚊子骚扰，其他还行', '短评打分': 4}
{'短评内容': '房间还不错。就是缺少停车位', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '除了位置很好，其他乏善可陈。先是因为交接班原因找不到订单，后来电话携程找到了，然后房间换成了双人间，设备设施简陋。', '短评打分': 4}
{'短评内容': '入住条件一般，卫生还行', '短评打分': 3}
{'短评内容': '还行吧还行吧还行吧还行吧', '短评打分': 3}
{'短评内容': '好小好小 没窗户 价格不便宜', '短评打分': 3}
{'短评内容': '感觉一般，晚上睡觉很吵，服务态度还行', '短评打分': 3}
{'短评内容': '还可以，出入很方便。', '短评打分': 3}
