{'短评内容': '挺好的，各方面不错。地理位置好。', '短评打分': 5}
{'短评内容': '位置离景区近，还不错，推荐大家过来', '短评打分': 5}
{'短评内容': '酒店离景区比较近，房间还行，大家可以过来看看', '短评打分': 5}
{'短评内容': '距离景区很近，房间装修很有特色！', '短评打分': 5}
{'短评内容': '房间小到不行，一股很丑的味道，虽然很便宜但也不能是这个质量吧？ 床的中间还是凹下去的 根本睡不了人，说了换房说没有房间了，难道你们不会先检查一下房间再给客人入住吗？服务差评，质量差评', '短评打分': 1}
{'短评内容': '老板人很好，离乌镇很近，大约十分钟走到。', '短评打分': 5}
{'短评内容': '服务好，干净，装修漂亮，有特点', '短评打分': 5}
{'短评内容': '酒店位置离东栅和西栅都不远 步行即可 去的时候管接 但是送的时候要十点半以后才管送  酒店楼下就有餐厅 就餐还可以打八折', '短评打分': 5}
{'短评内容': '酒店位于西栅附近，周边交通方便，步行西栅只需要几分钟，酒店两边都是吃饭的地方，入住很舒服，下次还会再选择的。', '短评打分': 5}
{'短评内容': '交通位置便利，去西栅东栅都很方便，房间干净卫生，强烈推荐。', '短评打分': 5}
{'短评内容': '老板服务很赞，因为客不满 主动给我们调了环境更好的房间', '短评打分': 5}
{'短评内容': '房间非常干净。服务很到位。老板娘很亲切，让人有宾至如归的感觉。这就是民宿区别于宾馆之处吧。', '短评打分': 5}
{'短评内容': '乌镇来过，便未曾离开；四而，住了，也不想离开；老板热情好客，各种温馨提示 酒店离东西景区很近 非常方便 屋子干净整洁 非常温馨', '短评打分': 5}
{'短评内容': '交通便利，位置非常好，到西栅走着5分钟左右，晚上游玩回来一路灯火通明；房间非常舒服，装修很温馨', '短评打分': 5}
{'短评内容': '位置距离西栅东栅都很方便，房间干净雅致，老板人很好，门口吃东西也很方便，赞一个。', '短评打分': 5}
