{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间被闷死了，唇干舌燥，窗户打不开，空调怪怪的，只开个换风，仍然又干又热。', '短评打分': 3}
{'短评内容': '第二次住了，其他都不错，就是我好奇是不是酒店造歪了，两个床边柜的抽屉都关不上，关上了，都会自动打开。。。 ', '短评打分': 5}
{'短评内容': '一如即往，每次来常州都入住常州万达喜来登，房间宽敬，设施齐全，卫生干净，安静无异味，早餐品种齐全，服务人员礼貌', '短评打分': 5}
{'短评内容': '非常好，环境优', '短评打分': 5}
{'短评内容': '首先，隔音效果不好，隔壁说话能听见。其次，台灯开关有问题，关台灯被电到了。外面在施工，11点了还很吵！', '短评打分': 4}
{'短评内容': '预定的价格实惠，喜来登餐品味道不错，很不错的一次体验。', '短评打分': 5}
{'短评内容': '听他说酒店价格在哪，还行！', '短评打分': 5}
{'短评内容': '很干净，服务不错。。。。。', '短评打分': 5}
{'短评内容': '非常好好好', '短评打分': 5}
{'短评内容': '酒店位置不错，人多服务有的根本上，没窗户打开，热', '短评打分': 5}
{'短评内容': '酒店在万達边，出入方便，有很多食店選擇，但酒店早歺不太理想', '短评打分': 4}
{'短评内容': '酒店停车很方便', '短评打分': 5}
{'短评内容': '酒店很豪华，交通很方便', '短评打分': 5}
{'短评内容': '还不错 ', '短评打分': 4}
{'短评内容': '除了小贵外 都很棒', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 4}
{'短评内容': '酒店性价比不错，楼下就有KFC什么的，所以没有早饭也能接受', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '一切都好。', '短评打分': 5}
{'短评内容': '推荐入住，只是儿童乐园太差，有待提高。', '短评打分': 5}
{'短评内容': '十分满意', '短评打分': 5}
{'短评内容': '环境和地理位置都不错。停车方便', '短评打分': 5}
{'短评内容': '酒店新开的，环境还不错。周围购物很方便。', '短评打分': 5}
{'短评内容': '位置还不错，房间新装修，味道大一些，有点粗糙；游泳池很好；门口停车困难，楼下二层停车没有人引导。前台接待态度还可以', '短评打分': 5}
{'短评内容': '酒店设施环境都不错。。住的很舒服，下次有机会再去，就是有点小贵，呵呵', '短评打分': 5}
{'短评内容': '酒店真的不错。不过价格较高。整体干净不如威斯汀档次好。不过应该在常州算不错的了。早餐要改进。', '短评打分': 5}
{'短评内容': '还算不错的，位置和服务都比较满意，下次还来！！！', '短评打分': 5}
{'短评内容': '位置好。出来就是万达~很好。就是被子太重~', '短评打分': 5}
{'短评内容': '房间设计一流！边上万达广场吃饭很方便。床头钟居然有iPhone接口，十分方便。极力推荐！', '短评打分': 5}
{'短评内容': '酒店很新，临万达广场很方便，距两个火车站都很近。', '短评打分': 5}
{'短评内容': '干净整齐，很不错，很好，符合价位，建议入住，', '短评打分': 5}
{'短评内容': '相当满意，不亏是国际品牌的5星酒店，房间面积也很大，服务也OK，会继续住的', '短评打分': 5}
{'短评内容': '服务非常热情周到！它家的床果然睡得相当舒服。', '短评打分': 5}
{'短评内容': ' 酒店挺新，靠万达广场挺方便，但在新城区，周围很冷清。', '短评打分': 3}
{'短评内容': '硬件很好，服务有待提高，指的是餐厅，早上用餐被告知因为人少所以取消自助早餐，（这样的事还是第一次遇到，酒店老板太抠了），只提供简单的套餐，价格一分没少，套餐内说是菜包，上来一看是肉包，问服务员说菜包没了，只有肉的，晕，上来一碗馄饨面，馄饨没煮熟，说套餐里有水果，一直到走都没上。后来找餐厅经理反映，经理说免单，本来也没吃什么啊。这家酒店可能是刚开业，正在磨合期，能够理解，但酒店的价格可不是试营业的价', '短评打分': 1}
{'短评内容': '很好，一进房间空调都开着，很暖和,洗澡厕所都分开的，蛮人性话的！早餐也蛮丰富的，门口停车位很少，地下停车很多，旁边是万达广场，购物和方便！开车过来住店最好早点来，要不狠堵，只有一条道转过来！', '短评打分': 5}
