{'descr': '有时候 可能会告诉自己 对 我已经烂了 何不做一点点好事救赎一下自己 哪怕她真的是骗子 无所谓 自己内心还是告诉自己 我是在这里做', 'star': 5}
{'descr': '性价比高', 'star': 4}
{'descr': '这个价格是可以的，住了多次，不过晚上走廊怎么没有灯，有点瘆人', 'star': 4}
{'descr': '房间几乎就不打扫。东西都很烂。 镜子上实在是太恶心了', 'star': 1}
{'descr': '拖鞋都没有，哎', 'star': 4}
{'descr': '交通便利，也很好找，离展览馆很近，购物吃饭挺方便的', 'star': 5}
{'descr': '简直没有服务，到了酒店还临时涨价！', 'star': 2}
{'descr': '还行吧，酒店确认的订单，结果没给留房间，协调了一个小时腾出一间别的房型，虽然不是很满意，但大半夜的也不想奔波在找酒店的路上。', 'star': 3}
{'descr': '小公寓式的，很有家的感觉，就是卫生间好小，希望能布置的再温馨些', 'star': 5}
{'descr': '酒店式公寓，感觉还是挺不错。只不过有些房间有蟑螂', 'star': 5}
{'descr': '还不错就是淋浴忽冷忽热', 'star': 3}
{'descr': '整体感觉挺好，服务态度好，房间大，又很干净。', 'star': 3}
{'descr': '环境很好，离机场近，每次是为了坐飞机才去的！', 'star': 5}
{'descr': '对于整天紧张奔波的旅人来说，没什么比一张干净舒适的大床更重要了！这家酒店做到了这一点。', 'star': 5}
{'descr': '地理位置还好，没有那么难找，只要看到拐弯处的牛肉面馆，就看到酒店标牌，往里面走到最后一座，右边也有标牌，标牌正对面从楼里进去左边就看到酒店前台，比较简单，内部条件性价比可以，简单，干净，就是没有电脑，有网线，可自带，离万达也就3站，逛街比较近，', 'star': 5}
{'descr': '不错，房间很大，尤其是标间有母子床。足够全家人旅行时住行了~', 'star': 5}
{'descr': '卫生还好，设施陈旧。', 'star': 3}
{'descr': '床单太脏了  屋子也很脏 卫生太差，再也不会去了', 'star': 1}
{'descr': '洗澡后的卫生间地板好滑哦。都可以的其他。', 'star': 5}
{'descr': '酒店没有内线电话', 'star': 3}
{'descr': '环境还可以，就是不太好找', 'star': 3}
{'descr': '总体很好，1003房间的卫生间门关不严，及时修理下，打扫很及时，房间要是能做无烟处理更好', 'star': 5}
{'descr': '酒店的房间还是很宽敞的，干净卫生，但是配套设施就很简单了，卫生间只有毛巾，没有浴巾和洗澡可以换的拖鞋，希望可以进步完善。', 'star': 5}
{'descr': '酒店条件不错，但是藏得太深，不容易找到，周围没有什么可以吃的东西（除了牛肉面）', 'star': 5}
{'descr': '酒店设施偏陈旧，不过因为入住的人不多感觉很安静，位置不是很好找。', 'star': 3}
{'descr': '酒店不错  设施 卫生 环境 各方面都比较好 强烈向大家推荐！！！ ', 'star': 5}
{'descr': '没有网上描述的好，除了电视，其他设施比较旧', 'star': 1}
{'descr': '非常好~~~住了很久~~~~~~推荐入住！！！！！！！', 'star': 5}
{'descr': '酒店相当舒适 干净 安静 设施全新 就是位置不好找一点 但是路口有标志 还是可以找到的', 'star': 5}
{'descr': '环境很好，也方便打车，内部装修·卫生非常好。总之非常不错！', 'star': 5}
{'descr': '环境很好，交通也方便。房间很新，很不错。', 'star': 5}
{'descr': '条件相当一般,', 'star': 3}
{'descr': '除了地方有点难找别的都还可以，不知道是不是我倒霉，住的那天晚上没有电视可看~', 'star': 3}
{'descr': '酒店不错，就是卫生间太差了，强烈建议重新装一下卫生间。', 'star': 3}
{'descr': '不知道怎么回事，住的房间洗手间的地漏不下水，洗个澡水流到洗手间外整得房间满地都是水；热水器容量太小10分钟左右水就没有热的，屋子的空调遥控器找不到，睡了几个小时到天亮了，感觉屋里也不怎么热乎，好晕。。。', 'star': 1}
{'descr': '酒店很大，估计是新开所以才是这个价格。\n不足：卫生巾厕纸的位置不要放在淋浴下面，洗完澡，卫生纸也不能用了。', 'star': 5}
{'descr': '房间很新，性价比不错。出入方便，门口就有公交站点。就是就餐不方便。', 'star': 5}
{'descr': '房间不错，整体性价比较好，价格合理。周围吃的东西也很多，向西300米就有很多吃的。唯一不好的是地方比较难找', 'star': 5}
{'descr': '酒店很新很干净。服务态度特别好。', 'star': 3}
{'descr': '不错~房间很大，一个双人床，一个单人床~房间很干净，每天按时打扫，性价比灰常高！！唯一一点不好的就是，附近没什么吃的，最近的只有一个苏氏牛肉面，每天吃面吃到想吐……', 'star': 5}
{'descr': '房间比较大，应该是新楼盘租用几层下来装修的，感觉不错。', 'star': 3}
{'descr': '酒店整体来说还是不错，毕竟是新酒店。我住了一个多月，感觉良好。', 'star': 5}
{'descr': '酒店环境很不错，设施卫生很好。价格合理，下次过来还住那里，不过希望价格还能和之前一样。', 'star': 5}
{'descr': '房间不错，就是位置有点偏，从干道走进去没路灯，门口也没名字问保安才指出们在哪里。', 'star': 3}
{'descr': '卫生间太小，还算干净。酒店房屋较新。服务态度一般。', 'star': 5}
{'descr': '环境挺好，就是位置有点偏，楼里太静。卫生间下水不太好，总体来说不错。', 'star': 3}
{'descr': '早餐无法下咽，其他还凑合。主要是地理位置还不错。', 'star': 5}
{'descr': '酒店服务太不好了，洗澡的时候下水也不好，让修也没人来，太气愤了', 'star': 3}
{'descr': '挺好的，环境不错，价格合适，交通方便，服务周到', 'star': 5}
{'descr': '房间够大，卫生间太小，网速比较慢。房间没有电话…', 'star': 3}
{'descr': '毛巾，浴巾太差，，，希望改善!', 'star': 3}
{'descr': '服务很好，酒店干净舒适', 'star': 3}
{'descr': '位置太偏，不好找，害得我开车转了一个小时才找到，卫生一般化，不好不差\n', 'star': 1}
{'descr': '还行吧，就是装修了。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '装修不是很新   整体环境还不错  地理位置比较好   卫生间有浴缸 还不错', 'star': 5}
{'descr': '感觉没有想象的那么好，很多东西很陈旧，卫生不怎么好，灯还是坏的，价格还行，但是那价格还是首选七天，汉庭比较好。。。', 'star': 3}
{'descr': '虽然不推荐，自己又住了一次，比隔壁的酒店便宜几十块钱，什么都不说了，咱。。。差钱啊', 'star': 1}
{'descr': '相同的位置价格还可以，环境一般，热水充足', 'star': 1}
