{'短评内容': '干净卫生，交通方便！', '短评打分': 4}
{'短评内容': '还可以，窗户蜜蜂不是更好有点吵……，卫生还不错，整体服务还不错', '短评打分': 5}
{'短评内容': '客房很干净', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，环境较“热闹”，整体很好！', '短评打分': 4}
{'短评内容': '早餐还可以', '短评打分': 4}
{'短评内容': '很不错zszs', '短评打分': 5}
{'短评内容': '今天的房间倒是很干净，就是墙纸脱落了一点。', '短评打分': 4}
{'短评内容': '设施较为陈旧，就在瑞安商城边上，很方便~离外滩步行可达，晚上散散步也还不错~房间有些味道，卫生有待改善，早餐还行~', '短评打分': 3}
{'短评内容': '都好，靠路边的房型略吵', '短评打分': 5}
{'短评内容': '一般般般般般', '短评打分': 3}
{'短评内容': '还不错，就是房间里没有桌子，想办公不方便', '短评打分': 5}
{'短评内容': '这次去还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '在瑞安算不错了，下次还去', '短评打分': 5}
{'短评内容': '我都说给我安静点房间，前台男的好像没听见一样，', '短评打分': 2}
{'短评内容': '还行，', '短评打分': 3}
{'短评内容': '房间很大，很干净，卫生间很大，服务态度也可以，就是空调不够给力', '短评打分': 5}
{'短评内容': '此酒店性价比非常高，按三星级标准超值，细节很到位，配套全，卫生好，极力推荐。', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '环境、设施还都不错，就是隔音略差，性价比算是不错的。\n', '短评打分': 5}
{'短评内容': '总体感觉不错--安静、整洁、交通方便,物超所值.尤其是早餐非常丰盛.', '短评打分': 5}
{'短评内容': '很方便，吃饭的地方很多，坐车也是四通八达，酒店价格合理，下次来此地我可能还是住这里。', '短评打分': 5}
{'短评内容': '还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以，还是还可以', '短评打分': 5}
{'短评内容': '住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行住的是豪华房间 还行', '短评打分': 5}
{'短评内容': '还行吧 就是周围吃饭的地方非常的少。。。。还行吧 就是周围吃饭的地方非常的少。。。。还行吧 就是周围吃饭的地方非常的少。。。。还行吧 就是周围吃饭的地方非常的少。。。。还行吧 就是周围吃饭的地方非常的少。。。。', '短评打分': 5}
{'短评内容': '条件很好，是三星级里比较好的，价格也合适，早餐很丰盛。', '短评打分': 5}
{'短评内容': '服务态度不是很好，进去后那个房间连窗帘都没有，散落在地上，还要自己爬高挂起来，而且只有一层挡阳光的根本就没有窗帘。早上让她check out，弄了快30分钟了，差点上班迟到。态度很不行，地板没有防滑标志，差点摔倒。', '短评打分': 1}
{'短评内容': '瑞安酒店少，好的酒店更少。。选择了老牌的华都，价格实惠，交通便利。房间设施齐全，就是有点潮，中央空调声音很响，早餐有些菜味道比较重不习惯，其他都好', '短评打分': 5}
{'短评内容': '酒店是很可以的，交通也比较便利，出行方便。', '短评打分': 5}
{'短评内容': '瑞安这样的酒店差不多了 。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '周围吃饭的地方不太多。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以吧 还可以吧 还可以吧 还可以吧 还可以吧 还可以吧 还可以吧 ', '短评打分': 5}
{'短评内容': '＋可以', '短评打分': 3}
{'短评内容': '酒店大厅及外部装修比较豪华，房间装修及家具电器比较陈旧，基本满意。', '短评打分': 3}
{'短评内容': '早餐7点晚，其它还好啦', '短评打分': 3}
{'短评内容': '总体还不错，环境也还可以  卫生也还好 就是性价比不高 早餐不是很满意', '短评打分': 5}
{'短评内容': '为什么200元多不能用，看来多是不诚实的，下次我自已已不相信了。', '短评打分': 1}
{'短评内容': '不错的酒店，地理位置好，酒店服务好，价格公道，有机会会再住。', '短评打分': 5}
{'短评内容': '房间不错 位置稍稍有点偏 服务员素质很好 见面都说你好。下次如果有机会来瑞安还是想住这里', '短评打分': 5}
{'短评内容': '感觉前台直接定的价格差不多。我直接定也只有308还有电脑。这里定的要300还乱七八糟', '短评打分': 1}
{'短评内容': '酒店的性价比还是比较不错的，根据城市来讲价格还是有点偏高，酒店的位置很好，出行交通方便，配置硬件也有达到三星级标准。可以推荐入住。', '短评打分': 5}
{'短评内容': '卫生条件还不错.就是设施有些陈旧了.酒店早餐提供的不错.整体水平还行', '短评打分': 5}
{'短评内容': '与三星级标准不符', '短评打分': 1}
{'短评内容': '值得入住', '短评打分': 5}
{'短评内容': '性价比较好，', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较达标，价格合理适中，卫生服务也很好，出行交通也很方便，值得推荐我们满意。', '短评打分': 3}
{'短评内容': '当时住还在装修，卫生做的琮是很干净的，位置一不比较好，出行比较方便', '短评打分': 3}
{'短评内容': '酒店的环境设施比较差,设施很差,住了一个晚上就走了,以后不会在入住这家酒店了', '短评打分': 1}
{'短评内容': '酒店的隔音效果很差,有很大的噪音,早餐也不是很好,品种太少了,卫生条件还可以,交通位置还不错,很便利', '短评打分': 5}
{'短评内容': '价格合理!环境不错,卫生条件也很好,就是房间小了一点,有点压抑.交通还是很方便的,停车也有专门管理,5元停车费也算合理.至少保证了车子的安全.上网是免费的.这一点比较好 .不过有朋友要入住的话,在办手续时要说明要可上网的房间.', '短评打分': 5}
{'短评内容': '环境不错，房间比较干净明朗。停车场收费应该取消，让人不舒服，此点不象星级酒店的做法！', '短评打分': 3}
