{'短评内容': '实惠，卫生干净舒适', '短评打分': 5}
{'短评内容': '实惠，卫生不错！', '短评打分': 5}
{'短评内容': '脏。乱。差。', '短评打分': 1}
{'短评内容': '感觉卫生一般 位置还行 性价比高', '短评打分': 4}
{'短评内容': '酒店周边很安静', '短评打分': 4}
{'短评内容': '就是洗发水质量差了点', '短评打分': 5}
{'短评内容': '还行，房间挺大的，协和价格也差不多了', '短评打分': 4}
{'短评内容': '房间没有窗户！', '短评打分': 4}
{'短评内容': '周边吃逛比较多，最不满的是地下停车库……去的时候是差不多13点，车库阿姨说车位已满，让我们在旁边等一下……ok没问题，等了近半个小时有人开车过去……直接放人家下去车库了……我眼巴巴的看着也没办法，问她，她说是业主……又过了半个小时……有车从车库出来，阿姨又说没有卡了！一气之下我走到车库，看到还有两三个车位……但不知道为什么不让我们进车库停车……再后来，过了一个小时，走到总台问为什么不能进去……(订', '短评打分': 4}
{'短评内容': '都挺好的，再走一段路就到地铁站。吃的地方，不太满意，可能也是我自己没发现哪有好吃的。住的那间房对面就是别人的公司，还是要拉上窗帘才有安全感。其他还不错', '短评打分': 4}
{'短评内容': '各项都不错', '短评打分': 4}
{'短评内容': '环境确实不错，携程定比实体店订便宜挺多的', '短评打分': 5}
{'短评内容': '普通', '短评打分': 3}
{'短评内容': '水不够热，被子不够暖', '短评打分': 5}
{'短评内容': '位置较偏僻，走十几分钟才到地铁口，房间比较大，设备有些坏了', '短评打分': 4}
{'短评内容': '房间有虫子，卫生差，基本没有前台服务；房间里面的防盗锁是坏的；窗子也锁不住；管理混乱，我们在结账时有一件衣服忘记在房间里面，回头上去就不见了，这是所谓的酒店吗？连农家乐客栈都不如！', '短评打分': 1}
{'短评内容': '三次入住', '短评打分': 4}
{'短评内容': '周边环境一般，但酒店正体还是OK的，', '短评打分': 4}
{'短评内容': '酒店房间不错，虽然周边环境一般', '短评打分': 4}
{'短评内容': '环境不错，挺舒服的', '短评打分': 3}
{'短评内容': '这家店太恶心了。黑店！讹钱！我们当时定的豪华蜜月房。进去地上摆了些拉花（就是商店里都有卖的塑料彩色拉花。几块钱可以买一堆的那种。）我们当时没在意就一直在地上。结果退房时候。8楼服务员居然说我们弄坏的。我靠顶上的拉花没少任何一处。怎么就弄坏了？！我们是在里面拍照的（因为自有淘宝店专门去拍照的），又不是进去搞破坏的。居然让我们赔了50元！！！我5元钱能买一公斤。居然讹诈我们那么多钱。绝对的黑店。千万不', '短评打分': 1}
{'短评内容': '提前用信用卡订的标单，到后被告知没有房了。\n最后安排的是与别人共住豪双！很无奈', '短评打分': 1}
{'短评内容': '能订到特价的话就便宜。隔音不好，还有就是不能刷卡要带现金……', '短评打分': 5}
{'短评内容': '房间不错够大够宽敞，设备也比较新，就是地方有点偏。这个价超值了。？另外外面大排档好多好想全都吃一遍。。', '短评打分': 3}
{'短评内容': '还是住在这里。。。床大空气好，不解释！。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好的酒店。。。128的价格，四星级的装修。而且在白云山下面。。值得推荐！！！', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '整体很满意。新开的酒店，东西都很新，而且房间没有异味。。。我入住的是最便宜的单人间，但是床足足有2m成2m那么大，对于情侣/夫妻出行都是很足够的了～房间大小也比较合理～  美中不足的是，房间大门隔音效果很差，外面说话都能听见，并且房间对面就是休闲中心，夜间会有人打麻将，但是关上窗子影响不大～', '短评打分': 5}
{'短评内容': '吉旅还挺不错，条件挺好的，就是有点不太好找到', '短评打分': 3}
{'短评内容': '酒店不错，干净整洁!', '短评打分': 3}
{'短评内容': '装修得不错。。物超所值。。而且白云山下面空气也比较好！！！服务态度就好。。。就是有点偏了！good！good！good！good！good！good！good！good！', '短评打分': 5}
