{'短评内容': '价格一般 服务一般 没有特点', '短评打分': 2}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '房间很好 下次来还会预定 ', '短评打分': 5}
{'短评内容': '適合帶孩子來住 很舒適', '短评打分': 5}
{'短评内容': '整个房间很不错&hellip;老板娘也很好说话&hellip;非常棒&hellip;', '短评打分': 5}
{'短评内容': '环境棒棒哒！都不想走了，离开感觉淡淡的忧桑', '短评打分': 5}
{'短评内容': '很不错环境很好', '短评打分': 5}
{'短评内容': '楼下吃饭 超市 药店都有 走到海边也比较近 房间卫生还可以 洗澡热水方便 洗衣机 冰箱 厨房齐全 老板挺热情… ', '短评打分': 5}
{'短评内容': '不错，舒适，房间够大，前台?服务给力', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，不管去三亚哪个景点或市区都是非常的方便。房间也不错，有在家的感觉，离大东海很近，5分种到海边，在海里游完泳直接就可以回来冲淡水。楼下的餐馆也很多，特别是小区车库出口的游客之家餐厅，老板人好，海鲜加工费也很公道，可以去第一市场买海鲜到那里加工棒棒的。另外酒店的服务也很好，需要什么说一声很快就安排好。很高兴这次出去玩选择了这家酒店，下次去还会去这里的。', '短评打分': 5}
{'短评内容': '非常好，有求必应', '短评打分': 5}
{'短评内容': '房间配套设施一般，噪音污染大，但是服务态度很好！', '短评打分': 4}
{'短评内容': '        订的是精装海景房，很早定了，没定几天就降价了46一天，于是打电话问可以免费升级成高级海景房，前台很爽快答应了。结果到入住那天跟前台讲，讲台也一个劲得保证给我升级，结果一入住我就看出来根本就是忽悠我的，因为装修很一般，卫生也不好，接待我的工作人员还一个劲得盯着我，要我给他们五星评价，当时我就不乐意了，他咬定说给我升级了，我也没办法，结果后来我在网站上看到介绍，刚好看到我住的这间房间的', '短评打分': 2}
{'短评内容': '两室一厅，客厅的沙发床也是一张双人床，这个房间都可以住下6个人，房间挺大，可以看海，不过电梯特别拥挤', '短评打分': 5}
{'短评内容': '位置很好找，也方便，老板招待热情，房间很大，特大阳台，全海景的。下次还来。酒店前台帅哥王硕特别热情，给五分好评', '短评打分': 5}
{'短评内容': '酒店服务特别好，房间干净卫生，温馨，舒适，环境特别好距离海边就100米的距离。如果下次来三亚必须还来这里住。没有问题的。给5分，帅哥王硕，给10分', '短评打分': 5}
{'短评内容': '离海边50米吧，游泳很方便。房间挺干净的。阳台有单人秋千，海景很棒。定的是高层海景，房东主动升级了。非常感谢。做饭不能用煤气，租锅50,附带电磁炉。去旺豪超市买了200块的虾和螃蟹。四个人没吃完。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错，值得推荐，出行、购物都非常方便。', '短评打分': 5}
{'短评内容': '老板给免费升级到两室一厅了，太感谢了，环境很好，住着很方便，公寓内洗衣机、吹风、阳台一应俱全，毛巾需要自带，出去玩了回来把衣服洗了一晚上就干了，好方便！酒店位置也很好，沿着大路走出去就是鹿岭路口，坐车非常方便，岔路出去5分钟就是夏日百货，旅行团的大巴也在那，哪都能到，往海边走也就2-3分钟，也方便，就是大东海这几天浪太大了，都不敢下海，不错不错，很好！', '短评打分': 5}
{'短评内容': '各个角度看海啊，躺着看，坐着看，站着看，一家人出行还是不错的，办理入住的时候正好是中午，赶上退房入住的多，老板实在太忙，让我有点急躁，哈哈小哥看出我的不高兴，直接敞亮给升级豪华海景。真的特别的好，安静，感觉就像自己的家。下次还来。', '短评打分': 5}
{'短评内容': '温馨舒适的旅馆，有种回到家里的感觉，服务人员和蔼可亲，耐心告诉我们周边的交通和吃饭情况，在三亚玩了6天，去了4个景区，都是旅馆给我们安排的一日游，非常省心还超值，服务有保证，就在楼下马路边接送，非常方便。这次的行程有点短暂，还没有玩够，又要回家工作了，呵呵，我们决定，今年冬天在过来，还住温馨假日公寓。', '短评打分': 5}
{'短评内容': '公寓的位置非常好，地处大东海旅游区黄金地段，交通便利，出行相当方便。周边吃饭的餐馆很多口味可以选择，到达海边也近，都挺方便的。我们住的房间装修的很大气，家私都是高档的藤制家具，宽敞明亮，打扫的非常干净，配备的设施齐全，比我们住过的三星级酒店要好，强烈向大家推荐。', '短评打分': 5}
{'短评内容': '这次和朋友出来玩选择住温馨假日公寓，真的很不错，房间住着很舒服，干净卫生，设施齐全，到达海边超级近，大东海的沙滩洁白细腻，踩上去太舒服了。工作人员服务很好，耐心告诉我们周边的情况，在三亚度过了一个愉快的假期！非常感谢！', '短评打分': 5}
