{'短评内容': '酒店设施很齐全，酒店的服务也很好', '短评打分': 5}
{'短评内容': '前台小当服务很好', '短评打分': 5}
{'短评内容': '前台小当服务很好', '短评打分': 5}
{'短评内容': '酒店前台小龙服务很好', '短评打分': 5}
{'短评内容': '酒店设施设备不错。 前台小华服务好。性价比高', '短评打分': 5}
{'短评内容': '酒店设施设备不错。 性价比高。 前台小华服务好。', '短评打分': 5}
{'短评内容': '非常好的酒店，前台接待小龙服务很好', '短评打分': 5}
{'短评内容': '前台小胡服务非常好！很热情', '短评打分': 5}
{'短评内容': '很舒适环境不错，地段也不错，房间小但是很干净设施也全部配套下次还会来！', '短评打分': 5}
{'短评内容': '前台小胡服务好', '短评打分': 5}
{'短评内容': '小陶很好酒店房间还不错', '短评打分': 5}
{'短评内容': '酒店房间比较小，另外比较陈旧了。其他还好的！', '短评打分': 5}
{'短评内容': '舒适舒服方便', '短评打分': 5}
{'短评内容': '不错，活动价购买，很好用', '短评打分': 5}
{'短评内容': '前台小刘服务很好?。酒店设施很好', '短评打分': 5}
{'短评内容': 'OKOKOK', '短评打分': 5}
{'短评内容': '免费升级成套房，房间太大了，浴缸非常OK.非常好的一次住宿体验。', '短评打分': 5}
{'短评内容': '服务很贴心，通过京东订酒店，性价比特别高，还有游泳池，健身房，挺好的，值！早餐很丰富，种类也多！', '短评打分': 5}
{'短评内容': '还可以，小吃一条街不错', '短评打分': 5}
{'短评内容': '给小段点赞', '短评打分': 5}
{'短评内容': '前台小魏满意', '短评打分': 5}
{'短评内容': '前台接待小魏服务非常好', '短评打分': 5}
{'短评内容': '给段帅哥点赞。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，推荐。给小段好评。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '小邓服务态度很好，很亲切', '短评打分': 5}
{'短评内容': '前台小易服务非常好，很满意', '短评打分': 5}
{'短评内容': '酒店小卢接待热情洋溢  不错', '短评打分': 5}
{'短评内容': '酒店多次入住。小卢很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '多次来华天，每次的感受都不一样，接待员小周每次接待我都是那么的热情，永远都是那么的让人感觉宾至如归，让我记住了这个可爱的小女孩，华天，值得信赖！', '短评打分': 5}
{'短评内容': '酒店不错，一进大堂有一股浓浓的圣诞气氛，接待小周热情周到，让我来到华天就像是回家了一样，华天，值得信赖的酒店，服务永远都是这么好，让客人感觉宾至如归，??', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '多年来一直支持的华天，而潇湘是第一次来，但给了我更多以后想来的惊喜，从外观到大堂到餐饮到房间都让我和同事非常的满意，进入大堂浓浓的圣诞气息弥漫着，到前台办入住的时候是两位小姑娘热情的接待的，还故意问了她们的名字，帮我们办入住的是小苏，她娴熟的业务技能，迅速的帮我们办理着入住，另外一位小姑娘灿灿也没有闲着，小丫头销售意识特别的强，问我们有没有用餐，积极的像我们推荐着酒店的华天美食街，推荐了几样菜品，', '短评打分': 5}
{'短评内容': '好，交通方便，周围的宵夜很好吃，房间蛮大舒服', '短评打分': 5}
{'短评内容': '\n无数次住了该酒店一切都是收费的，硬件还可以，软件方面有欠缺！', '短评打分': 3}
{'短评内容': '条件还可以,但是为什么又涨价了,条件又没有改善,有点太贵', '短评打分': 5}
{'短评内容': '酒店位置很好，交通十分方便，但早餐不丰富太简单', '短评打分': 5}
{'短评内容': '还是很不错的,比较方便. 吃的啥的都好找', '短评打分': 5}
{'短评内容': '在市中心，有时候赶上堵车。其实位置不错。周围没啥可吃的，就吃酒店里面的2层美食街', '短评打分': 5}
{'短评内容': '差不多出差都住这里，最近涨价了。二层有个小吃街还算不错，很有特点', '短评打分': 5}
{'短评内容': 'Good hotel, nice people, fine service', '短评打分': 5}
{'短评内容': 'Good hotel, nice service, ideal location, convenient access to many sites', '短评打分': 5}
{'短评内容': '第二次入住，价格适中，环境不错，交通还方便。', '短评打分': 5}
{'短评内容': '早餐一般！酒店一般！反正感觉都是一般………………', '短评打分': 1}
{'短评内容': '房间蛮大很舒服，就是浴帽没有，酒店周边的宵夜店都很有名，口味虾，蛇很好吃，绕到酒店的后面就是有名毛主席和杨开慧的故居，下次还回来住，太方便啦', '短评打分': 5}
{'短评内容': '还可以，中规中矩的酒店，据说地理位置好，但急着赶路哪里也没去。卫生不错，洗漱用品质量一般。2楼餐厅价格较贵，味道还不错。', '短评打分': 5}
{'短评内容': '该酒店地理位置比较方便，景观不错，吃饭娱乐都非常方便，二楼的餐厅味道很好，品种多样，味道地道值得尝试。唯一觉得不足的就是房间有点狭窄，窗户很小，其他都挺好。', '短评打分': 5}
{'短评内容': '酒店位置很好,离湘江比较净,早餐挺好的,服务亦不错,值得推荐.', '短评打分': 5}
{'短评内容': '酒店环境设施不错，房间也很干净舒适，出行也挺方便。门口服务生服务很好，还帮我们叫的士。以后还会订这家。', '短评打分': 5}
{'短评内容': '酒店位置一流，房间大小也不错，除了价钱有点小贵，其他都值得推荐 ', '短评打分': 5}
{'短评内容': '房间里面还好...只是周边的商店太少了..交通也不怎么方便...找个吃的只可以在酒店里面点...价钱不便宜.', '短评打分': 5}
{'短评内容': '2楼的夜宵不错，品种多。味道尚可。就是房间有点不隔音。', '短评打分': 5}
{'短评内容': '感觉非常好，干净 整洁，软件服务也很好，手机丢了，服务员捡到还给我了。', '短评打分': 5}
{'短评内容': '隔壁房间太吵了，一直没有服务员去制止，而且房间没有剃须刀！', '短评打分': 1}
{'短评内容': '接待和客房的性价比不应该是五星，应该是三星。', '短评打分': 1}
{'短评内容': '交通方便，房间设施还不错，但电视机太小了，早餐也还可以。卫生间的牙刷香皂全都标明了价格，用了才发现，但结账的时候又没收钱，不知道酒店这么搞是什么意思。', '短评打分': 5}
{'短评内容': '酒店不错，位置还可以，早餐尚可，品种一般。', '短评打分': 5}
{'短评内容': '帮同事出差预订的，同事说交通很方便，价格还好！', '短评打分': 5}
{'短评内容': '酒店总体还可以，干净整洁。环境挺不错！！！！', '短评打分': 5}
{'短评内容': '基本上满意，可是距离5星的标准还有距离，希望在软件方面提高一下', '短评打分': 5}
{'短评内容': '算是长沙比较好的酒店了，4星的级别算是有了，可距离5星还需要在服务及细节方面提高一下', '短评打分': 5}
{'短评内容': '酒店的景观房真的不错，网上订购价格还便宜！3楼吃饭，4楼KTV，很方便！\n招待客户啊，出差啊，都是很不错的选择！', '短评打分': 5}
{'短评内容': '酒店位置不错，房间还算干净', '短评打分': 3}
{'短评内容': '酒店地理位置不错，房间挺大的住过两回了。', '短评打分': 5}
{'短评内容': '还算不错~只是很多细节没做好~比如棉签。。', '短评打分': 5}
{'短评内容': '总体不错，高档酒店，值得推荐，唯一美中不足的是，这么高档的酒店却用了塑料电水壶，建议换成不锈钢的。', '短评打分': 5}
{'短评内容': '感觉不算太新，餐厅有装修的味道……后来一问才知道，刚刚从4星升到5星的，原来如此！不过便宜也是优势了。', '短评打分': 5}
{'短评内容': '很方便，各大银行的省行都在旁边，环境也不错，虽然价格贵了点。之前住过一次感觉早餐非常好，但最近住觉得也一般。', '短评打分': 5}
{'短评内容': '帮人预订，离房地产大厦挺近', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '房间整体还是不错的，交通方便，服务态度挺好', '短评打分': 5}
{'短评内容': '我定的豪华套f房，酒店大气、豪华，但某些地方设置不合理，比如电视装得过高，比如洗浴用品配置不齐全', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店设施陈旧，门口打车也不是很方便，门前的路始终拥堵，但是吃饭很方便，除酒店本身就有外，马路对面也有吃饭的地，离超市也不远', '短评打分': 5}
{'短评内容': '酒店还不错，楼层很高可以看到湘江北去的一小段，呵呵！\n\n地理位置很好处于市中心，特别方便！\n\n酒店的早餐还是很不错的！', '短评打分': 5}
{'短评内容': '房间不错，就是房门的隔音效果不太好，总的来说给个好评。', '短评打分': 3}
{'短评内容': '值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。值得再住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '潇湘华天酒店服务好.交通方便.', '短评打分': 3}
{'短评内容': '酒店环境优良,服务热情', '短评打分': 3}
{'短评内容': '二十三号晚十二点入住，前台办理入住速度有点慢，房间很好，住三十七楼大床房，床很舒服，房间很安静，早餐还算丰富，离店时办理速度也偏慢，总的来说酒店满意，硬件条件还好，就是前台办理速度偏慢，感觉不够专业', '短评打分': 5}
{'短评内容': '潇湘华天是五星级酒店，服务还好，价格一般。', '短评打分': 5}
{'短评内容': '房间很干净,服务很周到,交通也很方便,办理退房手续也非常快.', '短评打分': 5}
{'短评内容': '服务态度还行,周围逛街交通也很便利,五星级酒店这个价钱也不可以了!', '短评打分': 5}
{'短评内容': '房间较大，很舒服，尤其是智能安居系统。下次来还住这', '短评打分': 5}
{'短评内容': '酒店位置不错，购物狂街很方便，性价比较高', '短评打分': 5}
{'短评内容': '房间很大，很安静，交通也很便利。就是早点不太丰富。', '短评打分': 5}
{'短评内容': '听说是长沙的老牌五星，房间我都没有印象了，早餐太一般了~~', '短评打分': 5}
{'短评内容': '酒店不错，交通比较方便，安静，房间不是很大，但是很精致，水温不是很高，还有直接饮用水，很好', '短评打分': 5}
{'短评内容': '总体来说还不错，就是标双房只送单早欠缺合理，如能赠双早就好了，而且早餐品种不太多，可以再加以改善的。', '短评打分': 5}
{'短评内容': '房间很大很干净，环境很好，隔音效果很好，睡觉很安静。', '短评打分': 5}
{'短评内容': '酒店整体还不错!就是有个小插曲，卫生间的一次性的用品还明码标价，当时没注意，用了后才发现，可后来结账的时候，又好像没收钱！不知道怎么回事！', '短评打分': 5}
{'短评内容': '房间很大，景色不错，一次性用品不收费，整体还行', '短评打分': 5}
{'短评内容': '价格不贵，但是前台小姐太不专业，不懂得先来后到的道理。本人在排队办理入住手续时，有后面的旅客插队，小姐竟然振振有词地说，因为插队的人是常客，所以就没问题，什么逻辑？我不是付钱的客人吗？不按排队次序已经不对，解释就更可笑了，从来没有遇到五星级酒店这样的，所以软件不行。', '短评打分': 1}
{'短评内容': '每次到长沙都会选择住潇湘华天，主要是很方便，而且价格在同等酒店里面算是不错的，只是感觉服务没以前好了，酒店硬件设施的维护也不太好。入住付款选择的是信用卡，吃饭的时候把账单也挂到里面去了，结果搞了半天，服务员说什么押金不够之类的，楞是把人弄到前台重新去搞半天', '短评打分': 5}
{'短评内容': ' 很一般', '短评打分': 3}
{'短评内容': '酒店很大气，房间很大，不提供免费的瓶装水，但是有可直接饮用水，如果有浴缸就更好了', '短评打分': 3}
{'短评内容': '房间和服务都不错，2楼的美食城价格贵了很多，3个人随便吃就500多元，好在有得报销，不如到外面吃大餐', '短评打分': 5}
{'短评内容': '除了价格真没什么可挑剔的。房间打扫的非常及时', '短评打分': 5}
{'短评内容': '酒店挺新，位置在市中心，五星级酒店这个价格是非常优惠。', '短评打分': 5}
{'短评内容': '不知道是不是长沙最好的酒店，不过整体感觉不多，洗手间很大~~', '短评打分': 5}
{'短评内容': '去长沙基本都住这里，五星级的标准，价格不算太贵', '短评打分': 5}
{'短评内容': '性价比还不错，位置也好。酒店的二楼餐厅的菜点挺好吃。就是房间的水25元一瓶，太不值', '短评打分': 3}
{'短评内容': '房间的隔音不是太好', '短评打分': 3}
{'短评内容': '干净舒适', '短评打分': 3}
{'短评内容': '酒店服务员态度非常好，办理入住时间很快，很满意。', '短评打分': 3}
{'短评内容': '不是自己住，帮朋友定的，朋友评价不错，性价比高！', '短评打分': 5}
{'短评内容': '房间比较大，设施也较新，服务人员很热情，整体感觉不错。', '短评打分': 5}
{'短评内容': '还不错,就是长沙的规定比较烦,拖鞋什么的得付费买.形式主义害死人.', '短评打分': 5}
{'短评内容': '   服务态度还好，软件不其，五星级酒店没有穆斯林餐，如东欧国家《大部分是伊斯兰教吃饭的问都解决不了、能算五星级酒店吗？》', '短评打分': 5}
{'短评内容': ' 五星级酒店为什么没有穆斯林餐？其它服务还好。', '短评打分': 5}
{'短评内容': '成功入住号称5星级酒店，床单用品却旧旧的，感觉一般！', '短评打分': 3}
{'短评内容': '？成功入住', '短评打分': 3}
{'短评内容': '好像涨价了啊？而且早餐看着挺多，但似乎好吃的不多。。。', '短评打分': 5}
{'短评内容': '看着算是华天比较新的就酒店特意去体验一下的。总体来说房间硬件还可以，但是软件很差，入住的时候有很多团队围着办理手续，我们散客只能等着，不时还有人插队，无人维护次序，大概等了20-30分钟才办好手续。酒店貌似有很多会所餐馆之类的，有很多妖艳的女子和大腹便便的中年男的出入，整体感觉环境过于混乱嘈杂，不适于这种长途奔袭而来的商务客人。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '常住这家酒店，因为觉得交通便利，酒店里有饭店，服务还可以。', '短评打分': 5}
{'短评内容': '交通方便，房間大，早餐豐富。但住的房間空調只出風', '短评打分': 5}
{'短评内容': '住的还很舒服 环境够好了 吃的一般般 比如早餐样式不多 并且很容易让人想到 难道这里的人都没有喜欢吃甜点的？？？另外不知是否因为节假日的原因 打车好困难....', '短评打分': 5}
{'短评内容': '服务态度很多，客房很大，很舒适，隔音效果非常好', '短评打分': 5}
{'短评内容': '酒店五星级，入住感觉很好；景观房很不借。酒店用品也蛮新。就是提倡环保，所有用品都要收费，就连拖鞋也收费，这一点儿觉得不太舒服。', '短评打分': 5}
{'短评内容': '正常的五星酒店设置和管理。不会体会到入住后的温馨，也许与个人心情有关吧。总之还可', '短评打分': 5}
{'短评内容': '很好。。。。，周边环境也不错，就是隔音效果差些', '短评打分': 5}
{'短评内容': '还是一如既往的好,我每次都会选择它,同时也会推荐朋友来.', '短评打分': 5}
{'短评内容': '比较一般的五星酒店，性价比很差！', '短评打分': 3}
{'短评内容': '住宿条件还行，但是酒店吧台的咖啡消费很高，不怎么值。', '短评打分': 5}
{'短评内容': '不错的酒店。地理位置，卫生，饮食都不错，是我常住的酒店。', '短评打分': 5}
{'短评内容': '整体上感觉不温不火，感觉不到很好，但也感觉不到很坏，地理位置在市场中心区域，出行比较方便，但是房间的免费洗漱用品等少了些，还有就是结账查房的速度太慢了；', '短评打分': 5}
{'短评内容': '之前住过，这次又来，感觉还是不错的。以后会继续住。', '短评打分': 5}
{'短评内容': '名副其实！很好很霸道！  就是停车麻烦！没有代客泊车！', '短评打分': 5}
{'短评内容': '老牌五星，的确不错。餐厅的菜也不错，有档次。', '短评打分': 5}
{'短评内容': '酒店的硬件不错，但是隔音很不好，隔壁说话声一清二楚。', '短评打分': 5}
