{'短评内容': '洗浴用品差，至全身过敏', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '还不错哦！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间比较整洁，蛮宽敞的。', '短评打分': 5}
{'短评内容': '地理位置好，然后也就这样吧。。', '短评打分': 5}
{'短评内容': '一般，怎么说，地理位置比较好。', '短评打分': 4}
{'短评内容': '客服MM耐心又周到，就是我仍然不能领优惠券。觉得有点不爽。', '短评打分': 5}
{'短评内容': '房间大，离高速近，距离南岳大庙0.8公里。溜达就去了。餐厅也不错，口味有点辣了，有一个年糕类的粑粑不太好吃。', '短评打分': 5}
{'短评内容': '酒店设施一般，应该是原来的老酒店', '短评打分': 4}
{'短评内容': '酒店设施很一般，是原来的老宾馆', '短评打分': 4}
{'短评内容': '不错，环境好，服务好', '短评打分': 5}
{'短评内容': '感觉这个价格与酒店的硬件设施不匹配', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '南岳最好的酒店之一了，一直还不错！', '短评打分': 5}
{'短评内容': '服务很垃圾酒店的设施很垃圾，价格贵的要死，不如果不是在景区，这么贵的价格，有个鬼去住', '短评打分': 3}
{'短评内容': '服务热情，送的茶不错，餐饮部做的不错，非常美味！', '短评打分': 5}
{'短评内容': '每次去都住这，满意。', '短评打分': 4}
{'短评内容': '酒店的环境不错，客房也干净整洁，服务员态度很好，儿子特别开心，回来后成天嚷嚷着想要再去住“衡阳的家”。准备冬天衡阳下雪的时候带从来没有见过雪的儿子再去住一次。', '短评打分': 5}
{'短评内容': '酒店不错,价格还是比较中肯.\n餐厅下班比较早,味道稍逊色,饭菜的价格过高.', '短评打分': 5}
{'短评内容': '很不错的五星级酒店。尤其是在这个不算太大的地方，周围基本上没有什么好一点的酒店。服务都很热情，行李员和前台服务人员都笑容可掬，扫地的阿姨也会主动与你打招呼。订了2间房，蜜月房显然要比豪华单人房要新，布置得也有特色，仅仅是有些装修的味道。中餐厅和西餐厅的饭菜也不错，就是太咸咯，还有一个需要改善的是，加强酒店的保安，不能随意让搭客的车辆进入酒店', '短评打分': 5}
{'短评内容': '在当地估计是最好的酒店了吧。但是早餐一般般囖，没有什么可以吃的，只有面条还下得了口', '短评打分': 5}
{'短评内容': '酒店环境很好，服务周到，且与衡山、南岳大庙等景点距离很近，步行到景点即可。', '短评打分': 5}
{'短评内容': '退房时有点问题，大概可能是管理有待提高，下次还会入住', '短评打分': 5}
{'短评内容': '非常好的酒店,但 check out太慢.\n見議酒店在柜枱前加設排隊設施,因太多人不排隊,做成混亂.', '短评打分': 5}
{'短评内容': '第二次入住了，酒店设施非常完善，非常满意！', '短评打分': 5}
{'短评内容': '总整感觉在南岳这样的地方能有这样档次的酒店，还不错，价格有点小贵（因为是旅游城市），另外足浴和美发的都没有足够的人上班（正月初三可以理解），加双拖鞋要收费五元，加床被子要100元，不太人性！除了这些，其它的都还好！', '短评打分': 5}
{'短评内容': '   服务很好', '短评打分': 3}
{'短评内容': '酒店整体不错~不过就旅游区没什么可走的~付近', '短评打分': 3}
{'短评内容': '酒店很新，很干净，也够大，服务还可以，餐厅不错，就是有点远。。。', '短评打分': 5}
{'短评内容': '酒店一般，同比四星级价格贵了一点！', '短评打分': 3}
