{'短评内容': '满意', '短评打分': 5}
{'短评内容': '环境很好，房间舒适，安静。', '短评打分': 5}
{'短评内容': '房间不错，早餐非常一般', '短评打分': 5}
{'短评内容': '很好，住的很满意，同价位酒店中档次算高的了，服务也非常不错。贵宾楼在院子最里面，车子可以开到门口，很方便。', '短评打分': 5}
{'短评内容': '服务很好，周到细心，问了一下周围有没有药店，前台员工耐心介绍并关心问询情况，知道感冒后主动送姜汤、温度计，真的很感动～环境好花园式的酒店，可以免费停车。在市中区，出游推荐酒店奥', '短评打分': 5}
{'短评内容': '环境优美服务至上！', '短评打分': 5}
{'短评内容': '服务很好，下次还会入住', '短评打分': 5}
{'短评内容': '虽然酒店旧了点 但服务人员非常出色 会很主动的给予帮助 而且态度也非常好 运气更好的是 还升级成了套房', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '第二次来前台服务员就认识我了，还特意挑选了我喜欢的朝南阳光房，办入住也更贴心高效了，退房主动问我是否需要出租车，这里的服务不像一些酒店那么无微不至，但是让人感觉很自在。房间里的配备算不上高大上，但是很人性化，需要常用的都有，卫生也做的很到位，一如既往的满意，我以后来青出差可以定点了。', '短评打分': 5}
{'短评内容': '地下一层是ktv歌厅，晚上很吵！没法入睡！！希望休息好的顾客请谨慎选择！！  为了去青岛大学考试，就找了就近的这家五星酒店，本来希望能休息得好一点，但是睡下了才发现有很明显的ktv歌厅的声音传来，9点半睡的，到11点还睡不着，打电话去问前台才知道地下一层是个ktv歌厅啊！！！又不肯给换房间，结果一整晚只睡着了4个多小时！！我住在3楼的房间，这种声音没有睡下是听不出来的，但是一躺下，头一沾上枕头就听', '短评打分': 3}
{'短评内容': '酒店不错，物美价廉，服务到位', '短评打分': 5}
{'短评内容': '环境服务都很好，只是是比较旧式的酒店了。很安静住的舒服，孩子喜欢在楼下草地奔跑。', '短评打分': 5}
{'短评内容': '还行 不过很老了      zzzzz', '短评打分': 3}
{'短评内容': '不错，玩的很开心！！！！！！！', '短评打分': 5}
{'短评内容': '酒店里离海边还有段距离，房间看不见海景。吃饭的地方不太容易找到。总体印象一般。', '短评打分': 1}
{'短评内容': '酒店房间大，服务热情。但位置偏，房间电话、网络老出问题，早餐质量差。', '短评打分': 3}
{'短评内容': '环境服务很好，离海边近，去奥帆也不远。旅游度假的好去处。', '短评打分': 5}
{'短评内容': '各方面都还不错，特别是服务很好，比较贴心', '短评打分': 5}
{'短评内容': 'I picked this hotel based on the good comments from its customers. Stayed for 3 nights from April 13-16. Very pleased with their service. Room is excellent and I like their front desk reception very m', '短评打分': 5}
{'短评内容': '今天入住酒店感觉很好', '短评打分': 3}
{'短评内容': '\n用于没有办完事情，又毫不犹豫的在贵宾楼延住了一天。严重推荐贵宾楼，确实比其他的楼要好的多！这次还给我升级到朝南向的房间了，能看到海。\n\n非常满意！下次有机会还住这里！', '短评打分': 5}
{'短评内容': '\n房间很干净，很舒服！\n早餐也很好！\n员工很有礼貌！\n非常满意！', '短评打分': 5}
{'短评内容': '早餐确实是差点 其他都还不错~服务态度很好', '短评打分': 5}
{'短评内容': '条件很好。', '短评打分': 3}
{'短评内容': '酒店的贵宾楼确实不错。服务很好，晚上去海边散步也很方便，就5分钟的路程。早餐种类也很丰富，但偶尔会有些小虫子在飞，还有免费的游泳池可以使用（只有贵宾楼的客人是免费），虽说有点小，但女儿游起来也很开心。', '短评打分': 5}
{'短评内容': '酒店环境不错，很清静，离海很近，而且服务不错，在离店的时候我们有很多行李，除了门童，连前台的领班都帮我们拿行李到车上，非常感谢。南向的房间在三楼看不到海，可能要高一点才行吧', '短评打分': 5}
{'短评内容': '房间的大小和室内设备相当不错。因为是免费升级到套房，更是感觉很好。下次再来一定还住套房。只是洗漱用品不怎么样，也许是出于环保。', '短评打分': 5}
{'短评内容': '很好.', '短评打分': 3}
{'短评内容': '酒店服务非常好，房间很大，这个价格在青岛属于性价比很高的了', '短评打分': 5}
{'短评内容': '很不错，硬件设施很好，服务也不错，还能免费游泳，晚上去海边散步很方便。住花园酒店只能住贵宾楼。', '短评打分': 5}
{'短评内容': '又要点评啊，窗帘很好，遮光很到位，早上不是闹钟 真以为还是夜里', '短评打分': 5}
{'短评内容': '四星级酒店 就是不一样啊，屋内细节设计，灯光设计，还有服务态度都不错', '短评打分': 5}
{'短评内容': '环境优雅，早上的自助不错，离海边也很近，这次去定的是贵宾单人间，由于会议酒店免费升级成套房。赞一个。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，只是客人比原来预定的晚了好几个小时，酒店也没有电话确认，其他的酒店通常都会来电话确认一下的。', '短评打分': 5}
{'短评内容': '酒店的环境还行，卫生设施也都还可以，价格还是有些贵了，位置不错，服务态度也还行但是价格确实有些贵了，其他方面都还不错。', '短评打分': 1}
{'短评内容': '环境很不错，花园式酒店，绿化很好，设施很完善，服务很贴心。', '短评打分': 5}
{'短评内容': '酒店的环境很好，配置硬件都很达标，服务很热情。位置也很好，很方便出行，性价比适中的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '我是常去住，都很熟悉了，房间大，设施好又新，都挺不错的。不足的地方还是要提点意见：因为是比较幽静的所在，叫出租车不太方便，每次都要提前给前台打招呼，等他叫来了再下去。再有就是配套设施的服务不太足够，比如桑拿晚上11点就下班了。', '短评打分': 5}
{'短评内容': '贵宾楼房间超大，设施设备又新有好。服务也还蛮好的。前台服务员很快就记住了你，真让人感觉不错。', '短评打分': 5}
{'短评内容': '房间设施可以算得上五星了，定了两个房间，大床间特别的大和宽，而且卫生间也特别大，有浴缸和淋浴间；入住期间到酒店泳池游了两回，都没什么人，像专场一样；客房服务非常的细致，看到我们晾在卫生间的衣服没有干，主动拿去熨干了,好贴心啊；用完了的水果也主动帮我们添上了，无可挑剔啊！', '短评打分': 5}
{'短评内容': '\u3000\u3000除了逛街要打车以外，其他的都很好', '短评打分': 5}
