{'短评内容': '设施陈旧，真的很不好', '短评打分': 2}
{'短评内容': '安静、干净！', '短评打分': 5}
{'短评内容': '还不错，挺干净的。下次还会来的。就是卫生间有点潮湿味道，房间有点小', '短评打分': 5}
{'短评内容': '还不错，挺干净的。下次还会来的。就是卫生间有点潮湿味道，房间有点小', '短评打分': 5}
{'短评内容': '客房及前台服务态度OK，走廊上讲话及房间与房间讲话声音很清晰，基本无须使用房间电话即可沟通。', '短评打分': 5}
{'短评内容': '干净，舒适，比预定中想想的好些，没让我失望。觉得可以，周围也方便，超市，小吃', '短评打分': 5}
{'短评内容': '酒店位置离大学很近，去看同学的话很方便，旁边买东西也很方便，旁边很近就有个超市，要买的东西基本都可以买到。而且是大学旁边，吃饭什么的很方便，旁边各种口味的饭菜都是有的，还是蛮好的，下次如果有机会，还会选择这家。', '短评打分': 5}
{'短评内容': '空间有点小，但是卫生环境不错。', '短评打分': 3}
{'短评内容': '酒店不错，洗浴设施可以，服务也行。', '短评打分': 3}
{'短评内容': '这个价好，下次还住。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务十分周到，我很满意', '短评打分': 3}
{'短评内容': '干净卫生，就是隔音差一些。服务人员的态度挺好的。', '短评打分': 5}
{'短评内容': '不错 蛮干净的\n只是太小了点~~比较安静 但是隔音不是很好', '短评打分': 5}
{'短评内容': '不错 蛮干净的\n只是太小了点~~比较安静 但是隔音不是很好', '短评打分': 5}
{'短评内容': '你赠送的消费100怎么消费。是给卷还是拿卡', '短评打分': 3}
{'短评内容': '你赠送的消费100怎么消费。是给卷还是拿卡', '短评打分': 3}
{'短评内容': '环境很好，很舒适', '短评打分': 3}
{'短评内容': '环境很好，很舒适', '短评打分': 3}
{'短评内容': '住宿条件还可以，就是有点冷清！周边吃饭的地方不多。', '短评打分': 1}
{'短评内容': '住宿条件还可以，就是有点冷清！周边吃饭的地方不多。', '短评打分': 1}
{'短评内容': ' 环境一般，隔音效果太差，隔壁打呼噜都能听见。半夜的时候有人在走廊里高声喧哗很久，在此期间并无酒店方面的人出来提醒或制止，这点极不满意', '短评打分': 3}
{'短评内容': ' 环境一般，隔音效果太差，隔壁打呼噜都能听见。半夜的时候有人在走廊里高声喧哗很久，在此期间并无酒店方面的人出来提醒或制止，这点极不满意', '短评打分': 3}
{'短评内容': '很好，很干净舒服，价格便宜，靠近大学，很方便。洗浴很好，也不吵。', '短评打分': 5}
{'短评内容': '很好，很干净舒服，价格便宜，靠近大学，很方便。洗浴很好，也不吵。', '短评打分': 5}
{'短评内容': '态度好，服务号，环境好，下次还会再来哦。。。。', '短评打分': 5}
{'短评内容': '态度好，服务号，环境好，下次还会再来哦。。。。', '短评打分': 5}
{'短评内容': '服务很好，条件也很好，环境很好，下次还会光顾哦。。', '短评打分': 5}
{'短评内容': '服务很好，条件也很好，环境很好，下次还会光顾哦。。', '短评打分': 5}
{'短评内容': '很好。很不错。环境不错。干净。卫生。交通便利。', '短评打分': 5}
{'短评内容': '很好。很不错。环境不错。干净。卫生。交通便利。', '短评打分': 5}
{'短评内容': '服务态度不错，性价比较高，就是位置相对偏僻了一些，总体来讲还是很好的。', '短评打分': 5}
{'短评内容': '服务态度不错，性价比较高，就是位置相对偏僻了一些，总体来讲还是很好的。', '短评打分': 5}
{'短评内容': '不错～～干净方便，挺好的～～～～～～\\^O^/', '短评打分': 1}
{'短评内容': '不错～～干净方便，挺好的～～～～～～\\^O^/', '短评打分': 1}
{'短评内容': '环境不错,服务比较好', '短评打分': 3}
{'短评内容': '环境不错,服务比较好', '短评打分': 3}
