{'短评内容': '很不错 态度很好', '短评打分': 5}
{'短评内容': '房间不错，环境挺好', '短评打分': 5}
{'短评内容': '服务态度很好，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '我觉得很不错，卫生干净，环境也挺好', '短评打分': 5}
{'短评内容': '周边设施还算方便，卫生可以，浴室可以', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '酒店大堂有些小，房间不大，服务比较好。其余的就是汉庭的标配，周边很多小饭店，打车也比较方便。住的时候告知没有暖气，不过空调挺好，热水比较大，洗澡很舒服', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '跟不错，很干净', '短评打分': 5}
{'短评内容': '住的还行，住了一晚，洗澡什么的还可以，只是服务态度还好，暖和，房间也挺干净的，总体还可以，性价比高。赞值得推荐', '短评打分': 5}
{'短评内容': '服务很好，经常去住', '短评打分': 4}
{'短评内容': '住的还行，住了一晚，洗澡什么的还可以，只是服务态度还好，暖和，房间也挺干净的，总体还可以，性价比高。赞值得推荐', '短评打分': 5}
{'短评内容': '酒店还可以，蛮干净的。电视机装的太高，看起来很不舒服。离动画学院蛮近的，交通还是比较方便，出去打的还是比较方便的。携程订的高级大床房169，不含早，如果含早性价比就比较高了。', '短评打分': 5}
