{'descr': '最满意的是停车方便，去服装城很近', 'star': 4}
{'descr': '每次来北京进货都住如家，酒店已全面升级，服务越来越好，卫生一如既往地干净，推荐入住！', 'star': 5}
{'descr': '这个酒店的前台服务员就像别人欠他钱一样，态度生硬，一点笑脸都没有，酒店卫生条件很差，破床单，破被套，什么都破，希望如家集团重视起来。', 'star': 2}
{'descr': '价格适中，房间不大，设施不算新', 'star': 5}
{'descr': '房间干净，各设施都很齐全', 'star': 5}
{'descr': '房间有种怪味', 'star': 3}
{'descr': '服务好，不错。门口有卖小食品的，很方便。以后有机会还会住啦。嘻嘻。嘻嘻。', 'star': 5}
{'descr': '从仿佛斤斤计较红红火火恍恍惚惚哈哈', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '总体还行吧，淋浴设施略有点老，水不大，不热。', 'star': 4}
{'descr': '总体不错，地理位置方便', 'star': 4}
{'descr': '环境差，有味道。', 'star': 2}
{'descr': '不错', 'star': 5}
{'descr': '服务正规化', 'star': 5}
{'descr': '感觉一般吧，', 'star': 3}
{'descr': '还可以，电视太模糊', 'star': 5}
{'descr': '位置好，环境一般！', 'star': 5}
{'descr': '差评 里面设施非常破旧 门还难开 最可恶的是被子都是破的', 'star': 1}
{'descr': '还不错吧，国庆节去的，有点贵', 'star': 4}
{'descr': '房间太小了，商务大床房与其他的房间差不多', 'star': 1}
{'descr': '干净', 'star': 3}
{'descr': '如家快捷酒店（北京木樨园店）感觉很一般，价格贵啊，距离南站比较近。', 'star': 5}
{'descr': '还不错···服务很好···就是隔音不太好哦···', 'star': 5}
{'descr': '表对<如家快捷酒店（北京木樨园店）>的评论(表对<如家快捷酒店（北京木樨园店）>的评论(表对<如家快捷酒店（北京木樨园店）>的评论(', 'star': 5}
{'descr': '满意，条件还可以', 'star': 3}
{'descr': ' 酒店位置很好，交通很方便，但是硬件环境比较差，性价比较低，下次会考虑其他酒店。', 'star': 3}
{'descr': '房间小，床很硬，设施旧，', 'star': 3}
{'descr': '特价房间太小了，还很吵。服务也一般，我第二天换到4楼去了。', 'star': 5}
{'descr': '前台服务不错，但是房间太差了，马桶一直出水不停，喷头水很小，床单也不知道几天没有洗了，掀开被子还有不知道哪位留的长头发，3个枕头其中一个都快成灰色了，隔音效果极差。', 'star': 1}
{'descr': ' 上次来入住过，感觉良好，晚上休息很安静。', 'star': 3}
{'descr': '太贵。不好找。服务态度一般。就一双拖鞋。没有卫生纸。', 'star': 1}
{'descr': ' 酒店环境还不错，地段也可以，下次还来！', 'star': 3}
{'descr': '酒店不错，就是周边环境有点乱，但买东西吃饭很方便。', 'star': 5}
{'descr': '地理位置还是可以但是性价比一般..如果提升一样 这样的价格就可以接受了', 'star': 5}
{'descr': '入住如家后有几点感触，房间小的可怜，隔音差的要命，最受不了的是半夜推门发野广告，真是吓死了，如家管理的太差了', 'star': 3}
{'descr': '环境不错,周末公交也多。小饭馆也多。总体经济实惠。', 'star': 3}
{'descr': '位置有点偏，司机都不知道，住的时候也不提供午餐、晚餐', 'star': 1}
{'descr': '位置很好，在南站附近，公交665，打车10元', 'star': 5}
{'descr': '为了下次来不要等房间那么久就给个不推荐吧，呵呵呵，有点自私，如果我再推荐来的人就更多了。', 'star': 1}
{'descr': '很不错，就是到了要排队等退房。下次可能还来', 'star': 3}
{'descr': '去大红门批发市场买衣服很方便，各方面条件也不错。', 'star': 5}
{'descr': '安装预定时间到达，在大厅等了好长时间等在退房。不过这也说明很多人认可这里。', 'star': 5}
{'descr': '+还行…就是网上预定后酒店确认很麻烦…', 'star': 5}
{'descr': '入住主要是因为离北京南站近，打车不用10分钟就到了，赶火车方便，但酒店的位置很偏，好多出租车司机都不知道。不过，前台服务热情，依然建议在南站上车的旅客入住', 'star': 5}
{'descr': '好，就是要提前预订。。。。。。。。。。。。。。。。', 'star': 3}
{'descr': '挺好的酒店，就是要提前一天定！。。。。。。。。。。。', 'star': 3}
{'descr': '好啊，就是要提前预定，否则真的没房', 'star': 5}
{'descr': '卫生挺不错的，地理位置也很好，距离目的地挺近的', 'star': 5}
{'descr': '酒店位置还不错，出行还挺方便的，对于喜欢逛街的MM比较适合&#183;\r\n~\r\n', 'star': 3}
{'descr': '出行方便，周围配套挺好的，吃东西也很方便~~', 'star': 5}
{'descr': '总体来讲还ok，也算经济适用了', 'star': 5}
{'descr': '不错。离北京南站近！', 'star': 5}
{'descr': '洗澡水不热也不冲，屋子又小，进屋三步就是床，洗澡的下水道还给堵了，屋子里冷，但是没有空调遥控，还得跟前台要，卫生纸也不够用，隔音也不是特别好。反正不是特别理想，还是应该改进！', 'star': 1}
{'descr': '环境还是很好的。', 'star': 3}
{'descr': '不错！', 'star': 3}
{'descr': '总体感觉还凑活。', 'star': 5}
{'descr': '酒店因为是连锁酒店各方面服务都不错,比较符合我的标准,卫生和设施条件还行,位置很好很方便出行而且停车挺方便的.', 'star': 3}
{'descr': '酒店地理位置还是可以的，但是设备比较成旧。晚上骚扰虽说没有，但是投递卡片的很多，我想这应该和酒店保安有较密切的关系吧，呵呵，加强管理啊', 'star': 5}
{'descr': '不错，可以推荐给朋友', 'star': 3}
{'descr': '房间的卫生和设施上都很不错,住着很舒适,而且离我办事的地方也很近,很方便,是一家性价比很高的酒店.', 'star': 3}
{'descr': '我一进酒店就感觉这酒店和其它如家有差距,设施老旧了,显得也不是很干净,卫生不好,位置也不是很优越.', 'star': 3}
{'descr': '总体感觉不错，交通很方便', 'star': 3}
{'descr': '总体感觉还不错吧，可以推荐给朋友', 'star': 5}
{'descr': '不错，可以住。', 'star': 5}
{'descr': '我觉得房间里的设施方面有些陈旧了,周边交通也不是很方便.价格也一般了.', 'star': 3}
{'descr': '酒店的服务还是不错的,房间打扫的也挺干净,就是床单被罩不经常更换,周边交通也挺方便的,价格方面还是比较合适的.', 'star': 5}
{'descr': '屋子太小了，空间狭窄，是住过的最差的一家如家', 'star': 1}
{'descr': '房间面积很小，不是很舒适。卫生服务都还不错，价格合理适中。位置很好距离我去的地方非常近，出行交通也很方便。整体来讲还是比较不错的值得推荐入住的酒店。', 'star': 5}
{'descr': '卫生服务都不错，位置也不错，周围挺方便的，值得推荐', 'star': 5}
{'descr': '房间干净舒服，服务也很周到，地理位置也挺好的', 'star': 5}
{'descr': '优势：早上要赶到南苑机场，所以选了这里，去南苑坐飞机的话，这里还算比较方便。\r\n缺点：隔音不是一般的差，房间很小，隔壁吸烟都能闻到烟味。', 'star': 5}
{'descr': '房间比较温馨，价格也便宜，服务也很热情', 'star': 5}
