{'短评内容': '好，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间卫生和设施都超棒', '短评打分': 5}
{'短评内容': '该装修了', '短评打分': 4}
{'短评内容': '挺满意的。', '短评打分': 5}
{'短评内容': '贼舒适', '短评打分': 5}
{'短评内容': '老旧差，还贵，不推荐', '短评打分': 3}
{'短评内容': '房间特别好  什么东西都有 ，工作人妖也都很礼貌', '短评打分': 5}
{'短评内容': '住过很多次，值得回忆和信赖的一家酒店，越来越好', '短评打分': 5}
{'短评内容': '很不错的体验～干净 舒服～环境真的很好～有些浪漫的感觉', '短评打分': 5}
{'短评内容': '非常的好啊', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '然', '短评打分': 4}
{'短评内容': '水龙头松动，', '短评打分': 5}
{'短评内容': '很好 ', '短评打分': 5}
{'短评内容': '一直都住这，性价比很高，，很喜欢装修风格', '短评打分': 5}
{'短评内容': '酒店超好，就是我住的房间正在电梯口，有点吵。', '短评打分': 5}
{'短评内容': '环境很不错，非常喜欢这样的环境，下次还会来', '短评打分': 5}
{'短评内容': '不错 特别人性化 下次还去 哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '房间设施非常齐全，尤其是浴室的一次性用品，非常好！ 房间里还有一个游戏机，我没时间玩，不知道好玩不。 床睡起来也很舒适，旁边还有一个非常舒服的沙发，可以舒服的躺着看书，很惬意。 浴室设计也很特别，见图片。 房间有点拥挤，灯光不够明亮，我不是很喜欢，但还是一个不错的酒店，推荐一下。', '短评打分': 4}
{'短评内容': '酒店硬件设施不错，有xbox可以玩，让我辛苦之余还能有点乐趣。', '短评打分': 5}
{'短评内容': '如果你不在乎细节，可以选择这家店，洗澡的还没有手持花洒', '短评打分': 1}
{'短评内容': '优点：房间里有XBOX，喜欢游戏的朋友们绝对值得一住；很大的液晶电视，具体多大我也不清楚；房间有DVD，碟片随便看；房间配有电脑，而且还有WIFI;可以到下午六点退房，如果有事甚至可以延迟到八点；房间里的饮料比超市的还便宜，农夫山泉1元，可口可乐2元，省的跑超市买了。\n缺点：停车不大方便；空调噪音有点大。\n总体来说很给力的酒店。', '短评打分': 5}
{'短评内容': '服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.', '短评打分': 5}
{'短评内容': '房间很干净，很安静。老婆、女儿很喜欢，比起我们以前住的星级酒店有更多的新鲜感，服务很周到，都没有住够，下回去还住这里！', '短评打分': 5}
{'短评内容': '不错，感觉很温馨，只是小炒比较简单。另外娱乐设置不多，有游戏机不知道怎么玩', '短评打分': 5}
{'短评内容': '不错，下次还来', '短评打分': 3}
{'短评内容': '喜鹊愉家房间环境确实不错…设备齐全，服务态度也好。', '短评打分': 3}
{'短评内容': '很安静，隔音很好，暖气特别足，房间显档次比快捷酒店好很多啊', '短评打分': 5}
{'短评内容': '这是第二次入住了,感觉很舒服,而且还增加了游戏机。', '短评打分': 3}
{'短评内容': '酒店布置得很温馨 细节处理得不错 住着比较舒服 推荐', '短评打分': 5}
{'短评内容': '酒店确实不错，可惜只有郑州有，要是全国连锁的话我肯定办会员了。\n强烈推荐~~~~', '短评打分': 5}
{'短评内容': '很安静，隔音很好，暖气特别足，房间显档次比快捷酒店好很多啊，尤其是电视看着很舒服，热水喷头超大热岁很舒服', '短评打分': 5}
{'短评内容': '第二次来喜鹊愉家住，房间的感觉跟家一样，还添置了360游戏机，真酷，很喜欢', '短评打分': 3}
{'短评内容': '出差来郑州能住这里尽量住这里，舒适温馨，服务态度也好', '短评打分': 5}
{'短评内容': '大江南北的，去了不少地方\n这个温馨的小旅馆我真是贴心的服了，感觉很喜欢，地点也不错。\n让我有一种想开个旅馆的感觉，我去过的旅馆中最好的，当然在这一价位里面！真好！真好421室', '短评打分': 5}
{'短评内容': '酒店位置，设施都不错，下次去郑州还要住。……-……', '短评打分': 5}
{'短评内容': '涨价了，性价比没以前高了，但是酒店还是很不错的。现在房间里又添了Xbox，喜欢玩的可以考虑住这个酒店。', '短评打分': 5}
{'短评内容': '不错 床很大 有游戏机 但不会玩 就是电脑配置有点低 ', '短评打分': 5}
{'短评内容': '环境非常好，很温馨！\n位置刚好闹中取静！', '短评打分': 5}
{'短评内容': '房间很不错，电视、电脑、碟机都有，网速也很快，客房服务也比较迅速，而且还能帮忙订票，省了我们很多时间，出门打的士要靠火，有时出门就有，有时半个小时拦不到一辆，总体感觉很不错', '短评打分': 5}
{'短评内容': '整体还可以。前台服务不错房间也较温馨。就是六楼早上热水水温不够，', '短评打分': 5}
{'短评内容': '不错的酒店。。。电视很爽的。。。还有蓝光播放器。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，只是位置有点偏僻。不过客房中的消费品很便宜，只是前台的服务人员似乎不是很热情，有点爱理不理的。', '短评打分': 5}
{'短评内容': '大床是由两张小床拼成的，上当!', '短评打分': 3}
{'短评内容': '除了地方有些难找其他都还不错，很干净很舒服。', '短评打分': 5}
{'短评内容': '很舒适，床超大，卫生也不错，交通还算方便，', '短评打分': 5}
{'短评内容': '价格实惠，设施不错，但是服务没有另一家喜鹊好。', '短评打分': 5}
{'短评内容': '环境很不错，40寸液晶，DVD，电脑，硬件设施到位，相比附近的酒店有优势', '短评打分': 5}
{'短评内容': '酒店很好 环境不错 住的很舒服 下次來還住', '短评打分': 5}
{'短评内容': '缺点:\n1 停车位较少\n2 旁边是个海鲜市场\n\n优点\n1 房间装修有特点\n2 40寸大液晶电视\n3 有台式机可以上网\n4 洗浴用品用的都是品牌产品\n5 早餐不错', '短评打分': 5}
{'短评内容': '房间很不错，电视、电脑、碟机都有，但网速一般，浏览一些网页半天也打开不了，出门打的士不太方便，餐厅用餐记账常有出错，结账时要仔细核对，我就被多记用餐184元，幸好我还没有糊涂，指出后已更正。总体感觉还可以，下次还会选择这里。', '短评打分': 5}
{'短评内容': '\u3000还不错，卫生比较干净，就是打车不太方便面，我走了三路街口才等到车。', '短评打分': 3}
{'短评内容': '硬件设施还不错，就是卫生间太小，房间也小，走廊上讲话的声音听的一清二楚。住两天第二天中午一点回去卫生还未打扫，喊服务员后很快扫好了，楼下服务员态度很好就是一问三不知', '短评打分': 5}
{'短评内容': '房间很不错，电视、电脑、碟机都有，网速也很快，客房服务也比较迅速，而且还能帮忙订票，省了我们很多时间，出门打的士要靠火，有时出门就有，有时半个小时拦不到一辆，总体感觉很不错，下次还会选择这里。', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务好，早餐虽然只收10元，但是品种还是比较丰富的，味道也不错。经常住文化路店，这是第一次住在经六路店，两个店同样的好。经六路在软硬件方面比文化路店稍微差一些，但是价格还便宜了100元呢，所以还是非常物有所值的。', '短评打分': 5}
{'短评内容': '不错，不好打车，前台，保安，服务态度真的是太差了。。。。好像我欠钱一样。。。。真是叫人无语。。。。。。。。', '短评打分': 1}
{'短评内容': '一般，老板自己的定位是精品酒店吧？江浙沪这样的酒店很多，河南明显偏少，所以显得比较有竞争力，但是软件明显上不去，最明显的例子就是前台，根本不搭理你，很尴尬，一直在那坐着，你比我赶早班机还累？把身份证给她以后，好像还在玩自己的，你们是为顾客服务的，不是要顾客看你脸色，这样小旅馆似的服务成不了气候的', '短评打分': 5}
{'短评内容': '房间干净、舒适、设施也非常好（42寸平板电视带蓝光影碟机），物超所值。工作人员的服务态度特别好，尤其是楼层负责打扫卫生的工作人员。', '短评打分': 5}
{'短评内容': '房间干净，挺好的。酒店后面是一个军队幼儿园，早上有送孩子上幼儿园的，幼儿园放音乐，所以有点吵。其他还好。以后有机会还会再次入住。\n\n谢谢！', '短评打分': 5}
{'短评内容': '环境很不错，40寸液晶，DVD，电脑，硬件设施到位，相比附近的酒店有优势。就是附近打车太困难了，车少', '短评打分': 5}
{'短评内容': '装修风格挺好，很舒适，房间配有电脑，就是1G内存小了点，联通的10M网络出口还挺快，下载能到1000kb/s，但是笔记本需要装客户端pppoe拨入才能上网这个挺不爽', '短评打分': 5}
{'短评内容': '环境很不错，装修风格也时尚，40寸液晶电视，配有飞利浦的DVD机，可以看影碟，前台好像可以领                    ', '短评打分': 5}
{'短评内容': '中肯的评价是房间硬件设施相对优越许多，出差人士住比较安逸，不足是有些东西没标价格，等你用了后退房才知道某某要收费！比较适合情侣和夫妻开房的格调！因为地毯颜色较深也不清楚到底干净不，我住的浪漫大床房没有伞的说！交通吧实在是有点那啥，我在酒店楼下等了一个小时打不到的士，建议有的士直接上去关上车门再说去哪，不然司机不一定乐意带你。郑州很多路经常堵车的缘故吧！位置还是比较好找的，打的就说到华美达国际广场酒', '短评打分': 5}
{'短评内容': '非常有特点有个性的酒店，房间布局比较紧凑，很大的大床，大液晶电视，配有DVD机，可以在前台那里借盘看，免费的。卫生间马桶有点小，很不舒服，这我感觉是唯一缺点。配备的牙刷牙膏洗发水沐浴液都很不错。以后还会入住。', '短评打分': 5}
{'短评内容': '装修很有风格，很温暖的感觉，缺点就是早上比较吵，批发市场旁.                                                         ', '短评打分': 5}
{'短评内容': '很人性化设计！', '短评打分': 3}
{'短评内容': '1、房间较有特点，卫生条件良好，洗涑用品比较超值，适合非公务入住。\n2、本人入住时午夜三点被服务人员敲门，说是房费到期，让到前台补办手续，后查明为记错房间。在此提议酒店提高服务意识，即使补房费也不应午夜三点提出，严重影响休息。', '短评打分': 5}
{'短评内容': '下午可以延到18：00退房。。。。。\n餐厅味道好，价格实惠。。。。。\n洗漱用品高档，很有家的温馨。。。。。。\n', '短评打分': 5}
{'短评内容': '服务不错。看盘感觉很好。就是房间稍微有点小。如果要是再干净上点档次，客房能再多个双人浴缸就更好了。这样就是五百多我相信消费者也能接受。', '短评打分': 5}
{'短评内容': '房间格局不错，也很干净。交通很方便，下次还会入住', '短评打分': 5}
{'短评内容': '房间大，床大，整体感觉不错，退房时间也很人性化', '短评打分': 5}
{'短评内容': '去郑州只会住这家酒店 很温馨 很喜欢 不错 …… 推荐', '短评打分': 5}
{'短评内容': '餐厅服务挺好的\n住宿感觉这次不如上次的干净，不过也还可以的', '短评打分': 5}
{'短评内容': '电视大 适合情侣住 洗发水特别好用 缺点就是地毯有点脏 有的房间空调下面就是床', '短评打分': 5}
{'短评内容': '绝对推荐！很有调调的一家新概念酒店，挺小资的，很适合情侣入住，性趣大发，哇咔咔。装修很别致，地理环境又好，周边安静，吃喝又多，服务还很不错！赞啊！而且还可以下午六点才退房啊，娘哇，你还能更好点不。。。', '短评打分': 5}
{'短评内容': '值得入住，就是周围的菜场有些味道，不过不太影响~很好耶', '短评打分': 5}
{'短评内容': '沐浴设施比较完备，强于星级酒店，房间的配置也还不错，可以借光碟；价格适中，打的稍微麻烦一点，车少·', '短评打分': 5}
{'短评内容': '虽然房间小了，但处处能见到布置的用心之处，而且是我们河南的hotel，加油！', '短评打分': 5}
{'短评内容': '酒店装修很有特色，那天去之前幸亏有预定不然就没房了，下次去郑州一定还住这', '短评打分': 5}
{'短评内容': '很适合情侣入住,  环境也不错! 女朋友也很喜欢。\n\n\n   以后还来', '短评打分': 5}
{'短评内容': '床没其他人说的那么硬，但是感觉装修没有照片中那么期待，早上有点吵，附近打的有点难，总体来讲，这个价位，算不错了，适合情侣入住', '短评打分': 5}
{'短评内容': '性价比高，非常有特色，强烈推荐！', '短评打分': 3}
{'短评内容': '很有特色的一家酒店，如果你不是简单的只想休息，还想有个舒适的居住环境的话，这家值得推荐哈！！！', '短评打分': 5}
{'短评内容': '价钱合理,房间的布置和摆设很不错;酒店外是一整排的绿茵大道,让人感到很舒服！', '短评打分': 5}
{'短评内容': '非常时尚有个性，性价比很高。下次还来入住。', '短评打分': 5}
{'短评内容': '不错,用的牙膏牙刷都很好，沐浴产品非常香，效果也不错，就是浴巾稍微有些奇怪的味道，感觉不太好，建议更换。\n就在华美达酒店旁边。', '短评打分': 5}
{'短评内容': '床很大 大概有2.3*3吧 是两张双人床拼起来的\n内部布置不错 值得推荐', '短评打分': 5}
{'短评内容': '离省博物院很近，火车站也比较方便，环境还是可以的，如果晚上把窗户关好还是不至于很吵，早餐不错，才十块钱，床也没有大家说的那么硬吧，我个人来讲觉得很满意。', '短评打分': 5}
{'短评内容': '其他都还不错，但致命伤是隔音太差，入住当天晚上对面有个客人两点多回来在走廊里大喊服务生，听得一清二楚，气得我差点爬起来抽他。反正隔音很成问题，走廊里关门、走路、说话的声音都很清晰。还有很奇怪的是其他设施都挺齐全，却单单不提供火柴，没考虑到坐飞机来的烟客，还得自己跑一趟出去。', '短评打分': 1}
{'短评内容': '感觉不错，住过经济酒店中最大的电视，有特色的布置，洗洁用具不错!', '短评打分': 3}
{'短评内容': '酒店房间虽然有点小但是很温馨，设施也不错，电视是三星40寸液晶。环境比较安静，对面不远有酒吧和夜市适合年轻人入住。', '短评打分': 5}
{'短评内容': '环境很好，很喜欢这里', '短评打分': 3}
{'短评内容': '还是一样的感觉，很喜欢~就是早上外面有点吵~', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '环境一般，个人觉得唯一的亮点只有42寸的液晶电视还不错，其他只能说一般吧', '短评打分': 1}
{'短评内容': ' 不推荐啊。床硬。很吵。隔壁洗澡的水声，服务员声，和外面的声音。它挨着幼儿园或是小学，很早就开始放音乐。我住的最贵的房型了。', '短评打分': 3}
{'短评内容': '酒店很有特色哦，特别喜欢，下次还会去，推荐，推荐！', '短评打分': 5}
{'短评内容': '，酒店性价比高，但床太硬', '短评打分': 3}
{'短评内容': '特别的喜欢，酒店和图片一模一样。都不舍得离开了。装修很有品味和品质，你能想到的你需要的都有。可以免费看最新的电影，有碟机，片子在前台取，电视也很大，是平板的三星。有吹风机，有加湿器，都是品牌的。冰箱有饮料还有方便面等等而且是平价。浴液是玉兰油的，洗发水和护发素也是成套的，都很不错。马桶还有一次性的纸坐垫，而且还放了两卷纸，还有驱蚊剂，而且是小熊猫样子的。有电脑，可以上网。铁艺的床，很舒服。拖鞋还很', '短评打分': 5}
{'短评内容': '第一次入住，所住房间没有外窗，基本上分不清昼夜，感觉不太好，其它印象还不错，硬件和服务都比较满意，下次还会考虑继续，当然不会选择“暗无天日”的房间了。', '短评打分': 5}
{'短评内容': '床太硬', '短评打分': 3}
{'短评内容': '环境很好！服务也挺好~~~~~~~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '这家旅馆是一家性价比挺高的旅馆，就是叫车实再是太难了。', '短评打分': 5}
{'短评内容': '很棒的酒店，只是有两点不足：没有一次性拖鞋和楼下的早市儿太吵了。。。别的都好都好。。', '短评打分': 5}
{'短评内容': '非常满意 很喜欢', '短评打分': 3}
{'短评内容': '很不错的一家商务酒店，设计很独到，值得推荐！', '短评打分': 5}
{'短评内容': '非常有特色的酒店，服务不错，要是包含早餐就好了，还有就是床太硬', '短评打分': 5}
{'短评内容': '不能上网，因为不能上网承诺的补偿没有兑现。别的都还行，新酒店。', '短评打分': 1}
{'短评内容': '各方面都很不错。是非常好的地方。无论是装饰还是舒适度都很不错，设施也很齐全。就是床有点硬哟，叫服务生加了一床被子在下面还是把膝盖都弄红了…还有拖鞋…真的好硬…老公说穿上去像是受刑…其他都特别好…像是在家里住…餐厅的饭很实惠…', '短评打分': 5}
{'短评内容': '强烈推荐这家，很久没有去郑州了，没想到在郑州居然能有这样的小酒店，不错，赞一下。性价比超好，房间装修简单但不简陋，很有艺术感，居然配的是46寸液晶电视，还有电脑、小冰箱，239的价格让我觉得这样的房间设施有点不可思议。床很大，被子舒适，但床有点儿硬。给酒店提个建议，洗漱间里的香皂那么大块儿，太浪费了，牙膏那么大一整管，够住一个月用了，还是改小的吧！本着低碳的原则我都没好意思用。我在郑州住过中州皇冠', '短评打分': 5}
{'短评内容': '很好的一家酒店，很温馨。而且是6点退房，很好，下次来还住这家。\n唯一不足的就是床友点硬，膝盖弄破了。呵呵', '短评打分': 5}
{'短评内容': '酒店非常舒适 非常好', '短评打分': 3}
{'短评内容': '不错 还办了张卡 房间小 但布置得还行 饮料小食便宜 不错的情人旅馆', '短评打分': 5}
{'短评内容': '酒店在海鲜市场附近，起初有些失望。不过到店后，疑虑均打消。可谓星级酒店标准，普通酒店价格。配套设施很齐全，还有空气加湿器，很不错。洗澡水很冲，很舒服。下次去郑州还会入住的。', '短评打分': 5}
{'短评内容': '房间干净清爽，希望再接再厉，保持物美价廉\n如果含早餐就更好了', '短评打分': 5}
{'短评内容': '本来打算换其他酒店住住的，最后觉得好又多订了几天。\n性价比不错，挺干净，还可以上网，就不用带电脑了。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净规范！极高的性价比，下次还会入住', '短评打分': 5}
{'短评内容': '一 般  附 近 很 偏  地 面 卫 生 应 提 高  周 围 学 校 太 闹 ', '短评打分': 5}
{'短评内容': '很有风格的一间酒店，位置很安静，但离紫金山、人民路也不远。硬件比较不错，装修很温馨，前台态度一般，隔音一般，经常听到走廊声音，电视不错，电脑速度很快，推荐', '短评打分': 5}
{'短评内容': '很不错的一家酒店，我每次来郑州都选择这家。绝对物有所值，媲美4星酒店。选择喜鹊，不会错的。', '短评打分': 5}
{'短评内容': '床有点硬   别的都不错      希望能把床在整一下', '短评打分': 5}
