{'短评内容': '几年前就住过了，如家比7天便宜，安静，床也舒服，网上订便宜很多还是周末，枕头不高很舒服，没有矿泉水和抽纸。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境不错！安静！连锁店还是住着放心！', '短评打分': 5}
{'短评内容': '早餐非常好！很丰盛！自助，每份15元，', '短评打分': 5}
{'短评内容': '位置还不错', '短评打分': 3}
{'短评内容': '京东让人无语，又气人', '短评打分': 5}
{'短评内容': '还不错啊，便宜解决一夜宿', '短评打分': 5}
{'短评内容': '还不错，干净，卫生', '短评打分': 5}
{'短评内容': '住的舒服，老婆也舒服了。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还可以啦 标准快捷酒店的设计风格。就在火车站附近。可能是面向不一样 房间还停安静的。没有很吵。本以为火车站附近肯定睡不好。没想到还不错。 来的时候刚好降温。冷冷的。 空调效果很好。 还不错。 ', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '服务热情，早餐还可以花样多', '短评打分': 3}
{'短评内容': '房间小，床上有好多头发，牙刷差劲的难以想，空调吵得厉害，住过最差劲的酒店，没有之一\r\n没有办法跟其他的比，城市快捷比它不是高一个档次', '短评打分': 2}
{'短评内容': '不多的   连锁酒店一直住', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '太嘈杂了火车站附近的酒店', '短评打分': 3}
{'短评内容': '还可以，离火车站很近，如家给人的感觉就是简单干净，还有餐厅，这点很不错', '短评打分': 3}
{'短评内容': '环境很好，离火车站也近，服务很不错，就是吃饭的地方比较少。总体来说是很不错的入住选择。', '短评打分': 5}
