{'短评内容': '虽然是特价，但设施很差', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '住的比较舒适', '短评打分': 4}
{'短评内容': '宾馆还好', '短评打分': 4}
{'短评内容': '总的来说还可以，不足的是洗手间太窄了，上卫生间不方便，希望不断改进！', '短评打分': 5}
{'短评内容': '好好，位置方便。', '短评打分': 5}
{'短评内容': '酒店还好就是招牌不显著，我的同事打的都找不到。', '短评打分': 5}
{'短评内容': '好酒店，住了好多好多次了，每次开会都是住南天酒店', '短评打分': 5}
{'短评内容': '设施比较陈旧', '短评打分': 4}
{'短评内容': '爽，非常爽，睡得很舒服。', '短评打分': 5}
{'短评内容': '设施比较旧，感觉一般般，位置还可以，离几个车站都比较近，去景区市中心也方便。。。。。', '短评打分': 5}
{'短评内容': '入住停车还要收费，真的太特别了！', '短评打分': 3}
{'短评内容': '卫生和服务都还行，就是WiFi不行太卡了！这种老酒店适合老年人来住，年轻人还是换地方吧！', '短评打分': 4}
{'短评内容': '还不错，服务态度很好，前台的姐姐很有耐心，服务行业就应该有这样的心态！房间卫生也不错！个人觉得酒店的服务与卫生特别重要！', '短评打分': 5}
{'短评内容': '酒店服务态度不错，就是酒店有点旧了。', '短评打分': 4}
{'短评内容': '总体来说还行！毕竟是柳州老酒店了，', '短评打分': 4}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '不满意。还三星级呢，设施这样陈旧老套了。床头连个电源都没有。一般般', '短评打分': 3}
{'短评内容': '还可以！不错！来柳州必选的一家酒店！', '短评打分': 4}
{'短评内容': '不错！来柳州必选酒店！值得推荐……', '短评打分': 4}
{'短评内容': '卫生不错，价格还可以，卫生间小啦点', '短评打分': 4}
{'短评内容': '还不错，挺好的，就是交通不太方便，搭公交远', '短评打分': 4}
{'短评内容': '酒店还可以，就是装修旧了点其他还好，这个价位也就这样了', '短评打分': 5}
{'短评内容': '还凑合吧！只不过有点旧了！不像有三星级！还有几十有点吵', '短评打分': 5}
{'短评内容': '酒店新装修了，还不错。服务员的服务态度很好。就是晚上附近吃喝娱乐的地方比较少。晚上走了很远才找到吃饭的地方。', '短评打分': 5}
{'短评内容': '性价比还好', '短评打分': 3}
{'短评内容': '服务态度好，但酒店半夜停开中央空调，闷热！请改进。', '短评打分': 1}
{'短评内容': '不错，第二次住了，前台的很热情态度不是一般的好，是超好！因为原来给我的房间没有网线，我一说马上给我调换，不错不错，晚上很温馨，又送晚班又留温馨字条，不错！就是暖气不够大！如果能再暖点就好了！下次有机会去还会选择这个酒店！', '短评打分': 5}
{'短评内容': '相对于附近几家酒店来，相当不错，房间布置很好', '短评打分': 5}
{'短评内容': '房间有点旧，在火车站附近，整体不错', '短评打分': 3}
{'短评内容': '挺清静的，设施很好，价格也实惠，就是位置背了点，都是立交桥搞得。下次还住这。\n', '短评打分': 5}
{'短评内容': '酒店环境比想象的好！就是离红光桥近到晚上静的时候车开过的声音比较大，希望隔音能做得更好！服务也不错，到傍晚会有服务员送晚报。就是晚上找吃的不是很方便,白天就热闹点！下次去还会选择住这个酒店！', '短评打分': 5}
{'短评内容': '挺好的，挺方便，下次来柳州，还会定这儿。服务员态度也挺好。', '短评打分': 5}
