{'descr': '交通方便 位置优越，周围环境不错 配套设施齐全 机场大巴还是停留站 内部卫生整洁 还配套早餐 性价比很高', 'star': 5}
{'descr': '地理位置不错 打车很便利  周边也有大超市  室内也是很干净 提供UPS 值得再住', 'star': 5}
{'descr': '房间很干净，不错。', 'star': 3}
{'descr': '房间干净，服务还可以，就是有点小，相比石家庄其它快捷酒店价格显得有些高', 'star': 3}
{'descr': '还不错，挺干净，有早餐，交通位置好，出门就是公交站和中华大街', 'star': 5}
{'descr': '非常不错，经常住这个酒店，早餐不错，干净', 'star': 5}
{'descr': '总体还是不错的，就是房间稍微有点冷，要开空调。', 'star': 5}
{'descr': '被子有点薄，不能加被子，只能开空调，这样不太低碳。', 'star': 5}
{'descr': '价格还算合理，服务也不错，房间墙面有点剥落，说是下雨渗的。', 'star': 5}
{'descr': '环境非常好，服务周到，上网，洗澡非常方便，下次还会光顾。', 'star': 5}
{'descr': '很不错,环境很好。如果是全国连锁就更好了。', 'star': 3}
{'descr': '有早餐，挺好的，早晨起来吃东西很方便！\n房间隔音不好。\n电梯可以随便上下 如果改成刷房卡才可以上楼就会安全许多，那样人不会太杂', 'star': 5}
{'descr': '住过几家365连锁店，每一家给人的感觉是一样的：干净，简洁，实用，服务周到。。。', 'star': 5}
{'descr': '一般，没想象中好', 'star': 3}
{'descr': '不错,性价比好,值得推荐', 'star': 3}
{'descr': '还好的 呵呵 这个酒店主要是距离我所在的位置比较近 而且服务也不错 呵呵 性价比值得推荐 卫生不错 环境不错 而且里面的小毛巾还能带走 比较环保 卫生', 'star': 5}
{'descr': '第二次入住了，真的不错，一如既往的好，房间干净整洁，服务认真周到，值得称道的是早餐了，在这样的价位里面能有这样粤式点心早餐，很赞，卡布奇诺更赞，至于一些小毛病已经跟前台沟通过了……', 'star': 5}
{'descr': '性价比还不错，隔音不太好，结账有点慢，早餐没去吃不知道', 'star': 5}
{'descr': '酒店很好，性价比不错，位置好。干净卫生，网速一般，设施一般，不过这个价位还是不错了。', 'star': 5}
{'descr': '打车不方便，我早上在大街站了整整半小时，酒店还没有吹风机提供，感觉卫生也大不如前。以后不住了。', 'star': 1}
{'descr': '前台的服务还是比较满意的，卫生倒是挺干净，但是在这个价位的快捷酒店来说，以下的问题请予以改进：一是毛巾问题，一次性的小毛巾虽说比较卫生，但是洗脸擦身不方便，而且还掉毛；二是浴巾只有一条；三是沐浴露和洗发是通用的，每人一包，但是夏天明显不够用；不过打电话给前台，很快就给多送了两包，可是是保安给送的。希望酒店加以改进吧……', 'star': 1}
{'descr': '还行。。。交通蛮便利的。。。。下次还来咯~~！！！', 'star': 5}
{'descr': '不错，还免费升级。床单很干净，楼下餐馆很多，很方便。', 'star': 5}
{'descr': '还不错！服务挺好的，可能是到夏天的原因吧，热水不是很热', 'star': 5}
{'descr': '该店简约环境好，尤其早餐比较丰盛', 'star': 3}
{'descr': '＋不错早餐也不错离火车站很近', 'star': 3}
