{'短评内容': '酒店位置比较偏，但是内部设施比较齐全，服务态度很好。房间空间很大，就是空调有点响。隔音效果不错', '短评打分': 5}
{'短评内容': '房间很大，停车方便！', '短评打分': 5}
{'短评内容': '一进门，一股发霉的味道，受不了', '短评打分': 2}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '第二天皮肤过敏，我住酒店从来没发生过。卫生间味道重', '短评打分': 1}
{'短评内容': '不错哦…………', '短评打分': 4}
{'短评内容': '写点评价就是，一般般！', '短评打分': 3}
{'短评内容': '离客户比较近，镇子上比较好的酒店，但是卫生间味道相当大，希望改进', '短评打分': 4}
{'短评内容': '设施有些老化了，洗脸盆龙头漏水也不修理，不过早餐还是不错的。距离科创园很近，去那边办事住这里还算合适。', '短评打分': 4}
{'短评内容': '周边环境很差，酒店一般', '短评打分': 4}
{'短评内容': '很好，不错的选择，酒店的服务，地理位置很方便，当然是指去武进高新区！', '短评打分': 5}
{'短评内容': '房间很大，设施也不错。 ', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店的隔音很好！新装修的，综合配套也可以，就是位置稍偏。', '短评打分': 4}
