{'短评内容': '不销', '短评打分': 5}
{'短评内容': '早餐很丰富，住得很舒服，住的最高层视野很好', '短评打分': 5}
{'短评内容': '环境舒适，服务一流，下次继续', '短评打分': 5}
{'短评内容': '服务不想多说，差差差。', '短评打分': 4}
{'短评内容': '酒店设施很一般', '短评打分': 3}
{'短评内容': '感觉挺好的，住着也舒服！', '短评打分': 5}
{'短评内容': '房间太小，空调不制暖。', '短评打分': 3}
{'短评内容': '一般的一般', '短评打分': 4}
{'短评内容': '房间很安静舒适，位置也不错周围比较繁华，就是携程价跟门店假相差太多，发票要携程邮寄不太方便。', '短评打分': 4}
{'短评内容': '当地最好的酒店 设施陈旧 Wi-Fi不如流量快 出差将就吧', '短评打分': 3}
{'短评内容': '旁边有超市，盲人按摩，早餐可以吃米粉。', '短评打分': 4}
{'短评内容': '条件好，方便，配套齐全', '短评打分': 5}
{'短评内容': '干净整洁，服务好。', '短评打分': 5}
{'短评内容': '县城里面算不错的..............设施有一点陈旧', '短评打分': 5}
{'短评内容': '在三台而言可能是最好的，当然也是最贵的，不过性价比未必是最高的。', '短评打分': 5}
{'短评内容': '卫生好但希望把每天到总台办续房手续取消了瓜得很另外客房电话不好用打总台没反应', '短评打分': 5}
{'短评内容': '素单间338元 环境好 车位少', '短评打分': 3}
{'短评内容': '酒店综合情况还行，但比较老了，早餐品种少', '短评打分': 3}
{'短评内容': '结账时服务员说酒被动过,也不跟客户确认就把钱直接重信用卡扣除,后来主管重新查看没有消费,拖延了很长时间,最后连句道歉也没有, 明显不尊重客人, 先假设你是错的,管理需要提高...', '短评打分': 1}
{'短评内容': '结帐非常慢，前台服务员缺乏培训，早餐台布不换，一套防范体系让客人缺乏信任感，软件上离四星差距较大', '短评打分': 3}
{'短评内容': '三台最好的酒店。硬件达到四星，服务还有待加强~', '短评打分': 5}
{'短评内容': '大年初一入住..进来之后在床上躺了一会儿才发现4个枕头套、床单、被套都有破洞，还都不止一个..翻开铺盖..发现了史上最恶心的事情...下面的垫子上居然有一坨干掉的血渍...颜色很明显，隔着厚厚的床单都能很明显的看到...马上打电话叫服务员来。。结果服务员来一翻开床单  下面还藏有一网头发  ，尼玛啊。。这就是4星级酒店吗？？？？要知道梓州国际酒店是这种水准，打死也不来住！！！！！！！！！\n\n服务员', '短评打分': 1}
{'短评内容': '周边环境挺好，风景挺漂亮，交通一般，内部环境挺干净的。住的还算舒适。', '短评打分': 3}
{'短评内容': '房间住的挺舒适，服务态度还好，就是早餐简单了点。', '短评打分': 3}
{'短评内容': '房间倒是挺干净整洁的，环境也挺安静，晚上休息的很好，还能提供早餐，感觉挺不错。', '短评打分': 5}
{'短评内容': '卫生和服务不错，位置有些偏，整体感觉还好。', '短评打分': 3}
{'短评内容': '卫生方面很好，床铺打扫的很干净，毛巾一次性的，用着挺放心的。', '短评打分': 5}
