{'短评内容': '一直预订，很好', '短评打分': 5}
{'短评内容': '还可以住住', '短评打分': 5}
{'短评内容': 'interior traditional chinese style. wifi not good', '短评打分': 4}
{'短评内容': '和周边酒店比，最吸引我的是有早餐。早餐种类还可以，对得起这个价格，酒店设施有点旧，但使用正常，房间有人体感应灯，有些小意舟。', '短评打分': 4}
{'短评内容': '地段好，出行方便，有送水果', '短评打分': 5}
{'短评内容': '位置方便，房间大小合适。', '短评打分': 5}
{'短评内容': '房间很干净就是房间没有喝的和吃的', '短评打分': 5}
{'短评内容': 'GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG', '短评打分': 5}
{'短评内容': '卫生间设施旧了。', '短评打分': 4}
{'短评内容': '有自主餐厅，床和枕头很适服，房间很安静，卫生也好，只是卫生间设施稍稍旧了点，价格也中等，出门打车不是很方便。', '短评打分': 4}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一直住这里，离银泰很近，很方便。', '短评打分': 5}
{'短评内容': '住过很多次了，环境不错。客服也比较干净，设施还凑合吧。周边的餐饮和交通还比较方便的。早餐种类齐全，味道不错。', '短评打分': 5}
{'短评内容': '地段方便', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '酒店靠近银泰城离市区又近，吃饭、出行都很方便。房间没有无线网，酒店可提供路由器。早餐可以，有地下停车场。总之还是挺不错的。  ', '短评打分': 4}
{'短评内容': '卫生间排风不好，空调声音大 地理位置好，离银泰很近', '短评打分': 5}
{'短评内容': '酒店设施热水较小，卫生尚可，早餐品种不多', '短评打分': 5}
{'短评内容': '房间总体还不错，靠近银泰城，吃饭、逛街都很方便！离皮革城也不是很远，就是房间有点湿湿的，不太舒服,感觉湿暗！早餐一般！', '短评打分': 3}
{'短评内容': '不错，下回还来', '短评打分': 4}
{'短评内容': '挺好的，物超所值，不过可能是新区，开车到皮革城需要10分钟以上，但空气不错，周围都在盖新大楼！', '短评打分': 5}
{'短评内容': '环境很好，很安静，还送小水果的哦~下次来海宁还住这', '短评打分': 5}
{'短评内容': '离中国皮革城不远，晚上可以去工人路逛逛，小摊贩很多，酒店住宿很干净，停车位置也很多，服务也不错，早餐很好吃，很满意', '短评打分': 5}
{'短评内容': '房间设施比较新，但是卫生间的面积有点小。check out的时候前台人员在没有确认房间价钱的前提下就擅自从我的信用卡预授权了288元，在要我签确认单的时候被我发现，我的实际入住价格应该是228元。这种操作流程明显是颠倒了。难道不应该是先让顾客确认前面之后再预授权的吗？所以，以后大家一定要仔细核对价格以后再签字，以免被酒店钻了空子。', '短评打分': 1}
{'短评内容': '房间还可以，服务态度比香榭丽好，', '短评打分': 3}
{'短评内容': '酒店很好，服务态度也好。推荐入住。如果下次再去皮革城，还会选择该酒店。', '短评打分': 5}
{'短评内容': '酒店很新，虽然地址偏了一点，但是离皮革城还是很近的。', '短评打分': 5}
{'短评内容': '酒店很新，很豪华，住起来也很舒服。。。\n值得推荐。', '短评打分': 5}
{'短评内容': '不错就是太偏了', '短评打分': 3}
{'短评内容': '半夜到的 前台稍有些困的感觉 其他都还不错 早餐过得去', '短评打分': 5}
{'短评内容': '价格比较合适，房间也可以，就是现在没开空调有点冷', '短评打分': 5}
