{'短评内容': '还过的去', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '外观不错，里面就很一般了', '短评打分': 4}
{'短评内容': '酒店不含早的，住了两个晚上，卫生间洗澡的热水要开很久才会有热水。卫生间味道太大了，酒店隔音效果还行。周边吃的挺多，在县城，离景区有一段距离的，自驾或者包车无所谓。', '短评打分': 3}
{'短评内容': '还不错，住的地方也不错。', '短评打分': 5}
{'短评内容': 'WIFI晚上信号不行', '短评打分': 5}
{'短评内容': '有特色，价格确实很低调。', '短评打分': 5}
{'短评内容': '只能说一分钱一分货。', '短评打分': 3}
{'短评内容': '舒适温馨，超喜欢', '短评打分': 5}
{'短评内容': '特喜欢这家酒店', '短评打分': 5}
{'短评内容': '酒店附近设施比较齐全，设施卫生都还不错，就是电视旧了电，不过能看也就行了。价格还是不错滴。', '短评打分': 5}
{'短评内容': '环境差了点，设施陈旧服务还可以，早餐品种少，但味道可以', '短评打分': 4}
{'短评内容': '一如既往的价廉物美', '短评打分': 5}
{'短评内容': '靠近马路，早上5点就被来往车辆吵醒。根本休息??好。窗子隔音效果不好。或者箅根本不隔音。下次不会住的。', '短评打分': 3}
{'短评内容': '有超大一只蟑螂，再也不想去了', '短评打分': 1}
