{'短评内容': '差不多', '短评打分': 5}
{'短评内容': '包子馒头稀饭，好像没有家庭套房，离火车站比较近。有停车场，性价比还行吧，只能说是经济实惠，说不上精致。', '短评打分': 4}
{'短评内容': '距万达广场近吃东西方便！', '短评打分': 5}
{'短评内容': '房间有烟味道，环境不好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行就是太贵了', '短评打分': 5}
{'短评内容': '附近附加费解放军', '短评打分': 5}
{'短评内容': '&yen;67#）8！8（', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错环境挺好', '短评打分': 5}
{'短评内容': '感觉床单被套不干净', '短评打分': 5}
{'短评内容': '位置好，价格适中', '短评打分': 5}
{'短评内容': '优点是14点退房，中午可以休息，现在很多酒店12点就要退房了！不过房间真的一般', '短评打分': 4}
{'短评内容': '经济酒店，主要是还带早餐', '短评打分': 3}
{'短评内容': '在绵阳考试临时住一晚，这个灯太昏暗了。喜欢明亮的房间，看起来舒服一些，', '短评打分': 3}
{'短评内容': '价格合理，出行方便，离火车站很近。', '短评打分': 4}
{'短评内容': '反正就那样，每次去都在那做，不过wifi不行', '短评打分': 3}
{'短评内容': '空间大，有停车场，有早饭，免费wifi!服务也不错哦！建议入住！', '短评打分': 3}
{'短评内容': '不错，每次去绵阳都住的这几。', '短评打分': 3}
{'短评内容': '性价比还是不错，有早餐', '短评打分': 3}
{'短评内容': '很不错的地方！', '短评打分': 5}
{'短评内容': '酒店位置还可以，总体来讲还行。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离火车站较近，还算比较干净。。。。。。。。', '短评打分': 5}
{'短评内容': '大床房,就是洗手间小了点,衣柜是很奇怪的形状,其他的都还可以哟,交通也很方便.', '短评打分': 5}
{'短评内容': '房间和床都很大，早餐也还行，就是临街的房间有点吵', '短评打分': 3}
{'短评内容': '第二次住这家酒店，卫生还是不错，就是空调6点半开始抽风，一下子就吵醒了。靠路这边的有点吵。', '短评打分': 5}
{'短评内容': '厕所有点小，房间还不错，干净。就是枕头太矮了。', '短评打分': 5}
{'短评内容': '距离火车站很近，走路一会儿就到了，地上有点污点，但是无碍大体，卫生间不大，但是也没必要用太大的，不过两条小毛巾实在太小了，而且浴巾居然只有一条，不过好在我是一个人住，也没什么大碍，吧台上东西比较多，但是杯子明显没有刷干净，我自己刷的，电水壶不能自动断电，用起来注意点就好，窗户隔音不好，但是我的房间外面是个小街，也不闹，经济酒店一般都是如此，但也比火车上安静多了，订房的时候让前台给安排个安静的房间就', '短评打分': 5}
{'短评内容': '第二次住这里了，除了临街这边有点吵外其他都还好', '短评打分': 3}
{'短评内容': '酒店交通便捷，房间大但卫生间小，还行吧', '短评打分': 3}
{'短评内容': '靠近市中心，性价比相当高的酒店，装修各方面给人感觉不像是快捷酒店，倒像三星级标准的，非常超值，推荐！', '短评打分': 5}
{'短评内容': '干净卫生，停车免费，房间较大，但是还是早早回家的好', '短评打分': 5}
{'短评内容': ' 还不错,干净,临街有点吵!性价比较高!', '短评打分': 3}
{'短评内容': '宽敞，而且下面一条街按摩，服务很方便。适合狼友居住，呵呵！', '短评打分': 5}
{'短评内容': '性价比较高，交通也还方便，就是感觉服务不是很到位，上次去由于涪江水污染，可是在登记入住的时候没有提前告知，希望以后加强管理！', '短评打分': 5}
{'短评内容': '很不错的房间，价格也很好，隔音效果不是特好，但是还过得去，隔壁的电视好像就在我睡觉的那个地方，一墙之隔，在新华西街，额，很多按摩店', '短评打分': 5}
{'短评内容': '酒店环境不错，房间挺大的', '短评打分': 3}
{'短评内容': '环境还是不错的.前台服务也很热情.缺点就是晚上热水比较凉.', '短评打分': 5}
{'短评内容': '很好，服务热情周到，室内设施健全，地理位置也不错，离火车站很近。', '短评打分': 5}
{'短评内容': '房间很整洁，很干净，装修很明快，离火车站很近，周围吃饭也很方便，就是临街不太安静，蚊子也有几只', '短评打分': 3}
{'短评内容': '面积挺大，也比较安静，总的来说还是不错', '短评打分': 3}
{'短评内容': '房间陈设比较新，床上用品及卫浴都比较干净。靠停车场的房间还很安静，没人骚扰，这个很重要。', '短评打分': 5}
{'短评内容': '装修设施都还可以，房间卫生也很干净，服务还行基本要求还是都能满足的，酒店的位置出行还是挺方便就是标志不是很明显，价格的话还是有些偏高了。', '短评打分': 5}
{'短评内容': '环境还不错，位置还是挺好找的，服务态度和价格方面都还不错。', '短评打分': 3}
{'短评内容': '非常舒适', '短评打分': 3}
{'短评内容': '房间装修的简洁大方，床挺大，睡着挺舒服，电视是液晶的，还能上网，感觉挺不错。', '短评打分': 5}
{'短评内容': '很温馨 很舒适  价格也很便宜  感觉比如家这些快捷酒店设施要好很多   如果以后有机会再去绵阳  一定还住这里   离火车站和市中心也很近  很方便', '短评打分': 5}
{'短评内容': '服务人员态度有些冷淡，但办事效率挺高的，位置挺好，出行交通挺便利的。', '短评打分': 5}
{'短评内容': '设施挺齐全，卫生打扫不错，价格挺合理，住的挺划算的。', '短评打分': 5}
{'短评内容': '周边环境挺好，交通购物吃饭都挺方便的。卫生不错，房间住的也挺舒适。', '短评打分': 5}
{'短评内容': '还不错的酒店，房间硬件设施很齐全，装修的不错，还可以上网，很方便，当时住的大床房，感觉性价比较高，楼道经常有服务员巡视，安全系统做的很到位', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员周到热情，酒店位置不错，从成都过来的大巴就停在酒店附近，门前是干道，座公交车出租车都很方便', '短评打分': 5}
{'短评内容': '酒店提供的早餐不错，口味很好，楼下还有餐馆，吃饭方便，房间装修的很实用，比较人性化，服务到位，有什么问题，服务员都会积极主动帮助我们', '短评打分': 5}
