{'短评内容': '没早餐，不安逸！', '短评打分': 5}
{'短评内容': '酒店还比较干净', '短评打分': 5}
{'短评内容': '没早餐，没停车。', '短评打分': 4}
{'短评内容': '位置很热扰，就是前台太吵啦', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '很不错的酒店，环境不错，交通便利，步行可到海上世界，床睡着也舒服', '短评打分': 5}
{'短评内容': '很不错的酒店，环境不错，地理位置便利，床睡着也舒服，还会再住', '短评打分': 5}
{'短评内容': '服务态度很不好，一开始去到问他们说没跟京东合作。', '短评打分': 1}
{'短评内容': '交通方便，挺干净，可惜没有早餐供应', '短评打分': 5}
{'短评内容': '本来订的是新店 去了 告诉我 住满了把我们推到附近的旧店 不是太晚 怕难找店 就真是想走人算了 唉', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '老舒服了，很好。下次还来。', '短评打分': 5}
{'短评内容': '酒店交通很方便，方便也有很多小吃。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比很高！', '短评打分': 5}
{'短评内容': '房间很干净，床很大，就是没早餐，另外电视效果不是很好，其他都比较满意', '短评打分': 5}
{'短评内容': '酒店还不错，床很舒服，就是门脸有点小，找了半天才找到，还有就是隔音不好', '短评打分': 5}
{'短评内容': '面积小了点，其他都不错，服务挺好，位置离码头近，比较安静', '短评打分': 5}
{'短评内容': '感觉很不错', '短评打分': 3}
{'短评内容': '环境很棒！服务还不错！', '短评打分': 3}
{'短评内容': '好，酒店很新，很不错。还有免费的早晨提供。', '短评打分': 5}
{'短评内容': '挺干净的，舒适整洁。交通方便，临近地铁口。周边是商业区，吃饭买东西方便。不错！', '短评打分': 5}
{'短评内容': '酒店位置很好,地铁站出口对面就是，房间很新，还送早餐', '短评打分': 3}
{'短评内容': '中央空调不是很稳定，半夜一会热一会冷，整晚都有空调鼓风声；提供的早餐是在顶楼板房里面的，感觉是个临时建筑。交通方便和设施比较新，干净是其优点。', '短评打分': 5}
{'短评内容': '服务态度不错，环境也不错，就是酒店门口的烧烤店太差了。', '短评打分': 5}
{'短评内容': '服务态度不错，环境也不错。就是酒店门口的烧烤店不要去买，又贵又不好吃，一窜大白菜3元，骗钱', '短评打分': 5}
{'短评内容': '5月10号入住的 第一天是圆床房间内部不错，   就是窗帘不行 ，早上有光照进来，玻璃不隔音 好吵\n第二天用那样的价钱换一个里面安静的房间  但是钱没退 \n 总体还行 就是太吵', '短评打分': 5}
{'短评内容': '这个酒店服务相当差。 柜台算不出来5天的费用是多少钱。 有两次乱收钱了。\n早上6点多酒店的员工开始互相吵架 睡不着。 白天一直在装修。\n', '短评打分': 1}
{'短评内容': '酒店客房很干净也很舒服，应该是由以前的宾馆翻新装修的，很精致，而且位置非常方便，就在水湾地铁站出口对面而已。虽然的士不好打，但也体现出他的幽静，推荐。', '短评打分': 5}
{'短评内容': '入住的时候，房间出了一点小问题，但是很快就处理好，服务还不错', '短评打分': 5}
{'短评内容': '酒店整體來說舒適乾淨，雖然樓下就是馬路但隔音效果很好，晚上睡覺基本聽不到聲音', '短评打分': 5}
