{'短评内容': '很赞哦～', '短评打分': 5}
{'短评内容': '厅很小很小，像小宾馆似的！根本没得入住，网上明明预定成功提示到店付了，前台服务硬说是没找到预换了另一家酒店定信息，拿手机给她看了预定信息还是说没找到，叫我直接在前台订就好了，前台房价300多，我脑又没病，花那么多钱住这小破店干嘛！带着一股气迅速', '短评打分': 2}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '周边超市，饭店比较齐全，晚上肚子饿了，下楼就能吃到好吃的', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，稍微有点偏僻', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，稍微有点偏僻', '短评打分': 5}
{'短评内容': '可以，挺干净！', '短评打分': 5}
{'短评内容': '很好，干净整洁', '短评打分': 5}
{'短评内容': '很好，服务到位', '短评打分': 5}
{'短评内容': '一直都是住城市便捷 很好 干净卫生', '短评打分': 5}
{'短评内容': '房间卫生可以，整体很小，还一个就是房间没晾衣服的，无线网必须要开电视…', '短评打分': 4}
{'短评内容': '位置优越、交通便利、出行很便捷。服务一流非常好，周到热情，前台姑娘非常漂亮，房间卫生干净，超大床，很舒适，设施齐全好用，总体满分。', '短评打分': 5}
{'短评内容': '很不错的酒店，下次再订', '短评打分': 5}
{'短评内容': '酒店不错，前台很热情，给我们找停车位。周围有很多小吃店，饭店，吃饭很方便。酒店挺干净，设施也不错，住的挺好。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '很好，很喜欢这里，以后常住', '短评打分': 5}
{'短评内容': '非常好，干净，热情', '短评打分': 5}
{'短评内容': '服务好，房间干净，交通便利。很满意，值得信赖。', '短评打分': 5}
{'短评内容': '卫生做得很到位，房间干净，看上去很舒服，服务很好。房间隔音效果也不错，安静。', '短评打分': 5}
{'短评内容': '服务态度非常好，酒店位置明显很好找。交通非常方便。性价比高，很满意。', '短评打分': 5}
