{'短评内容': '不错，挺好的', '短评打分': 4}
{'短评内容': '位置较好，离江边不远，离餐饮购物区也不远。', '短评打分': 4}
{'短评内容': '酒店位置安静，住的藏式小楼，房间很大。', '短评打分': 5}
{'短评内容': '房间有异味，空调没有暖风。', '短评打分': 4}
{'短评内容': '装修比较老旧，卫生条件一般，早餐比较普通简单，只有几种样式，但前台服务员服务态度不错，很耐心，交通还算便利。', '短评打分': 4}
{'短评内容': '今年新开的酒店，老板和服务员都是藏族人，很热情，房间设施也不错，位置也很好，唯一不足就是新装修房间实木家具较多有一点点味道。总体来说还是非常值得入住。', '短评打分': 5}
{'短评内容': '还可以，但是说实话这个价格不太值，酒店设施比较陈旧，空调制热效果太差，早餐更别提了，还不如小旅馆，只能说有早餐', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '地理位置优越，房间设施不错。', '短评打分': 5}
{'短评内容': '马马虎虎 ', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 1}
{'短评内容': '酒店外装修颇有民族特色。位置很好找，设施也不错，房间很宽敞。', '短评打分': 5}
{'短评内容': '还行吧，性价比不错，会推荐', '短评打分': 4}
{'短评内容': '设施、卫生、环境都让人满意，前台服务尤其热心，真心推荐。', '短评打分': 4}
{'短评内容': '自驾，网订的宾馆，很不错，地理位置也好，很好找，一家三人行，标准间，里面还有一张贵妃床。适合三人住，值得推荐的一间宾馆。', '短评打分': 5}
{'短评内容': '酒店比较新，房间还不错，就是早餐没什么吃的，而且说是8：30开始，9点去还没准备好，有点耽误事', '短评打分': 5}
{'短评内容': '虽然该酒店中规中矩，以内地标准可圈可点，但对于在滇藏，川藏线上煎熬已久，寻不得热水洗澡的驴友们，无异于人间天堂。', '短评打分': 5}
{'短评内容': ' 林芝风情大酒店有五星的水准，房间宽敞设施好，有冷暖空调，住起来非常舒适', '短评打分': 3}
{'短评内容': '基本没服务, 7点多去餐厅居然说太忙不能供应餐点, 管理混乱, 推荐住藏泊酒店', '短评打分': 1}
{'短评内容': '酒店很安静，睡得好，设施也不错，走川藏线过来，这里好似天堂。', '短评打分': 5}
{'短评内容': '一路开车从云南进入西藏，在经历了滇北和昌都的住宿条件后，这里确实显得很棒。', '短评打分': 5}
{'短评内容': '干净，卫生。房间大，窗外就是雪山，位置方便，在偏僻的八一镇，很是满意\n', '短评打分': 5}
{'短评内容': '不错，很满意~~性价比还行！下次还来~~', '短评打分': 5}
