{'descr': '很好 推荐', 'star': 5}
{'descr': '其他都挺好的，也很平价……就是晚上淋浴坏了竟然不给修，还挂电话，只能洗冷水，大冬天，真是难忘的经历啊。', 'star': 4}
{'descr': '', 'star': 5}
{'descr': '', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '通同事说还可以。', 'star': 5}
{'descr': '朋友临时住两天，环境不错，设施差点', 'star': 4}
{'descr': '设施，卫生一般，还可以，毕竟不是很贵', 'star': 3}
{'descr': '没有窗户，只有面向楼道的内窗。', 'star': 4}
{'descr': '物超所值', 'star': 4}
{'descr': '环境一般，价格比较便宜！………………', 'star': 3}
{'descr': '凌晨下飞机，睡了四个小时，去火车站赶动车。离火车站步行不算近，但打车起价费够了', 'star': 5}
{'descr': '地理位置优越，离哪都很近，交通方便，离我要去的目的地也很近，在家属区附近，吃饭很方便。整体也算比较整洁，只是房间基本上相当于没窗户，内窗说的好听点就是个小探视窗', 'star': 4}
{'descr': '地理位置优越，离哪都很近，交通方便，离我要去的目的地也很近，在家属区附近，吃饭很方便。整体也算比较整洁，只是房间基本上相当于没窗户', 'star': 4}
{'descr': '下次不去了', 'star': 2}
{'descr': '还可以   住的是特价房，干净，就是屋子里喷头挂是坏了的，没法挂', 'star': 5}
{'descr': '出鼎鑫宾馆大门向左三十米就有一家大的早点店，可以品尝北京小吃，物美价廉。', 'star': 3}
{'descr': '＋第一晚总体来说情况还可以，服务态度也不错。', 'star': 3}
{'descr': '感觉还行，离北京站比较近，对的起这个价格。', 'star': 5}
{'descr': '感觉酒店很不安全，窗户一推就开，还锁不上。服务员居然说有录像，没事的。房间内的热水器烧水巨慢。隔音还很不好。', 'star': 1}
{'descr': '坐8路可直接到前门，交通很方便，环境稍差些', 'star': 1}
{'descr': '这个宾馆质次价高！', 'star': 3}
{'descr': '房间很不错，卫生也很好，非常满意…', 'star': 3}
{'descr': '就是位置好一点点，房间设施很不好,很一般的地方', 'star': 5}
{'descr': '酒店位置靠近北京站、交通便利，环境也还算干净。总体来说不错。', 'star': 5}
{'descr': '地理位置稍微偏了点，服务态度还行。', 'star': 3}
{'descr': '还可以  第二次入住了  到的时间比较晚   房间已经用担保给预留好了', 'star': 5}
{'descr': '地理位置还不错，但是交通不是很方便，没有早饭，最要命的是房间是在太脏。', 'star': 1}
{'descr': '218房价的房间很小，不是很干净，感觉不好。', 'star': 1}
{'descr': '还可以吧。就是贵了点吧。希望把价格规划规划。', 'star': 5}
{'descr': '不是很好，设备陈旧。房间还算舒适，地点不错。如果有更好的选择不建议入住。', 'star': 3}
{'descr': '房间很小，比想象的差很多', 'star': 5}
{'descr': '服务好  环境好  价钱便宜 可以直接从阳台跳入泳池  爽啊', 'star': 5}
{'descr': '地理位置优越，设施齐全，就是卫生方面有待提高，总体来说性价比高。', 'star': 5}
{'descr': '服务还可以，就是环境不是很好。', 'star': 5}
{'descr': '条件较差,其他一般。', 'star': 5}
{'descr': '+酒店太旧，设施坏', 'star': 5}
{'descr': '服务态度很不错就是卫生有点差', 'star': 5}
{'descr': '      还好吧  地理位置不错， 交通方便的&#183;&#183;    ', 'star': 5}
{'descr': '房间没有窗户算很差的旅店卫生设施及其一般，价格服务都一般，位置还行。', 'star': 1}
{'descr': '位置还是挺不错，房间是挺一般很潮湿我第二次去的时候房间里面还有蟑螂。性价比也不算很高只是地段很好。', 'star': 1}
{'descr': '鼎鑫宾馆住宿条件非常恶劣，态度也差', 'star': 5}
