{'短评内容': '酒店位置不错，出行方便。', '短评打分': 5}
{'短评内容': '还不错，就是在过节期间还能闪住比较便宜的酒店。早餐是酒店旁的餐厅，我们没去吃。旺季应该加不了床，枕头想多要一个都没有，我们主要是订的太晚了。有停车场。酒店就在顺平路上，好找至极。', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '旧太旧非常旧', '短评打分': 2}
{'短评内容': '酒店位置不错，挺方便的', '短评打分': 5}
{'短评内容': '京东给的价格确实优惠。但是酒店的设施确实一般般。', '短评打分': 5}
{'短评内容': '什么四星，上当赶脚，门打不开电话坏的做水壶都没有，房间脏乱差，我是服了', '短评打分': 2}
{'短评内容': '一般化，太老了。没空调', '短评打分': 3}
{'短评内容': '没想到就这种环境还五百多一晚，住的豪华套间 卫生间连个小香皂都没有，我是没有顶灯 只有台灯 黑乎乎的什么也看不清，卧室更是连空调都没有 被冻的要死，还有 豪华套房连瓶矿泉水都没有，就算住个一百多的小快捷也会送两瓶水的，服务员高冷至极，各种差差差 以后绝不会再住了', '短评打分': 2}
{'短评内容': '酒店设施很差，本身预定的特价房，以为是这个房型的原因，于是前台升级了房型入住，依然很差，灯是坏的，但是服务员说所有房间都这样！洗澡间没有防滑垫，地毯也不干净，各种无语呐', '短评打分': 1}
{'短评内容': '很一般，早餐很一般。没有需要赞美的，一般般。', '短评打分': 3}
{'短评内容': '这也就是平谷最好的酒店了吧？条件真的很一般很一般。 进门的时候，房卡也没有刷上，又重新下楼刷卡，真郁闷。 由于客人不多，前台接待也都无精打采坐在那里玩手机。', '短评打分': 3}
{'短评内容': '网速好，洗澡水好，床一般，早餐一般', '短评打分': 4}
{'短评内容': '网速好，洗澡水好，床一般，早餐一般', '短评打分': 4}
{'短评内容': '交通方便，离京平高速很近，在平谷城区是比较好的了', '短评打分': 5}
{'短评内容': '帮别人订的  在平谷  这个酒店比较好找', '短评打分': 5}
{'短评内容': '酒店各方面条件一般化，没有特别之处，不过住着感觉还可以，位置好一些，方便出行.', '短评打分': 3}
{'短评内容': '做为4星的酒店却不能兑换外币.这点有些不太合理，其它客房内的条件还是不错的，性价比很高.', '短评打分': 5}
{'短评内容': '酒店还是一般，交通还是挺便利的，价格还可以，酒店的服务还是一般。', '短评打分': 5}
{'短评内容': '因公务入住此酒店,豪华间居然没有宽带,地毯脏,总体感觉不好.', '短评打分': 1}
{'短评内容': '＋房间配备用品少，没电脑，早餐品种单一，服务态度一般', '短评打分': 5}
{'短评内容': '这家酒店我住的时候感觉挺差的，服务态度也不好，周围环境都不是 都是很好，房间的卫生打扫也很一般，位置和价格还是比较不错能接受，但是硬件设施和舒适度方面确实挺不好的，下次也不会在选择了。', '短评打分': 1}
{'短评内容': '老酒店。。还凑合', '短评打分': 5}
{'短评内容': '我给我 朋友推荐的 他们说住的很好 ', '短评打分': 5}
{'短评内容': '感觉有点有些陈旧，但是服务态度很不错', '短评打分': 5}
{'短评内容': '酒店非常差，早餐就跟路边的早市没什么两样。电视虽然是液晶的，但信号非常非常差，尤如麻子脸上又长麻了，非常非常的差。我也非常非常的失望', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都比较达标，位置出行交通方便。价格合理适中卫生服务都还不错，整体来讲还是可以考虑入住的。', '短评打分': 5}
{'短评内容': '赵总,我是张明月你还记得吗?我很想你,最近还好吗?身体如何/工作如何?是不是还很忙,我的那些伙伴有没有惹你生气!我们离开后是不是很轻松呢?好久都没有联系了,真的很惦记你,我知道在北京的时候你很喜欢我们,对我们已经很好了,可是我们还是那么自私,为了自己给你带来那么多烦恼,也许真的是我个人情感不得不这样做,所以我一直都坚持离开!我知道一个十九岁没有经验的孩子的选择都很草率!~望你能理解.我还记得你告诉', '短评打分': 3}
