{'短评内容': '服务挺好的，哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 5}
{'短评内容': '酒店位于明发对面，交通便利，店内卫生太差，居然有蟑螂，廉价的席梦思床垫，连弹簧都感觉得到，最差劲的，居然连卫生纸都要收费的，醉了', '短评打分': 2}
{'短评内容': '不错的选择！', '短评打分': 5}
{'短评内容': '不错啊，♡', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '烂', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '可以。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '只能说一般，房间很小，卫生不太好，窗户特小！', '短评打分': 3}
{'短评内容': '总体还可以，地理位置好', '短评打分': 3}
{'短评内容': '还行，就是我这个房间没有窗户，其他都还不错', '短评打分': 3}
{'短评内容': '环境一般 房间老了旧了', '短评打分': 3}
{'短评内容': '环境还不错，就是电脑接触不好', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
