{'短评内容': 'emmmmmmm本来挺好的，但是突然断电还是让人不开心。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间还可以，住过很多次不过要凭运气，有的房间花洒是坏或者床中间是塌下去的。大部分房间的灯都有坏的，希望店家可以修一下。这次住的房间依然有问题，浴霸是坏的洗澡很冷，空调也不吹暖风。。', '短评打分': 5}
{'短评内容': '位置很好找，对面有超市挺方便的，临近大学城吃饭也方便。小区里面也很安静。来过很多次，房间有的好有的不好得看运气，房间不好可以调换。', '短评打分': 5}
{'短评内容': '环境熟悉所以喜欢住这里', '短评打分': 5}
{'短评内容': '住的地方很好很舒服，比想象的好多了。价格便宜很不错！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '每次都住着酒店，还不错，就是网速一般', '短评打分': 4}
{'短评内容': '住了几次，感觉一次不如一次了……', '短评打分': 3}
{'短评内容': '酒店还是可以，但是我们入住时还多加了十块钱，这点不是很满意', '短评打分': 5}
{'短评内容': '一般般，不会再来了', '短评打分': 3}
{'短评内容': '交通和设备都还不错，性价比很高，房间空间很大，还有独立的小厨房，可以租厨具做饭，但是卫生和消毒有待加强！总的来说还行吧。', '短评打分': 5}
{'短评内容': '价格公道，值得信赖。。。。但是没有早餐，附近乘坐公交车也不方便，吃饭也要走到大学城去才行，总的来说还是有不少的不便。', '短评打分': 5}
{'短评内容': '挺好的挺合适', '短评打分': 5}
{'短评内容': '不错，住着很舒服', '短评打分': 4}
{'短评内容': '服务好，环境不错，很安静，里面有厨房，很有家的感觉', '短评打分': 5}
