{'短评内容': '很好', '短评打分': 5}
{'短评内容': '没有早餐，环境还可以吧，不乱，就是稍微空间有点略小，但就价位而言 就算可以了，不足的地方就是没有电梯，对于腿脚不便或游玩累了的人而言 爬楼梯有点不人性化', '短评打分': 4}
{'短评内容': '总体感觉挺不错的', '短评打分': 5}
{'短评内容': '综合起来很满意，有热水，老板态度很好，房间干净卫生，出大门口一分钟就是公交车站，总之非常非常非常满意。', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '还没有住，希望满意，谢谢', '短评打分': 5}
{'短评内容': '如果不是实在没地方住，还是选个好点的吧，噪音很大，卫生很差，当然价格便宜', '短评打分': 2}
{'短评内容': '交通很方便，但房间设施及条件一般。', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '小破宾馆，连热水都没有。真是气死了。', '短评打分': 2}
{'短评内容': '距离牡丹园地铁站很近，交通方便', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '真的太滥，携程不知对于加入的宾馆考察不。如此差的店，也还推荐', '短评打分': 1}
{'短评内容': '还好 有早饭 房间有味道 不适合常住', '短评打分': 4}
{'短评内容': '打扫卫生不及时，早上出门挂牌打打扫卫生到晚上也没给打扫，退房老是怀疑偷他家的东西', '短评打分': 3}
{'短评内容': '太差', '短评打分': 1}
{'短评内容': '酒店太差，房间内设施陈旧，被单、毛巾显得很不卫生，性价比很差，今后再也不会住该酒店了。', '短评打分': 1}
{'短评内容': '房间不错  挺干净也挺大的', '短评打分': 3}
{'短评内容': '酒店还不错;但没大堂,靠三环噪音大;交通是相当方便', '短评打分': 3}
{'短评内容': '还好，交通还算方便，也不贵，特别是老板人好，还包含早餐，祝酒店生意兴隆！', '短评打分': 5}
{'短评内容': '地处北三环北太平庄桥附近，旁边是北京红十字血液中心，房间比较小，卫生还可以，就是服务不好，早上入住之后，房间没有电，服务员来回晃悠，自言自语到为啥呢，就是不人来。很久才来人维修。本来要入住三天呢，第一天就遭遇跳闸，电工下班，也不给换房，让等等说联系了电工来维修，结果40分钟过去了，才说换房间，刚开始说没房间，这又是哪里冒出来？', '短评打分': 1}
{'短评内容': '一般般就是一般般，客房里连喝的热水都没有，电热水壶可以没有，但起码应该有个暖瓶。还好只是住一晚。', '短评打分': 3}
{'短评内容': '没有电梯，上楼很吃力。很多房间没有内厕，要下楼上厕所。楼道里异味很大。地坛很脏。但是房间还算宽敞。198，价格不算实惠。', '短评打分': 1}
{'短评内容': '门面很小，但是人还是很热情，服务也还到位，车位少，', '短评打分': 5}
{'短评内容': '综合感觉还不错。热水器是电热水，入住时，开始觉得水凉，后来通电后烧了会就热多了。总的感觉还算满意了。', '短评打分': 5}
{'短评内容': '做为一个普通间，在三环内的地段还算可以，交通挺方便。需要改进的是房间实施有些老化（空调还可以，电视基本看不成），希望改进。', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 3}
{'短评内容': '性价比高，值得一住，一住住十天.', '短评打分': 3}
{'短评内容': '同事反映不错。下次继续推荐！\n房价也合适！\n同事反映不错。下次继续推荐！\n房价也合适！', '短评打分': 5}
{'短评内容': '整体感觉还不错，服务人员比较热情', '短评打分': 3}
{'短评内容': '主楼在三环路上，副楼在一个小胡同里面。副楼是个很老的楼，不能使用信用卡，前台连什么是预授权都不知道。门锁也不是智能的，要喊前台的服务员拿钥匙开。早餐只有煎蛋可以吃，其他的东西都不知道是什么味道，难以下咽。总之我订了3天住了1晚就退房了。', '短评打分': 1}
