{'短评内容': '还可以，不错……………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '住的舒服，早餐很丰盛，吃得很开心！', '短评打分': 5}
{'短评内容': '很不错，每次来滕州出差都住这里。人员综合素质较高，服务水准超过一些五星酒店。周边环境较好，出行方便。值得推荐！', '短评打分': 5}
{'短评内容': '这是第二次住在这个酒店房间很干净，前台服务很热情，而且很贴心，服务员看我洗衣服还特意给我拿了晾衣架还有衣粉，很值得推荐。下次还会再来', '短评打分': 5}
{'短评内容': '酒店早餐张洪丽服务很好，送水果和饮料，谢谢！', '短评打分': 5}
{'短评内容': '在西餐厅吃早餐，张洪丽服务非常好，送水果和茶水，服务意识很好。非常感谢', '短评打分': 5}
{'短评内容': '很大，床很舒服，位置不错。服务特好。', '短评打分': 5}
{'短评内容': '房间很舒服 特别是大床', '短评打分': 5}
{'短评内容': '非常划算！在京东订酒店！', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境跟服务对得起价格，还是不错的，基本每次去都会选择这里', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '全家都很满意!', '短评打分': 5}
{'短评内容': '酒店很满意!', '短评打分': 5}
