{'短评内容': '住了两次，还可以', '短评打分': 4}
{'短评内容': '哦', '短评打分': 3}
{'短评内容': '帮人预定，据说还不错', '短评打分': 5}
{'短评内容': '环境好，设施齐全', '短评打分': 5}
{'短评内容': '帮朋友预订的，朋友住完后跟我说这酒店还不错，对于这个价格的酒店早餐来说还挺丰盛的，而且酒店停车也挺方便的。如果车需要挪位置的话，只要你把钥匙放前台，保安会帮你挪好的。反正朋友反馈酒店还不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店位置很好找，而且周围交通很方便。房间内的设施齐全，房间给人整体感觉很干净整洁，宽敞明亮。不错不错，这次入住很满意，性价比还算挺高的。', '短评打分': 5}
{'短评内容': '交通便捷，吃的多，', '短评打分': 5}
{'短评内容': '酒店位置特别好出门就是公交车，离地铁也不远几分钟的路程，很方便。店员的服务态度也非常好，我自己对成都不熟，很多地方不知道怎么走，就问前台，他们都很乐意帮我，还帮我打好了滴滴车借我到目的地。这次住店很愉快，希望有机会，还会来这家酒店住的。', '短评打分': 5}
{'短评内容': '好，不错的嘛', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '附近有个沃尔玛，交通也挺方便。', '短评打分': 5}
{'短评内容': '单间大床房，预授权刷卡，有早餐，近临沃尔玛，周办小饭店多', '短评打分': 4}
{'短评内容': '干淨，较新，临沃尔玛，方便，服务可，Wi-Fi可，周围小吃店多，夜里吵', '短评打分': 3}
{'短评内容': '性价比很高，卫生干净，出行方便', '短评打分': 3}
