{'descr': '总体来说，还是可以的', 'star': 5}
{'descr': '地理位置好  好找  ', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '挺不错的，环境位置都还行', 'star': 5}
{'descr': '环境不错，设施齐全，交通方便，临近观音桥商业街，很不错！', 'star': 5}
{'descr': '设施一般，环境一般，卫生一般，只是位置比较好离商业街挺近的', 'star': 5}
{'descr': '房间不大，还算干净，长途畅聊房没有电话。', 'star': 3}
{'descr': '感觉不错，前台很热情', 'star': 3}
{'descr': '感觉还可以，卫生房间都很不错', 'star': 3}
{'descr': '环境还可以，实惠，不错。', 'star': 3}
{'descr': '不是很满意。跟携程订好房间148元，到宾馆后，服务员硬要收到168元，还临时通知携程改价。', 'star': 4}
{'descr': '如果注重价格，而又希望能住上干净卫生的房间的话，这个算不错的选择，，，', 'star': 5}
{'descr': '简约温馨，暖色光线，感觉很好！价廉物美的享受', 'star': 5}
{'descr': '一般，位置不好找。其它服务还可以。。。。。', 'star': 1}
{'descr': '对於差旅的人士，在价格的考量下，朋友可以叁考这家酒店。网站、清洁度还可以。', 'star': 5}
{'descr': '不错噢很好  下次还会去 大家都去支持一下', 'star': 5}
