{'短评内容': '带早餐  房间不错蛮舒适的  住过两次了', '短评打分': 5}
{'短评内容': '第二次过来住了 ', '短评打分': 5}
{'短评内容': '第二次过来了', '短评打分': 5}
{'短评内容': '早餐很简单  有停车场', '短评打分': 5}
{'短评内容': '早餐很简单  有停车场', '短评打分': 5}
{'短评内容': '十一定的房间现在才评价 房间很大装修也好 卫生间也大有浴缸很干净 周围都有吃的 有一家烧烤过了马路直走相当好吃的 设施都很齐全 唯一不好的就是旁边饭味比较重因为饭店和住宿在一层 但是进房间就闻不到了 早饭很丰富', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '酒店环境不错，干净卫生。前台很有礼貌，保洁打扫得也很干净。比上次来西宁住的逸途酒店好很多。只是洗澡水温度不好调控，忽冷忽热。希望改进。', '短评打分': 5}
{'短评内容': '酒店早餐好差啊', '短评打分': 5}
{'短评内容': '环境好服务好', '短评打分': 5}
{'短评内容': '酒店内部很一般，但位置较好，可住', '短评打分': 4}
{'短评内容': '房间，早餐都还不错、下次还会来住', '短评打分': 3}
{'短评内容': '1）离机场较远，附近有一些小商店。  2）可以步行到小吃一条街，漫步20分钟左右。  3）酒店的餐馆很好，价格合理，菜做的很好。', '短评打分': 5}
{'短评内容': '早餐不好吃，房间有味道，服务一般。', '短评打分': 2}
{'短评内容': '早餐不好吃，房间有味道，服务一般。', '短评打分': 3}
{'短评内容': '旺和酒店地理位置较偏，房间装修尚可，但房子空间太小。', '短评打分': 3}
