{'短评内容': '非常不错，干净整洁，房间挺大的。', '短评打分': 5}
{'短评内容': '我在成都订错酒店没法入住，不能取消，钱付了没有享受任何，真的很无赖1100元', '短评打分': 1}
{'短评内容': '酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。', '短评打分': 5}
{'短评内容': '环境还是可以的 性价比很好  而起服务员的态度相当好 不错不错 下次还来', '短评打分': 5}
{'短评内容': '整体感觉不错的 服务很好  呼叫车辆接送很方便很到位', '短评打分': 5}
{'短评内容': '我与公司同事一同住了十几天，感觉就是酒店服务很周到，服务员的态度都值得赞许，另外酒店环境性价比算不错了！', '短评打分': 3}
{'短评内容': '虽然远点，但房间条件不错，没看见班车，出租车跨区过不来', '短评打分': 5}
{'短评内容': '虽然有些远，但条件还不错，班车没看见，出租车过不来', '短评打分': 5}
{'短评内容': '不错在新区，早餐太简单了，其他还好，从机场过去打车要60-80元', '短评打分': 5}
{'短评内容': 'good、good、还不错，下次还会再来，也会推荐给朋友。', '短评打分': 5}
{'短评内容': '老板人还是可以的，吃饭、叫车可以一起开酒店的发票，很实惠。具体要看大家去干什么了，旅游就算了把，要是去会展开会可以选择这里。', '短评打分': 5}
{'短评内容': '酒店服务很不错 环境也好 主要是离会展中心近  价格也很公道 以后同事出差还会选择推荐这给他 酒店还可以给叫车', '短评打分': 5}
{'短评内容': '酒店处于非常偏僻的位置，紧邻马路边，整夜都有货车呼啸而过的巨响，无法入睡。早餐是免费的，轻易得到的东西总是让人望而生畏，难吃，非常难吃。如果外出，自己肯定是打不到车的，但酒店前台会热情给你叫车，大约等五分钟到十分钟会到，然后，是黑车，不打表的，价格是出租车正常价格的一倍，晕！', '短评打分': 1}
{'短评内容': '距离展会比较近，但处于新开发区，来往的的士比较少，只能搭酒店合作的商务车，前台处理事务太差劲了，开发票开了一个钟都没开出来，影响我们乘飞机。环境还算可以，但收拾房间的经常没有更换日常用品。', '短评打分': 5}
{'短评内容': '对于这个价格的酒店来说，还凑合。卫生条件一般。不过早餐太差了。 \n', '短评打分': 1}
{'短评内容': '对于这个价格的酒店来说，还凑合。卫生条件一般。不过早餐太差了。', '短评打分': 5}
{'短评内容': '交通不便，打不着车，由于此地区正在开发阶段，晚上会有拉土石方的车，有时候比较吵；', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店是新开的，设施很新，性价比还可以，最好是自己有车.', '短评打分': 5}
{'短评内容': '我们是成都网货会的参展商，从12月15日入住，住了5天。酒店是新开的，房间设施齐全和装修比较新，有网络，还带早餐，价格非常合适。唯一不足的是离市区比较远，但是离世纪城新会展中心较近，大概10-15分车程，非常适合参展商入住。交通方面可以通过前台提前说好时间预订车辆去市区、机场，这就不用我们自己去打的，这点很好。成都的的士到晚上特别难打。整体来说非常不错，下次去成都参展的首选。 \n', '短评打分': 5}
{'短评内容': '我们是成都网货会的参展商，从12月15日入住，住了5天。酒店是新开的，房间设施齐全和装修比较新，有网络，还带早餐，价格非常合适。唯一不足的是离市区比较远，但是离世纪城新会展中心较近，大概10-15分车程，非常适合参展商入住。交通方面可以通过前台提前说好时间预订车辆去市区、机场，这就不用我们自己去打的，这点很好。成都的的士到晚上特别难打。整体来说非常不错，下次去成都参展的首选。', '短评打分': 5}
