{'短评内容': '每次出差都是这里，现在已经习惯了有种家的感觉，很好', '短评打分': 5}
{'短评内容': '服务很热情，主要是房间的床睡着还是蛮舒服的', '短评打分': 5}
{'短评内容': '很好的感受 地理位置方便 干净温馨 服务特别好 还会再来的 强烈推荐', '短评打分': 5}
{'短评内容': '走进大厅很温馨，回家的感觉，前台接待很热情，到房间时还有服务员迎接，并送来了热腾腾的银耳汤，很好，房间的设施设备很齐全，电视机遥控器，空调遥控器都是消毒后用袋子装好了的，可以放心使用，总之这家酒店很好，赞赞赞\\(≧▽≦)/', '短评打分': 5}
{'短评内容': '好久没过来了，今天一到酒店，还是一如既往的，感觉就像回了家，服务好，床睡也着舒服，所以迫不及待的好评推荐一下了', '短评打分': 5}
{'短评内容': '很舒服很干净', '短评打分': 5}
{'短评内容': '其他都挺好 只是网络速度一般 需要改善一下', '短评打分': 5}
{'短评内容': '酒店服务挺好的，房间也很干净，家里装修住的挺舒服的', '短评打分': 5}
{'短评内容': '酒店很好；服务员态度很好', '短评打分': 5}
{'短评内容': '服务很好，每天都会手写卡片，有水果等小食品，细节做得很好。早餐希望有白粥，那样更好。下次会选择再入住。', '短评打分': 5}
{'短评内容': '还好还好呵呵哈哈哈还好还好呵呵哈哈哈', '短评打分': 5}
{'短评内容': '还是第一次在京东上定宾馆，价格比其他平台好，这家酒店很赞，各方面都很满意！', '短评打分': 5}
{'短评内容': '还是第一次在京东上定宾馆，价格比其他平台好，这家酒店很赞，各方面都很满意！', '短评打分': 5}
{'短评内容': '不错值得一宿', '短评打分': 4}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '3R80=ST带螺纹膝离断关节配左23码1C10脚板体重65千克', '短评打分': 5}
{'短评内容': '还不错⋯．', '短评打分': 5}
{'短评内容': '还可以．．', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住后发现上一次的垃圾还没有清理！靠街，有点吵', '短评打分': 3}
{'短评内容': '很干净而且便宜在江苏200住不到这么整洁，干净的酒店。真心不错', '短评打分': 5}
{'短评内容': '重新装修，更漂亮舒适了。', '短评打分': 4}
{'短评内容': '基本上都还行', '短评打分': 5}
{'短评内容': '对方故居附近的新格局哈哈哈江河湖海解决', '短评打分': 4}
{'短评内容': '价格贵，三百多一间，涨价太猛。其他还行。房间不大。', '短评打分': 3}
