{'短评内容': '房间较小，价格偏高，早餐很简单', '短评打分': 3}
{'短评内容': '还行，房间小了点。沙发只有一张，可见还是挺局促的，17楼早晚鞭炮不断，有点吵。', '短评打分': 5}
{'短评内容': '不错，交通很方便，同类型酒店价格也还算公道的。房价设施也挺好的！', '短评打分': 5}
{'短评内容': ' \n还可以，有点小贵，房间小，早晨单一', '短评打分': 3}
{'短评内容': '已入住，谢谢。', '短评打分': 3}
{'短评内容': '吃饭比较贵，其他还好！交通方便，离购物圈不远。推荐推荐推荐推荐！', '短评打分': 5}
{'短评内容': '在闹市区，还算不错！附近交通还算方便，就是房间有点小，可能我订的房型不一样。', '短评打分': 5}
{'短评内容': '干净房间小', '短评打分': 3}
{'短评内容': '酒店地理位置可以，设施一般，房间一般，电视机小了点', '短评打分': 5}
{'短评内容': '房间环境还算一般，早餐是基本没法吃，就那样的早饭居然还10元一位，订的标间结果只有一个人是免费早餐，交了10元第二天吃的时候很是后悔啊......', '短评打分': 1}
{'短评内容': '酒店基本设施很不错 环境也很好  以后还会关顾的 我会向朋友推荐的 ', '短评打分': 5}
{'短评内容': '暖气不给力。', '短评打分': 3}
{'短评内容': '房间小。适合圣诞逛街后休整!', '短评打分': 3}
{'短评内容': '硬件设施：冬天不推荐入住。房间的面积太小，中央空调的暖风效果很差，虽然房间内配置了一个暖风机，但是还感觉很冷。\n软件服务：这个要赞一个，从前台的接待、收银到餐厅送餐的服务员，态度都好的没话说，我本来是订了全天房，可是朋友一定要换酒店，无奈只好去退房，前台的接待问明原因后，主动按半天房价给我结账，态度真是好极了，弄的我都不好意思走了。\n总的来说，服务水平优良，地理位置一般，房间设施还比较不错，除了暖', '短评打分': 5}
{'短评内容': '山西煤炭大厦整体给人感觉一般化，甚至没有你想像的那样好，前台服务态度比较差，房间热水要先放半小时才热，饭菜一般', '短评打分': 3}
{'短评内容': '设施陈旧，下水道不通畅，热水也很小，很不素服。', '短评打分': 1}
{'短评内容': '号称挂牌三星酒店，还是商务房（没配置电脑），可是房间依然很小，另外居然酒店二楼的中餐厅已经对外承包了，吃饭挂房帐很是麻烦（餐厅菜价很贵，口味一般，最搞笑的是现磨豆浆要78元/扎，可是所有服务员拿杯子装了随便喝），早餐很差。', '短评打分': 1}
{'短评内容': '优点：地理位置绝佳（走路去柳巷只需5分钟），服务比较热情，设施比较周全。十月份的时候还没有暖气或空调，但服务员提来一个暖风机，挺有效的。\n缺点：电梯特慢（老酒店），服务员响应速度迟缓，早晚热水不够温度。早餐还要加收20元钱。\n总体来说，在那个地段还是挺值的。', '短评打分': 5}
{'短评内容': '房间小', '短评打分': 3}
{'短评内容': '酒店一般，交通还行，早餐品种较少，价位应该要低点。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '太原的空气实在是太差，酒店一般，早餐就那么点东西，不值这个价。', '短评打分': 1}
{'短评内容': '价格还可以，但是餐饮服务太差，房间蚊子很多，窗户不能打开，不透风。', '短评打分': 5}
{'短评内容': '有点旧了，服务态度一般般！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '性价比很高。房间整洁。服务员态度很好。缺点是停车地方很小。', '短评打分': 5}
{'短评内容': '酒店位置比较方便,房间还行,早餐较差,希望能改善!', '短评打分': 5}
