{'短评内容': '还不错 连着住了三晚', '短评打分': 5}
{'短评内容': '阿', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '真的挺好的，住了好多次了，服务挺好', '短评打分': 5}
{'短评内容': '房间确实不错，很暖和', '短评打分': 5}
{'短评内容': '不错，性价比很高', '短评打分': 4}
{'短评内容': '非常好价格便宜', '短评打分': 5}
{'短评内容': '房间比较少啊，反正就是觉得方便去开会哪里就住在这里了，不是最佳选择   是七天和如家酒店会员，不过也不怎么样', '短评打分': 3}
{'短评内容': '比较安静', '短评打分': 5}
{'短评内容': '还不错，离汽车站挺近', '短评打分': 5}
{'短评内容': '房间还算干净卫生，可惜没有早餐', '短评打分': 5}
{'短评内容': '暖和，方便', '短评打分': 5}
{'短评内容': '坐长途大巴來爬泰山的首选，坐公交车到那里都很方便，老酒店了·', '短评打分': 4}
{'短评内容': '很不错，虽不提供早餐，到边上就有永和豆浆', '短评打分': 5}
